actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-07T23:10:15.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-07T23:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-07T23:10:18.8Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2026-03-07T23:10:18Z,40000,False,,,0,,Jump Ball A. Bona vs. O. Okongwu: Tip to K. Oubre Jr.,"[1626162, 1641737, 1630168]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Bona,1641737.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-03-07T23:10:37.5Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,0,0,2026-03-07T23:10:47Z,70000,False,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,bad pass,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Left,1627529.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2026-03-07T23:11:09.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203468,81.68528252299606,47.549019607843135,1610612737,2,0,2026-03-07T23:11:15Z,80000,False,-12.0,120.0,1,right,C. McCollum 12' driving floating Jump Shot (2 PTS) (J. Johnson 1 AST),"[203468, 1630552]",1610612737.0,ATL,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,12.03,Made,2.0,J. Johnson,1630552.0,1.0,,,,,,,,,,,,
10,PT10M56.00S,2026-03-07T23:11:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,9.280551905387648,50.73529411764706,1610612755,2,2,2026-03-07T23:11:36Z,100000,False,-4.0,35.0,1,left,T. Maxey driving floating Jump Shot (2 PTS) (D. Barlow 1 AST),"[1630178, 1631230]",1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,3.49,Made,2.0,D. Barlow,1631230.0,1.0,,,,,,,,,,,,
11,PT10M44.00S,2026-03-07T23:11:43.4Z,1,REGULAR,3pt,Jump Shot,[],203468,71.69842312746385,80.3921568627451,1610612737,2,2,2026-03-07T23:11:49Z,110000,False,152.0,214.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,26.21,Missed,,,,,,,,,,,,,,,,
12,PT10M39.00S,2026-03-07T23:11:48.4Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,2,2,2026-03-07T23:11:49Z,120000,False,,,0,,J. Johnson REBOUND (Off:1 Def:0),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
13,PT10M39.00S,2026-03-07T23:11:48.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630552,94.40999984741211,50.0,1610612737,4,2,2026-03-07T23:11:48Z,130000,False,0.0,0.0,1,right,J. Johnson tip DUNK (2 PTS),[1630552],1610612737.0,ATL,tip,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
14,PT10M23.00S,2026-03-07T23:12:04.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,14.011169513797633,56.127450980392155,1610612755,4,4,2026-03-07T23:12:09Z,140000,False,-31.0,79.0,1,left,K. Oubre Jr. 8' driving floating Jump Shot (2 PTS),[1626162],1610612755.0,PHI,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,8.49,Made,2.0,,,,,,,,,,,,,,,
15,PT10M17.00S,2026-03-07T23:12:11.4Z,1,REGULAR,foul,personal,['3freethrow'],1629656,,,1610612737,4,4,2026-03-07T23:12:42Z,150000,False,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Alexander-Walker 3 FT),"[1629656, 1629638]",1610612755.0,PHI,shooting,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,101284.0,,,,,,,,,,,,1.0,0.0,Alexander-Walker,1629638.0,,,,
