actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-06T23:13:09.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-06T23:13:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-06T23:13:12.1Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2026-04-06T23:13:12Z,40000,False,,,0,,Jump Ball O. Okongwu vs. K. Towns: Tip to J. Johnson,"[1630552, 1630168, 1626157]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Okongwu,1630168.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-04-06T23:13:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,89.04402102496715,57.107843137254896,1610612737,0,0,2026-04-06T23:13:36Z,70000,False,36.0,50.0,1,right,MISS C. McCollum 6' driving floating Shot,[203468],1610612737.0,ATL,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,6.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2026-04-06T23:13:35.5Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,0,2026-04-06T23:13:36Z,80000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2026-04-06T23:13:36.4Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612752,0,0,2026-04-06T23:13:39Z,90000,False,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 203468]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,,,,,,,1.0,McCollum,203468.0,,,,,,,,,,,
10,PT11M32.00S,2026-04-06T23:13:36.4Z,1,REGULAR,steal,,[],203468,,,1610612737,0,0,2026-04-06T23:13:38Z,100000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2026-04-06T23:13:39.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,67.36202365308804,58.57843137254902,1610612737,3,0,2026-04-06T23:14:13Z,110000,False,43.0,254.0,1,right,C. McCollum 25' 3PT pullup (3 PTS),[203468],1610612737.0,ATL,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.79,Made,,,,,,,,3.0,,,,,,,,,,
12,PT11M09.00S,2026-04-06T23:14:00.8Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612752,3,0,2026-04-06T23:14:07Z,120000,False,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612752.0,NYK,bad pass,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,204058.0,,,,,,,,,
13,PT10M47.00S,2026-04-06T23:14:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630168,93.11760840998686,49.01960784313725,1610612737,5,0,2026-04-06T23:14:35Z,130000,False,-5.0,12.0,1,right,O. Okongwu driving Layup (2 PTS) (C. McCollum 1 AST),"[1630168, 203468]",1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,1.31,Made,,,,,,,,2.0,,C. McCollum,203468.0,1.0,,,,,,
15,PT10M37.00S,2026-04-06T23:14:39.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.09395532194481,49.754901960784316,1610612752,5,3,2026-04-06T23:14:43Z,150000,False,1.0,240.0,1,left,K. Towns 3PT  (3 PTS) (J. Hart 1 AST),"[1626157, 1628404]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,23.98,Made,,,,,,,,3.0,,J. Hart,1628404.0,1.0,,,,,,
