actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-02-25T00:40:30.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-25T00:40:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-25T00:40:43.6Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612737,0,0,2026-02-25T00:40:43Z,40000,False,,,0,,Jump Ball O. Okongwu vs. T. Vukcevic: Tip to C. McCollum,"[203468, 1630168, 1641774]",1610612737.0,ATL,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Okongwu,1630168.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-02-25T00:41:03.3Z,1,REGULAR,3pt,Jump Shot,[],1630168,74.98357424441524,13.725490196078432,1610612737,0,0,2026-02-25T00:41:10Z,70000,False,-181.0,183.0,1,right,MISS O. Okongwu 25' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2026-02-25T00:41:05.3Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,0,2026-02-25T00:41:10Z,80000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2026-02-25T00:41:10.6Z,1,REGULAR,turnover,bad pass,[],1642267,,,1610612764,0,0,2026-02-25T00:41:15Z,90000,False,,,0,,B. Carrington bad pass TURNOVER (1 TO),"[1642267, 1629638]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1.0,Alexander-Walker,1629638.0,,,,,,,,,,,
10,PT11M30.00S,2026-02-25T00:41:10.6Z,1,REGULAR,steal,,[],1629638,,,1610612737,0,0,2026-02-25T00:41:12Z,100000,False,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2026-02-25T00:41:21.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630168,90.48948751642575,52.94117647058824,1610612737,0,0,2026-02-25T00:41:26Z,110000,False,15.0,37.0,1,right,MISS O. Okongwu driving floating Shot,[1630168],1610612737.0,ATL,driving floating,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,3.97,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2026-02-25T00:41:22.0Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,0,0,2026-02-25T00:43:26Z,120000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M18.00S,2026-02-25T00:41:25.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630168,94.40999984741211,50.0,1610612737,0,0,2026-02-25T00:43:31Z,130000,False,0.0,0.0,1,right,MISS O. Okongwu putback Layup - blocked,"[1630168, 1641731]",1610612737.0,ATL,putback,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,Coulibaly,1641731.0,,,,,,,,,
14,PT11M18.00S,2026-02-25T00:41:25.4Z,1,REGULAR,block,,[],1641731,,,1610612737,0,0,2026-02-25T00:41:26Z,140000,False,,,0,,B. Coulibaly BLOCK (1 BLK),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M16.00S,2026-02-25T00:41:27.4Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,0,0,2026-02-25T00:43:31Z,150000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT11M14.00S,2026-02-25T00:41:28.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630700,85.75886990801577,49.26470588235294,1610612737,0,0,2026-02-25T00:44:32Z,160000,False,-4.0,81.0,1,right,MISS D. Daniels 8' floating Shot,[1630700],1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,8.15,Missed,,,,,,,,,,,,,,,,,,
17,PT11M13.00S,2026-02-25T00:41:29.2Z,1,REGULAR,rebound,defensive,[],1641774,,,1610612764,0,0,2026-02-25T00:44:32Z,170000,False,,,0,,T. Vukcevic REBOUND (Off:0 Def:1),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),8-16 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT11M05.00S,2026-02-25T00:41:38.1Z,1,REGULAR,turnover,out-of-bounds,[],1642273,,,1610612764,0,0,2026-02-25T00:41:45Z,180000,False,,,0,,K. George bad pass out-of-bounds TURNOVER (1 TO),[1642273],1610612764.0,WAS,bad pass,,,George,K. George,,,,,Right Corner 3,24+ Right,,,,,,,1.0,,,,,1627964.0,,,,,,,,
