actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-11-29T00:40:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-29T00:40:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-29T00:40:49.5Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2025-11-29T00:40:49Z,40000,False,,,0,,Jump Ball J. Allen vs. O. Okongwu: Tip to D. Garland,"[1629636, 1628386, 1630168]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-29T00:41:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612739,0,0,2025-11-29T00:41:22Z,70000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1630700, 1628378]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,202027.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-11-29T00:41:27.3Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,0,1,2025-11-29T00:41:27Z,90000,False,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2025-11-29T00:41:44.8Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,0,2,2025-11-29T00:41:44Z,100000,False,,,0,,D. Mitchell Free Throw 2 of 2 (2 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M22.00S,2025-11-29T00:42:07.8Z,1,REGULAR,turnover,bad pass,[],1630168,,,1610612737,0,2,2025-11-29T00:42:15Z,110000,False,,,0,,O. Okongwu bad pass TURNOVER (1 TO),"[1630168, 1629636]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Garland,1629636.0,,,,,,,,,,
12,PT11M22.00S,2025-11-29T00:42:07.8Z,1,REGULAR,steal,,[],1629636,,,1610612739,0,2,2025-11-29T00:42:09Z,120000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-11-29T00:42:14.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628378,93.77463863337714,50.49019607843137,1610612739,0,2,2025-11-29T00:43:31Z,130000,False,2.0,6.0,1,right,MISS D. Mitchell running Layup - blocked,"[1628378, 1630168]",1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,0.65,Okongwu,1630168.0,,,,,,,
14,PT11M16.00S,2025-11-29T00:42:14.6Z,1,REGULAR,block,,[],1630168,,,1610612739,0,2,2025-11-29T00:42:17Z,140000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2025-11-29T00:42:17.6Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,0,2,2025-11-29T00:42:27Z,150000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,
16,PT11M09.00S,2025-11-29T00:42:21.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629638,13.354139290407357,2.696078431372549,1610612737,0,2,2025-11-29T00:42:34Z,160000,False,237.0,73.0,1,left,MISS N. Alexander-Walker 24' running 3PT,[1629638],1610612737.0,ATL,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,24.75,,,,,,,,,
17,PT11M05.00S,2025-11-29T00:42:25.9Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,0,2,2025-11-29T00:42:34Z,170000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,
18,PT11M03.00S,2025-11-29T00:42:29.7Z,1,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612739,0,2,2025-11-29T00:42:39Z,180000,False,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1629638, 1628378]",1610612737.0,ATL,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,1146.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,,,,
20,PT11M03.00S,2025-11-29T00:42:56.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628378,,,1610612739,0,3,2025-11-29T00:42:56Z,200000,False,,,0,,D. Mitchell Free Throw 1 of 2 (3 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
21,PT11M03.00S,2025-11-29T00:43:14.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628378,,,1610612739,0,4,2025-11-29T00:43:14Z,210000,False,,,0,,D. Mitchell Free Throw 2 of 2 (4 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
