actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-28T23:41:54.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-28T23:41:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-28T23:41:57.2Z,1,REGULAR,jumpball,recovered,[],1629638,,,1610612737,0,0,2026-03-28T23:41:57Z,40000,False,,,0,,Jump Ball J. Landale vs. M. Raynaud: Tip to N. Alexander-Walker,"[1629638, 1629111, 1642875]",1610612737.0,ATL,startperiod,N. Alexander-Walker,1629638.0,Alexander-Walker,N. Alexander-Walker,Landale,1629111.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2026-03-28T23:42:16.7Z,1,REGULAR,3pt,Jump Shot,[],1631243,92.46057818659659,3.6764705882352944,1610612737,0,0,2026-03-28T23:42:22Z,70000,False,-232.0,18.0,1,right,MISS M. Gueye 3PT,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Left Corner 3,24+ Left,23.23,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2026-03-28T23:42:18.7Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,0,0,2026-03-28T23:42:22Z,80000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2026-03-28T23:42:23.8Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612758,0,0,2026-03-28T23:42:32Z,90000,False,,,0,,D. DeRozan bad pass out-of-bounds TURNOVER (1 TO),[201942],1610612758.0,SAC,bad pass,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,,,,,202049.0,1.0,,,,,,,,,,,,
10,PT11M24.00S,2026-03-28T23:42:33.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203468,83.65637319316689,49.754901960784316,1610612737,2,0,2026-03-28T23:42:39Z,100000,False,-1.0,101.0,1,right,C. McCollum 10' driving floating Jump Shot (2 PTS),[203468],1610612737.0,ATL,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,10.11,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M04.00S,2026-03-28T23:42:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642269,5.075558475689881,57.107843137254896,1610612758,2,0,2026-03-28T23:44:21Z,110000,False,-36.0,-5.0,1,left,MISS D. Carter cutting Layup,[1642269],1610612758.0,SAC,cutting,,,Carter,D. Carter,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2026-03-28T23:42:54.7Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,2,0,2026-03-28T23:43:00Z,120000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M53.00S,2026-03-28T23:43:04.0Z,1,REGULAR,2pt,Jump Shot,[],1630552,93.77463863337714,18.38235294117647,1610612737,2,0,2026-03-28T23:43:08Z,130000,False,-158.0,6.0,1,right,MISS J. Johnson 15' step back Shot,[1630552],1610612737.0,ATL,step back,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Left,15.82,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2026-03-28T23:43:06.9Z,1,REGULAR,rebound,offensive,[],1631243,,,1610612737,2,0,2026-03-28T23:43:06Z,140000,False,,,0,,M. Gueye REBOUND (Off:1 Def:0),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Mid-Range,8-16 Left,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
