actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-16T23:12:40.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-16T23:12:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-03-16T23:12:45.1Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2026-03-16T23:12:45Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. O. Okongwu: Tip to J. Suggs,"[1630591, 1628976, 1630168]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2026-03-16T23:13:08.4Z,1,REGULAR,2pt,Jump Shot,[],1631094,4.02431011826544,89.2156862745098,1610612753,0,0,2026-03-16T23:13:25Z,70000,False,-196.0,-15.0,1,left,MISS P. Banchero 19' step back Shot,[1631094],1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left,19.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2026-03-16T23:13:11.4Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,0,2026-03-16T23:13:13Z,80000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2026-03-16T23:13:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,80.6340341655716,49.754901960784316,1610612737,0,0,2026-03-16T23:13:23Z,90000,False,-1.0,130.0,1,right,MISS C. McCollum 12' driving floating Shot,[203468],1610612737.0,ATL,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,12.95,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2026-03-16T23:13:20.8Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2026-03-16T23:13:23Z,100000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2026-03-16T23:13:27.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631094,6.915243101182654,49.50980392156863,1610612753,0,0,2026-03-16T23:20:55Z,110000,False,2.0,13.0,1,left,MISS P. Banchero running Layup,[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.27,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2026-03-16T23:13:28.1Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,0,2026-03-16T23:13:34Z,120000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M10.00S,2026-03-16T23:13:31.0Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,0,0,2026-03-16T23:13:41Z,130000,False,,,0,,J. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1630552],1610612737.0,ATL,bad pass,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Right,,,,,,,2534.0,1.0,,,,,,,,,,,,
14,PT11M07.00S,2026-03-16T23:13:45.2Z,1,REGULAR,foul,personal,[],1630700,,,1610612753,0,0,2026-03-16T23:13:51Z,140000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 1630591]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,2534.0,,1.0,0.0,Suggs,1630591.0,,,,,,,,
16,PT10M53.00S,2026-03-16T23:14:11.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628976,18.74178712220762,47.794117647058826,1610612753,0,2,2026-03-16T23:14:16Z,160000,False,11.0,124.0,1,left,W. Carter Jr. 12' pullup Jump Shot (2 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.42,Made,,,,,,,,,,,2.0,J. Suggs,1630591.0,1.0,,,,
18,PT10M35.00S,2026-03-16T23:14:28.5Z,1,REGULAR,3pt,Jump Shot,[],1629638,73.9323258869908,87.00980392156863,1610612737,3,2,2026-03-16T23:14:34Z,180000,False,185.0,193.0,1,right,N. Alexander-Walker 26' 3PT  (3 PTS) (C. McCollum 1 AST),"[1629638, 203468]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,26.7,Made,,,,,,,,,,,3.0,C. McCollum,203468.0,1.0,,,,
20,PT10M24.00S,2026-03-16T23:14:40.2Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.225361366622867,38.970588235294116,1610612753,3,5,2026-03-16T23:14:45Z,200000,False,55.0,241.0,1,left,W. Carter Jr. 24' 3PT  (5 PTS) (D. Bane 1 AST),"[1628976, 1630217]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,24.72,Made,,,,,,,,,,,5.0,D. Bane,1630217.0,1.0,,,,
22,PT10M07.00S,2026-03-16T23:14:57.1Z,1,REGULAR,2pt,Jump Shot,[],203468,91.67214191852825,73.52941176470588,1610612737,5,5,2026-03-16T23:15:01Z,220000,False,118.0,26.0,1,right,C. McCollum 12' Jump Shot (2 PTS) (N. Alexander-Walker 1 AST),"[203468, 1629638]",1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,12.04,Made,,,,,,,,,,,2.0,N. Alexander-Walker,1629638.0,1.0,,,,
24,PT09M52.00S,2026-03-16T23:15:12.3Z,1,REGULAR,3pt,Jump Shot,[],1630591,30.962549277266753,62.00980392156863,1610612753,5,5,2026-03-16T23:15:17Z,240000,False,-60.0,239.0,1,left,MISS J. Suggs 24' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,24.59,Missed,,,,,,,,,,,,,,,,,,
25,PT09M49.00S,2026-03-16T23:15:15.3Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,5,5,2026-03-16T23:15:17Z,250000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M41.00S,2026-03-16T23:15:23.4Z,1,REGULAR,3pt,Jump Shot,[],1629638,68.28186596583443,32.84313725490196,1610612737,5,5,2026-03-16T23:15:29Z,260000,False,-86.0,246.0,1,right,MISS N. Alexander-Walker 26' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Left Center,26.03,Missed,,,,,,,,,,,,,,,,,,
27,PT09M38.00S,2026-03-16T23:15:26.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,5,5,2026-03-16T23:15:29Z,270000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT09M23.00S,2026-03-16T23:15:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,5.995400788436268,47.30392156862745,1610612753,5,7,2026-03-16T23:15:45Z,280000,False,13.0,4.0,1,left,D. Bane driving Layup (2 PTS),[1630217],1610612753.0,ORL,driving,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.41,Made,,,,,,,,,,,2.0,,,,,,,
29,PT09M16.00S,2026-03-16T23:15:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,92.59198423127464,51.470588235294116,1610612737,7,7,2026-03-16T23:15:53Z,290000,False,7.0,17.0,1,right,D. Daniels driving floating Jump Shot (2 PTS),[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,1.86,Made,,,,,,,,,,,2.0,,,,,,,
