actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-06T00:40:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-06T00:40:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-06T00:40:20.0Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2026-02-06T00:40:20Z,40000,False,,,0,,Jump Ball J. Landale vs. L. Markkanen: Tip to J. Johnson,"[1630552, 1629111, 1628374]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Landale,1629111.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-02-06T00:40:32.9Z,1,REGULAR,3pt,Jump Shot,[],1642258,26.10052562417871,80.63725490196079,1610612737,0,0,2026-02-06T00:40:39Z,70000,False,-153.0,193.0,1,left,MISS Z. Risacher 24' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,24.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-02-06T00:40:34.9Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612737,0,0,2026-02-06T00:40:39Z,80000,False,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M40.00S,2026-02-06T00:41:07.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,0,0,2026-02-06T00:44:02Z,100000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M40.00S,2026-02-06T00:43:13.1Z,1,REGULAR,turnover,out-of-bounds,[],1629111,,,1610612737,0,0,2026-02-06T00:44:58Z,120000,False,,,0,,J. Landale lost ball out-of-bounds TURNOVER (1 TO),[1629111],1610612737.0,ATL,lost ball,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,1.0,,,,,,,,,,,,
13,PT11M29.00S,2026-02-06T00:44:08.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642271,88.38699080157687,97.05882352941177,1610612762,0,0,2026-02-06T00:44:14Z,130000,False,235.0,57.0,1,right,MISS K. Filipowski 24' 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,24.2,Missed,,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2026-02-06T00:44:12.4Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,0,0,2026-02-06T00:44:14Z,140000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M09.00S,2026-02-06T00:44:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,10.200394218134035,48.529411764705884,1610612737,0,0,2026-02-06T00:44:38Z,150000,False,7.0,43.0,1,left,MISS D. Daniels driving floating Shot,[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,4.4,Missed,,,,,,,,,,,,,,,,,,
16,PT11M07.00S,2026-02-06T00:44:30.4Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612737,0,0,2026-02-06T00:44:30Z,160000,False,,,0,,J. Landale REBOUND (Off:2 Def:0),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,15.0,2.0,0.0,2.0,,,,,,,,,,,,,,
