actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-23T23:40:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-23T23:40:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-23T23:40:22.8Z,1,REGULAR,jumpball,recovered,[],1629638,,,1610612737,0,0,2026-03-23T23:40:22Z,40000,False,,,0,,Jump Ball O. Okongwu vs. O. Prosper: Tip to N. Alexander-Walker,"[1629638, 1630168, 1641765]",1610612737.0,ATL,startperiod,N. Alexander-Walker,1629638.0,Alexander-Walker,N. Alexander-Walker,Okongwu,1630168.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-03-23T23:40:36.6Z,1,REGULAR,3pt,Jump Shot,[],1629638,71.17279894875165,77.69607843137256,1610612737,0,0,2026-03-23T23:40:41Z,70000,False,138.0,218.0,1,right,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,25.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-03-23T23:40:40.6Z,1,REGULAR,rebound,defensive,[],1641713,,,1610612763,0,0,2026-03-23T23:40:41Z,80000,False,,,0,,G. Jackson REBOUND (Off:0 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2026-03-23T23:40:45.8Z,1,REGULAR,foul,personal,['2freethrow'],1631243,,,1610612763,0,0,2026-03-23T23:41:07Z,90000,False,,,0,,M. Gueye shooting personal FOUL (1 PF) (Jackson 2 FT),"[1631243, 1641713]",1610612737.0,ATL,shooting,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,,,,1148.0,1.0,0.0,Jackson,1641713.0,,,,,,,,,
11,PT11M36.00S,2026-03-23T23:41:12.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641713,,,1610612763,0,1,2026-03-23T23:41:12Z,110000,False,,,0,,G. Jackson Free Throw 1 of 2 (1 PTS),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M36.00S,2026-03-23T23:41:27.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641713,,,1610612763,0,2,2026-03-23T23:41:27Z,120000,False,,,0,,G. Jackson Free Throw 2 of 2 (2 PTS),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M18.00S,2026-03-23T23:41:48.2Z,1,REGULAR,turnover,bad pass,[],1631243,,,1610612737,0,2,2026-03-23T23:41:53Z,130000,False,,,0,,M. Gueye bad pass TURNOVER (1 TO),"[1631243, 1641765]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Prosper,1641765.0,,,,,
14,PT11M18.00S,2026-03-23T23:41:48.2Z,1,REGULAR,steal,,[],1641765,,,1610612763,0,2,2026-03-23T23:41:50Z,140000,False,,,0,,O. Prosper STEAL (1 STL),[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2026-03-23T23:41:58.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629660,15.982260183968464,42.64705882352941,1610612763,0,2,2026-03-23T23:42:04Z,150000,False,37.0,98.0,1,left,MISS T. Jerome 10' driving floating Shot,[1629660],1610612763.0,MEM,driving floating,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),8-16 Center,10.44,Missed,,,,,,,,,,,,,,,,,,
