actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-05T00:40:24.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T00:40:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-05T00:40:26.6Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2022-11-05T00:40:26Z,40000,,,0,,Jump Ball C. Koloko vs. D. Powell: Tip to S. Barnes,"[1630567, 1631132, 203939]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Koloko,1631132.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-05T00:40:36.0Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,0,0,2022-11-05T00:40:46Z,70000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1627827]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,1.0,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-11-05T00:40:36.0Z,1,REGULAR,steal,,[],1627827,,,1610612742,0,0,2022-11-05T00:40:38Z,80000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-11-05T00:40:45.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203493,68.41327201051249,64.4607843137255,1610612742,0,0,2022-11-05T00:41:26Z,90000,72.0,244.0,1,right,MISS R. Bullock 25' pullup 3PT,[203493],1610612742.0,DAL,pullup,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Center,,,,25.49,Missed,,,,,,,,,,,,,,,
10,PT11M34.00S,2022-11-05T00:40:49.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2022-11-05T00:43:42Z,100000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M32.00S,2022-11-05T00:40:52.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628384,6.389618922470433,47.549019607843135,1610612761,0,0,2022-11-05T00:43:52Z,110000,12.0,8.0,1,left,MISS O. Anunoby running Layup,[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,1.45,Missed,,,,,,,,,,,,,,,
12,PT11M27.00S,2022-11-05T00:40:56.5Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,0,0,2022-11-05T00:40:56Z,120000,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M27.00S,2022-11-05T00:40:56.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1628384,5.590000152587891,50.0,1610612761,0,2,2022-11-05T00:44:14Z,130000,0.0,0.0,1,left,O. Anunoby tip Layup (2 PTS),[1628384],1610612761.0,TOR,tip,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,2.0,,,,,,,,,,
14,PT11M09.00S,2022-11-05T00:41:14.2Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,2,2022-11-05T00:41:32Z,140000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1627783]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,1.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,
