actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-30T23:40:59.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T23:40:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-30T23:41:01.7Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2022-10-30T23:41:01Z,40000,,,0,,Jump Ball B. Bol vs. J. McGee: Tip to W. Carter Jr.,"[1628976, 1629626, 201580]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bol,1629626.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-30T23:41:14.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,5.995400788436268,49.26470588235294,1610612753,0,2,2022-10-30T23:41:19Z,70000,4.0,4.0,1,left,W. Carter Jr. driving Layup (2 PTS) (T. Ross 1 AST),"[1628976, 203082]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.54,Made,2.0,T. Ross,203082.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-10-30T23:41:32.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201580,91.32720105124835,59.82689950980392,1610612742,0,2,2022-10-30T23:41:40Z,90000,49.0,29.0,1,right,MISS J. McGee Hook,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,In The Paint (Non-RA),0-8 Center,5.7,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-10-30T23:41:34.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,0,2,2022-10-30T23:41:40Z,100000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,,,,,,,,,,,,,
12,PT11M04.00S,2022-10-30T23:41:59.8Z,1,REGULAR,2pt,Jump Shot,[],1630532,23.603810775295663,28.431372549019606,1610612753,0,4,2022-10-30T23:42:06Z,120000,108.0,169.0,1,left,F. Wagner 20' pullup Jump Shot (2 PTS),[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Right Center,20.08,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2022-10-30T23:42:21.4Z,1,REGULAR,2pt,Jump Shot,[],1629029,92.9862023653088,28.186274509803923,1610612742,2,4,2022-10-30T23:42:25Z,130000,-109.0,13.0,1,right,L. Doncic 10' turnaround fadeaway Jump Shot (2 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,10.99,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M27.00S,2022-10-30T23:42:36.6Z,1,REGULAR,2pt,Jump Shot,[],1631094,21.369908015768726,23.774509803921568,1610612753,2,4,2022-10-30T23:44:08Z,140000,131.0,148.0,1,left,MISS P. Banchero 19' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,19.8,Missed,,,,,,,,,,,,,,,,,,
15,PT10M24.00S,2022-10-30T23:42:39.6Z,1,REGULAR,rebound,defensive,[],201580,,,1610612742,2,4,2022-10-30T23:42:42Z,150000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Mid-Range,16-24 Right Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M08.00S,2022-10-30T23:42:55.8Z,1,REGULAR,2pt,Jump Shot,[],203915,75.90341655716163,29.166666666666668,1610612742,2,4,2022-10-30T23:43:00Z,160000,-104.0,174.0,1,right,MISS S. Dinwiddie 20' Jump Shot,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Left Center,20.28,Missed,,,,,,,,,,,,,,,,,,
