actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-13T01:40:20.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-13T01:40:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-13T01:40:22.5Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2022-11-13T01:40:22Z,40000,False,,,0,,Jump Ball D. Eubanks vs. D. Powell: Tip to J. Grant,"[203924, 1629234, 203939]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Eubanks,1629234.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-11-13T01:40:42.9Z,1,REGULAR,3pt,Jump Shot,[],203924,26.231931668856767,17.647058823529413,1610612757,0,0,2022-11-13T01:40:52Z,70000,False,162.0,194.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-11-13T01:40:43.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2022-11-13T01:40:52Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-11-13T01:40:48.0Z,1,REGULAR,foul,personal,[],203939,,,1610612757,0,0,2022-11-13T01:41:11Z,90000,False,,,0,,D. Powell loose ball personal FOUL (1 PF),"[203939, 1629234]",1610612742.0,DAL,loose ball,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,1627524.0,1.0,0.0,Eubanks,1629234.0,,,,,,,,,,,,
11,PT11M21.00S,2022-11-13T01:41:17.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629234,5.469776609724048,49.50980392156863,1610612757,0,2,2022-11-13T01:41:35Z,110000,False,2.0,-1.0,1,left,D. Eubanks cutting DUNK (2 PTS) (A. Simons 1 AST),"[1629234, 1629014]",1610612757.0,POR,cutting,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,0.27,Made,,,,,,,2.0,A. Simons,1629014.0,1.0,,,,,,,,
13,PT10M56.00S,2022-11-13T01:41:41.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,81.02825229960578,23.284313725490197,1610612742,0,2,2022-11-13T01:41:47Z,130000,False,-134.0,126.0,1,right,MISS L. Doncic 18' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,18.35,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2022-11-13T01:41:44.8Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,0,2,2022-11-13T01:41:47Z,140000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Left Center,,,13.0,,,,,,,,,,1.0,1.0,0.0,,,,,
15,PT10M46.00S,2022-11-13T01:41:51.7Z,1,REGULAR,2pt,Jump Shot,[],203081,4.5499342969776615,19.607843137254903,1610612757,0,2,2022-11-13T01:41:57Z,150000,False,152.0,-10.0,1,left,MISS D. Lillard 15' pullup Shot,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Right,15.23,Missed,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2022-11-13T01:41:54.5Z,1,REGULAR,rebound,offensive,[],203081,,,1610612757,0,2,2022-11-13T01:41:54Z,160000,False,,,0,,D. Lillard REBOUND (Off:1 Def:0),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Right,,,15.0,,,,,,,,,,1.0,0.0,1.0,,,,,
17,PT10M41.00S,2022-11-13T01:41:56.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203081,7.178055190538765,3.431372549019608,1610612757,0,5,2022-11-13T01:42:00Z,170000,False,233.0,15.0,1,left,D. Lillard 3PT  (3 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Right Corner 3,24+ Right,23.33,Made,,,,,,,3.0,,,,,,,,,,,
18,PT10M27.00S,2022-11-13T01:42:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,93.51182654402102,47.549019607843135,1610612742,0,5,2022-11-13T01:42:16Z,180000,False,-12.0,8.0,1,right,MISS D. Powell alley-oop Layup,[203939],1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,1.5,Missed,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-11-13T01:42:13.3Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,5,2022-11-13T01:42:16Z,190000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,18.0,,,,,,,,,,1.0,1.0,0.0,,,,,
20,PT10M11.00S,2022-11-13T01:42:26.2Z,1,REGULAR,2pt,Jump Shot,[],1629014,22.026938239159,26.715686274509803,1610612757,0,5,2022-11-13T01:42:34Z,200000,False,116.0,155.0,1,left,MISS A. Simons 19' Jump Shot,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right Center,19.35,Missed,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2022-11-13T01:42:27.2Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,0,5,2022-11-13T01:42:34Z,210000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Right Center,,,20.0,,,,,,,,,,2.0,1.0,1.0,,,,,
22,PT10M00.00S,2022-11-13T01:42:38.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203924,5.601182654402102,49.26470588235294,1610612757,0,7,2022-11-13T01:42:47Z,220000,False,4.0,0.0,1,left,J. Grant cutting DUNK (2 PTS) (D. Lillard 1 AST),"[203924, 203081]",1610612757.0,POR,cutting,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,0.37,Made,,,,,,,2.0,D. Lillard,203081.0,1.0,,,,,,,,
24,PT10M00.00S,2022-11-13T01:42:43.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,0,7,2022-11-13T01:42:43Z,240000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M42.00S,2022-11-13T01:45:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,92.72339027595268,48.77450980392157,1610612742,2,7,2022-11-13T01:45:59Z,250000,False,-6.0,16.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,1.7,Made,,,,,,,2.0,,,,,,,,,,,
26,PT09M42.00S,2022-11-13T01:45:57.1Z,1,REGULAR,foul,personal,['1freethrow'],1629234,,,1610612742,2,7,2022-11-13T01:46:03Z,260000,False,,,0,,D. Eubanks shooting personal FOUL (1 PF) (Doncic 1 FT),"[1629234, 1629029]",1610612757.0,POR,shooting,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,1627524.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,
28,PT09M42.00S,2022-11-13T01:46:20.8Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,3,7,2022-11-13T01:46:20Z,280000,False,,,0,,L. Doncic Free Throw 1 of 1 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
