actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-24T01:58:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-24T01:58:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-24T01:58:38.0Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2023-02-24T01:58:38Z,40000,False,,,0,,Jump Ball D. Powell vs. Z. Collins: Tip to L. Doncic,"[1629029, 203939, 1628380]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Powell,203939.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-02-24T01:58:52.1Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,0,0,2023-02-24T01:58:57Z,70000,False,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Right,1179.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-02-24T01:59:13.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628966,8.804204993429698,45.93673406862745,1610612759,0,0,2023-02-24T01:59:20Z,80000,False,20.0,30.0,1,left,MISS K. Bates-Diop turnaround bank Shot,[1628966],1610612759.0,SAS,turnaround bank,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,3.65,Missed,,,,,,,,,,,,,,,,
9,PT11M28.00S,2023-02-24T01:59:15.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2023-02-24T01:59:20Z,90000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M18.00S,2023-02-24T01:59:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630182,95.22010512483574,97.05882352941177,1610612742,0,0,2023-02-24T01:59:30Z,100000,False,235.0,-8.0,1,right,MISS J. Green 3PT,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,23.54,Missed,,,,,,,,,,,,,,,,
11,PT11M15.00S,2023-02-24T01:59:29.1Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,0,0,2023-02-24T01:59:30Z,110000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Right Corner 3,24+ Right,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M00.00S,2023-02-24T02:00:04.5Z,1,REGULAR,2pt,Jump Shot,[],1629640,16.90210249671485,33.57843137254902,1610612759,0,0,2023-02-24T02:00:18Z,130000,False,82.0,106.0,1,left,MISS K. Johnson 13' driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Right,,,13.44,Missed,,,,,,,,,,,,,,,,
14,PT10M57.00S,2023-02-24T02:00:07.5Z,1,REGULAR,rebound,offensive,[],1628380,,,1610612759,0,0,2023-02-24T02:00:09Z,140000,False,,,0,,Z. Collins REBOUND (Off:1 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Right,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,
16,PT10M51.00S,2023-02-24T02:00:29.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628380,27.020367936925098,80.14705882352942,1610612759,0,0,2023-02-24T02:00:33Z,160000,False,-151.0,201.0,1,left,MISS Z. Collins 25' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,,25.16,Missed,,,,,,,,,,,,,,,,
