actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-19T01:40:47.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-19T01:40:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-19T01:40:49.1Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2022-11-19T01:40:49Z,40000,False,,,0,,Jump Ball D. Powell vs. D. Jordan: Tip to S. Dinwiddie,"[203915, 203939, 201599]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Powell,203939.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-19T01:41:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203493,80.89684625492772,55.63725490196079,1610612742,2,0,2022-11-19T01:41:09Z,70000,False,28.0,127.0,1,right,R. Bullock 13' pullup Jump Shot (2 PTS) (D. Powell 1 AST),"[203493, 203939]",1610612742.0,DAL,pullup,,,Bullock,R. Bullock,,,,,In The Paint (Non-RA),8-16 Center,13.02,Made,2.0,D. Powell,203939.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-11-19T01:41:22.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,6.915243101182654,48.77450980392157,1610612743,2,2,2022-11-19T01:41:28Z,90000,False,6.0,13.0,1,left,D. Jordan cutting DUNK (2 PTS) (M. Porter Jr. 1 AST),"[201599, 1629008]",1610612743.0,DEN,cutting,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,1.39,Made,2.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2022-11-19T01:41:41.5Z,1,REGULAR,foul,personal,['2freethrow'],201599,,,1610612742,2,2,2022-11-19T01:41:49Z,110000,False,,,0,,D. Jordan shooting personal FOUL (1 PF) (Finney-Smith 2 FT),"[201599, 1627827]",1610612743.0,DEN,shooting,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,,,,1626301.0,1.0,0.0,Finney-Smith,1627827.0,,,,,,,,,
13,PT11M06.00S,2022-11-19T01:42:12.4Z,1,REGULAR,freethrow,1 of 2,[],1627827,,,1610612742,2,2,2022-11-19T01:42:12Z,130000,False,,,0,,MISS D. Finney-Smith Free Throw 1 of 2,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-11-19T01:42:12.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,2,2,2022-11-19T01:42:12Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
15,PT11M06.00S,2022-11-19T01:42:26.7Z,1,REGULAR,freethrow,2 of 2,[],1627827,,,1610612742,3,2,2022-11-19T01:42:26Z,150000,False,,,0,,D. Finney-Smith Free Throw 2 of 2 (1 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2022-11-19T01:42:41.6Z,1,REGULAR,2pt,Jump Shot,[],203484,28.728646517739815,59.068627450980394,1610612743,3,4,2022-11-19T01:42:45Z,160000,False,-45.0,218.0,1,left,K. Caldwell-Pope 22' Jump Shot (2 PTS) (B. Brown 1 AST),"[203484, 1628971]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,22.22,Made,2.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,
18,PT10M37.00S,2022-11-19T01:42:55.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,85.10183968462549,93.87254901960785,1610612742,6,4,2022-11-19T01:43:03Z,180000,False,219.0,88.0,1,right,D. Finney-Smith 3PT  (4 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,23.62,Made,4.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
