actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-08T02:45:25.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T02:45:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-08T02:45:26.8Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2022-11-08T02:45:26Z,40000,,,0,,Jump Ball J. McGee vs. N. Claxton: Tip to S. Dinwiddie,"[203915, 201580, 1629651]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,McGee,201580.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-08T02:45:38.8Z,1,REGULAR,turnover,bad pass,[],203915,,,1610612742,0,0,2022-11-08T02:45:43Z,70000,,,0,,S. Dinwiddie bad pass TURNOVER (1 TO),"[203915, 1628410]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,1.0,Sumner,1628410.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-11-08T02:45:38.8Z,1,REGULAR,steal,,[],1628410,,,1610612751,0,0,2022-11-08T02:45:40Z,80000,,,0,,E. Sumner STEAL (1 STL),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-11-08T02:45:52.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626220,30.56833114323259,28.186274509803923,1610612751,0,0,2022-11-08T02:45:59Z,90000,109.0,235.0,1,left,MISS R. O'Neale 25' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,25.89,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-11-08T02:45:55.7Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2022-11-08T02:45:59Z,100000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M24.00S,2022-11-08T02:46:00.1Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1628410,25.18068331143233,65.93137254901961,1610612751,0,2,2022-11-08T02:56:36Z,110000,-80.0,184.0,1,left,E. Sumner 20' pullup Jump Shot (2 PTS) (R. O'Neale 1 AST),"[1628410, 1626220]",1610612751.0,BKN,pullup,,,Sumner,E. Sumner,,,,,Mid-Range,16-24 Left Center,,,,20.07,Made,,,,,2.0,R. O'Neale,1626220.0,1.0,,,,,,,
13,PT11M10.00S,2022-11-08T02:46:14.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201580,93.51182654402102,59.31372549019608,1610612742,0,2,2022-11-08T02:46:19Z,130000,47.0,8.0,1,right,MISS J. McGee Hook,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,In The Paint (Non-RA),0-8 Center,,,,4.74,Missed,,,,,,,,,,,,,,,
14,PT11M07.00S,2022-11-08T02:46:17.6Z,1,REGULAR,rebound,defensive,[],1628410,,,1610612751,0,2,2022-11-08T02:46:19Z,140000,,,0,,E. Sumner REBOUND (Off:0 Def:1),[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT11M04.00S,2022-11-08T02:46:19.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628410,18.347568988173457,41.42156862745098,1610612751,0,2,2022-11-08T02:46:26Z,150000,43.0,120.0,1,left,MISS E. Sumner 12' driving floating Shot,[1628410],1610612751.0,BKN,driving floating,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),8-16 Center,,,,12.74,Missed,,,,,,,,,,,,,,,
