actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT11M01.00S,2022-11-08T02:46:22.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,2,2022-11-08T02:46:26Z,160000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M53.00S,2022-11-08T02:46:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1628410,,,1610612742,0,2,2022-11-08T02:46:40Z,170000,,,0,,E. Sumner shooting personal FOUL (1 PF) (Doncic 2 FT),"[1628410, 1629029]",1610612751.0,BKN,shooting,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203593.0,1.0,0.0,Doncic,1629029.0,,
19,PT10M53.00S,2022-11-08T02:47:05.5Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,1,2,2022-11-08T02:47:05Z,190000,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
20,PT10M53.00S,2022-11-08T02:47:22.9Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,2,2,2022-11-08T02:47:22Z,200000,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
21,PT10M29.00S,2022-11-08T02:47:47.8Z,1,REGULAR,2pt,Hook,[],1629651,14.011169513797633,32.35294117647059,1610612751,2,2,2022-11-08T02:47:54Z,210000,88.0,79.0,1,left,MISS N. Claxton 11' turnaround bank Hook,[1629651],1610612751.0,BKN,turnaround bank,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,,,,11.85,Missed,,,,,,,,,,,,,,,
22,PT10M28.00S,2022-11-08T02:47:48.8Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,2,2022-11-08T02:47:54Z,220000,,,0,,N. Claxton REBOUND (Off:2 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,,,,,,21.0,2.0,0.0,2.0,,,,,,,,,,,
23,PT10M25.00S,2022-11-08T02:47:52.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,28.86005256241787,75.0,1610612751,2,2,2022-11-08T02:47:56Z,230000,-125.0,219.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,25.2,Missed,,,,,,,,,,,,,,,
24,PT10M25.00S,2022-11-08T02:47:52.5Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,2,2022-11-08T02:47:56Z,240000,,,0,,N. Claxton REBOUND (Off:3 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,23.0,3.0,0.0,3.0,,,,,,,,,,,
25,PT10M18.00S,2022-11-08T02:47:58.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201142,17.69053876478318,49.26470588235294,1610612751,2,2,2022-11-08T02:48:11Z,250000,4.0,114.0,1,left,MISS K. Durant 11' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,11.39,Missed,,,,,,,,,,,,,,,
26,PT10M15.00S,2022-11-08T02:48:01.7Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,2,2,2022-11-08T02:48:04Z,260000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT10M09.00S,2022-11-08T02:48:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.77463863337714,52.450980392156865,1610612742,2,2,2022-11-08T02:48:14Z,270000,12.0,6.0,1,right,MISS L. Doncic driving reverse Layup,[1629029],1610612742.0,DAL,driving reverse,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,1.37,Missed,,,,,,,,,,,,,,,
28,PT10M07.00S,2022-11-08T02:48:10.6Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,2,2,2022-11-08T02:48:14Z,280000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M59.00S,2022-11-08T02:48:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,6.258212877792378,48.03921568627451,1610612751,2,2,2022-11-08T02:48:23Z,290000,10.0,6.0,1,left,MISS R. O'Neale driving reverse Layup,[1626220],1610612751.0,BKN,driving reverse,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,1.17,Missed,,,,,,,,,,,,,,,
30,PT09M57.00S,2022-11-08T02:48:20.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,2,2,2022-11-08T02:48:23Z,300000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,
31,PT09M53.00S,2022-11-08T02:48:24.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203915,73.53810775295663,82.1078431372549,1610612742,2,2,2022-11-08T02:48:30Z,310000,161.0,196.0,1,right,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,25.35,Missed,,,,,,,,,,,,,,,
32,PT09M49.00S,2022-11-08T02:48:28.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,2,2022-11-08T02:48:30Z,320000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M45.00S,2022-11-08T02:48:32.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,30.56833114323259,65.68627450980392,1610612751,2,5,2022-11-08T02:48:37Z,330000,-78.0,235.0,1,left,K. Durant 24' 3PT pullup (3 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,24.75,Made,,,,,3.0,,,,,,,,,,
34,PT09M24.00S,2022-11-08T02:48:52.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,93.24901445466492,30.392156862745097,1610612742,2,5,2022-11-08T02:48:57Z,340000,-98.0,11.0,1,right,MISS L. Doncic 9' turnaround fadeaway Shot,[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,,,,9.86,Missed,,,,,,,,,,,,,,,
35,PT09M21.00S,2022-11-08T02:48:55.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,2,5,2022-11-08T02:48:57Z,350000,,,0,,N. Claxton REBOUND (Off:3 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,,,,,,34.0,4.0,1.0,3.0,,,,,,,,,,,
36,PT09M16.00S,2022-11-08T02:49:01.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629651,6.915243101182654,49.26470588235294,1610612751,2,7,2022-11-08T02:49:09Z,360000,4.0,13.0,1,left,N. Claxton cutting DUNK (2 PTS) (K. Durant 1 AST),"[1629651, 201142]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,1.3,Made,,,,,2.0,K. Durant,201142.0,1.0,,,,,,,
38,PT09M01.00S,2022-11-08T02:49:16.4Z,1,REGULAR,turnover,bad pass,[],201580,,,1610612742,2,7,2022-11-08T02:49:20Z,380000,,,0,,J. McGee bad pass TURNOVER (1 TO),"[201580, 201142]",1610612742.0,DAL,,,,McGee,J. McGee,,,,,Above the Break 3,24+ Center,1.0,Durant,201142.0,,,,,,,,,,,,,,,,,
39,PT09M01.00S,2022-11-08T02:49:16.4Z,1,REGULAR,steal,,[],201142,,,1610612751,2,7,2022-11-08T02:49:18Z,390000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
40,PT08M56.00S,2022-11-08T02:49:21.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626220,29.6484888304862,24.019607843137255,1610612751,2,7,2022-11-08T02:49:27Z,400000,130.0,226.0,1,left,MISS R. O'Neale 26' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,26.08,Missed,,,,,,,,,,,,,,,
41,PT08M52.00S,2022-11-08T02:49:25.4Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,2,7,2022-11-08T02:49:27Z,410000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,
42,PT08M42.00S,2022-11-08T02:49:34.4Z,1,REGULAR,3pt,Jump Shot,[],203915,78.40013140604468,87.99019607843137,1610612742,2,7,2022-11-08T02:59:39Z,420000,190.0,151.0,1,right,MISS S. Dinwiddie 24' pullup 3PT,[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,24.24,Missed,,,,,,,,,,,,,,,
43,PT08M40.00S,2022-11-08T02:49:36.4Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,2,7,2022-11-08T02:49:38Z,430000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,
44,PT08M35.00S,2022-11-08T02:49:46.2Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612742,2,7,2022-11-08T02:49:51Z,440000,,,0,,N. Claxton shooting personal FOUL (1 PF) (Doncic 2 FT),"[1629651, 1629029]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2004.0,1.0,0.0,Doncic,1629029.0,,
46,PT08M35.00S,2022-11-08T02:50:25.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629029,,,1610612742,2,7,2022-11-08T02:50:25Z,460000,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
47,PT08M35.00S,2022-11-08T02:50:25.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,2,7,2022-11-08T02:50:25Z,470000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,
48,PT08M35.00S,2022-11-08T02:50:26.6Z,1,REGULAR,substitution,out,[],201580,,,1610612742,2,7,2022-11-08T02:50:30Z,480000,,,0,,SUB out: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M35.00S,2022-11-08T02:50:26.6Z,1,REGULAR,substitution,in,[],1626174,,,1610612742,2,7,2022-11-08T02:50:30Z,490000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M35.00S,2022-11-08T02:50:55.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629029,,,1610612742,3,7,2022-11-08T02:50:55Z,500000,,,0,,L. Doncic Free Throw 2 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
51,PT08M12.00S,2022-11-08T02:51:20.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,6.258212877792378,49.01960784313725,1610612751,3,9,2022-11-08T02:51:27Z,510000,5.0,6.0,1,left,N. Claxton cutting DUNK (4 PTS) (R. O'Neale 2 AST),"[1629651, 1626220]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,0.8,Made,,,,,4.0,R. O'Neale,1626220.0,2.0,,,,,,,
53,PT07M44.00S,2022-11-08T02:51:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,92.06636005256242,50.49019607843137,1610612742,5,9,2022-11-08T02:51:55Z,530000,2.0,22.0,1,right,L. Doncic driving Layup (5 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,2.22,Made,,,,,5.0,,,,,,,,,,
54,PT07M36.00S,2022-11-08T02:51:56.1Z,1,REGULAR,turnover,lost ball,[],1628410,,,1610612751,5,9,2022-11-08T02:51:59Z,540000,,,0,,E. Sumner lost ball TURNOVER (1 TO),"[1628410, 1629029]",1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Mid-Range,16-24 Right Center,1.0,Doncic,1629029.0,,,,,,,,,,,,,,,,,
55,PT07M36.00S,2022-11-08T02:51:56.1Z,1,REGULAR,steal,,[],1629029,,,1610612742,5,9,2022-11-08T02:51:57Z,550000,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
56,PT07M32.00S,2022-11-08T02:52:00.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627827,93.38042049934296,50.0,1610612742,7,9,2022-11-08T02:52:06Z,560000,0.0,10.0,1,right,D. Finney-Smith running alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",1610612742.0,DAL,running alley-oop,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,0.97,Made,,,,,2.0,L. Doncic,1629029.0,1.0,,,,,,,
58,PT07M17.00S,2022-11-08T02:52:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,6.915243101182654,47.549019607843135,1610612751,7,11,2022-11-08T02:52:20Z,580000,12.0,13.0,1,left,R. O'Neale driving finger roll Layup (2 PTS),[1626220],1610612751.0,BKN,driving finger roll,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,1.75,Made,,,,,2.0,,,,,,,,,,
59,PT06M59.00S,2022-11-08T02:52:35.2Z,1,REGULAR,turnover,traveling,[],1626174,,,1610612742,7,11,2022-11-08T02:52:43Z,590000,,,0,,C. Wood traveling TURNOVER (1 TO),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,1627964.0,,,,,,
60,PT06M59.00S,2022-11-08T02:52:40.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,7,11,2022-11-08T02:52:40Z,600000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M46.00S,2022-11-08T02:55:44.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629651,11.908672798948752,55.63725490196079,1610612751,7,13,2022-11-08T02:55:48Z,610000,-28.0,59.0,1,left,N. Claxton 6' turnaround Hook (6 PTS) (K. Durant 2 AST),"[1629651, 201142]",1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,6.58,Made,,,,,6.0,K. Durant,201142.0,2.0,,,,,,,
63,PT06M33.00S,2022-11-08T02:55:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,91.80354796320631,45.588235294117645,1610612742,9,13,2022-11-08T02:56:10Z,630000,-22.0,25.0,1,right,L. Doncic turnaround Jump Shot (7 PTS) (C. Wood 1 AST),"[1629029, 1626174]",1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,3.3,Made,,,,,7.0,C. Wood,1626174.0,1.0,,,,,,,
65,PT06M33.00S,2022-11-08T02:56:01.5Z,1,REGULAR,foul,personal,['1freethrow'],1628410,,,1610612742,9,13,2022-11-08T02:56:08Z,650000,,,0,,E. Sumner shooting personal FOUL (2 PF) (Doncic 1 FT),"[1628410, 1629029]",1610612751.0,BKN,shooting,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,203593.0,2.0,0.0,Doncic,1629029.0,,
67,PT06M33.00S,2022-11-08T02:56:30.1Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,9,13,2022-11-08T02:56:35Z,670000,,,0,,MISS L. Doncic Free Throw 1 of 1,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
68,PT06M30.00S,2022-11-08T02:56:33.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,9,13,2022-11-08T02:56:35Z,680000,,,0,,N. Claxton REBOUND (Off:3 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,67.0,5.0,2.0,3.0,,,,,,,,,,,
69,PT06M20.00S,2022-11-08T02:56:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,6.1268068331143235,47.30392156862745,1610612751,9,15,2022-11-08T02:56:46Z,690000,13.0,5.0,1,left,J. Harris driving Layup (2 PTS) (R. O'Neale 3 AST),"[203925, 1626220]",1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,Restricted Area,0-8 Center,,,,1.44,Made,,,,,2.0,R. O'Neale,1626220.0,3.0,,,,,,,
71,PT06M06.00S,2022-11-08T02:56:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626174,92.85479632063075,51.9607843137255,1610612742,9,15,2022-11-08T02:57:03Z,710000,10.0,15.0,1,right,MISS C. Wood driving Layup - blocked,"[1626174, 1629651]",1610612742.0,DAL,driving,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,1.77,Missed,,,,,,,,,,,,,,Claxton,1629651.0
72,PT06M06.00S,2022-11-08T02:56:56.0Z,1,REGULAR,block,,[],1629651,,,1610612742,9,15,2022-11-08T02:56:57Z,720000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
73,PT06M05.00S,2022-11-08T02:56:57.0Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612742,9,15,2022-11-08T02:57:03Z,730000,,,0,,C. Wood REBOUND (Off:1 Def:0),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,71.0,1.0,0.0,1.0,,,,,,,,,,,
74,PT06M05.00S,2022-11-08T02:57:00.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1626174,93.64323258869908,51.470588235294116,1610612742,11,15,2022-11-08T02:57:14Z,740000,7.0,7.0,1,right,C. Wood putback Layup (2 PTS),[1626174],1610612742.0,DAL,putback,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,1.04,Made,,,,,2.0,,,,,,,,,,
75,PT06M05.00S,2022-11-08T02:57:05.1Z,1,REGULAR,violation,defensive goaltending,[],1629651,,,1610612742,11,15,2022-11-08T02:57:14Z,750000,,,0,,N. Claxton defensive goaltending VIOLATION,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,203593.0,,,,,,
76,PT05M47.00S,2022-11-08T02:57:26.0Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612751,11,15,2022-11-08T02:58:07Z,760000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 1629029]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Center,1.0,Doncic,1629029.0,,,,,,,,,,,,,,,,,
77,PT05M47.00S,2022-11-08T02:57:26.0Z,1,REGULAR,steal,,[],1629029,,,1610612742,11,15,2022-11-08T02:58:07Z,770000,,,0,,L. Doncic STEAL (2 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M40.00S,2022-11-08T02:57:33.1Z,1,REGULAR,turnover,lost ball,[],1626174,,,1610612742,11,15,2022-11-08T02:57:38Z,780000,,,0,,C. Wood lost ball TURNOVER (2 TO),"[1626174, 203925]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Mid-Range,8-16 Center,2.0,Harris,203925.0,,,,,,,,,,,,,,,,,
79,PT05M40.00S,2022-11-08T02:57:33.1Z,1,REGULAR,steal,,[],203925,,,1610612751,11,15,2022-11-08T02:57:34Z,790000,,,0,,J. Harris STEAL (1 STL),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
80,PT05M36.00S,2022-11-08T02:57:37.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203925,32.14520367936925,62.5,1610612751,11,15,2022-11-08T02:57:43Z,800000,-62.0,250.0,1,left,MISS J. Harris 25' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Center,,,,25.74,Missed,,,,,,,,,,,,,,,
