actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-30T01:10:37.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T01:10:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-30T01:10:39.7Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2022-10-30T01:10:39Z,40000,,,0,,Jump Ball D. Powell vs. A. Pokusevski: Tip to S. Dinwiddie,"[203915, 203939, 1630197]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Powell,203939.0,Pokusevski,1630197.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-10-30T01:10:56.3Z,1,REGULAR,3pt,Jump Shot,[],1627827,67.62483574244416,64.4607843137255,1610612742,3,0,2022-10-30T01:11:00Z,70000,72.0,252.0,1,right,D. Finney-Smith 26' 3PT  (3 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,26.2,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2022-10-30T01:11:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,10.988830486202366,51.9607843137255,1610612760,3,2,2022-10-30T01:11:52Z,90000,-10.0,51.0,1,left,A. Pokusevski driving finger roll Layup (2 PTS) (T. Mann 1 AST),"[1630197, 1630544]",1610612760.0,OKC,driving finger roll,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,2.0,T. Mann,1630544.0,1.0,,,,,,,,,,,,,,
11,PT11M05.00S,2022-10-30T01:11:31.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,93.51182654402102,50.49019607843137,1610612742,5,2,2022-10-30T01:11:38Z,110000,2.0,8.0,1,right,D. Powell alley-oop DUNK (2 PTS) (L. Doncic 2 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,0.89,Made,2.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,
13,PT11M04.00S,2022-10-30T01:11:37.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612760,5,2,2022-10-30T01:11:43Z,130000,,,0,,TEAM delay-of-game VIOLATION,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,1627541.0,,,,,,,,,,,,,
14,PT10M44.00S,2022-10-30T01:11:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,6.521024967148489,47.794117647058826,1610612760,5,4,2022-10-30T01:12:05Z,140000,11.0,9.0,1,left,L. Dort driving Layup (2 PTS) (A. Pokusevski 1 AST),"[1629652, 1630197]",1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,1.41,Made,2.0,A. Pokusevski,1630197.0,1.0,,,,,,,,,,,,,,
17,PT10M32.00S,2022-10-30T01:12:25.2Z,1,REGULAR,foul,technical,['1freethrow'],1630197,,,1610612742,5,4,2022-10-30T01:12:35Z,170000,,,0,,A. Pokusevski defensive-3-second technical FOUL (1 Tech),[1630197],1610612760.0,OKC,defensive-3-second,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,202037.0,0.0,1.0,,,,,,,,,,,
18,PT10M32.00S,2022-10-30T01:12:39.5Z,1,REGULAR,freethrow,1 of 1,[],203493,,,1610612742,6,4,2022-10-30T01:12:39Z,180000,,,0,,R. Bullock technical Free Throw 1 of 1 (1 PTS),[203493],1610612742.0,DAL,technical,,,Bullock,R. Bullock,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2022-10-30T01:12:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,92.46057818659659,52.450980392156865,1610612742,8,4,2022-10-30T01:13:01Z,190000,12.0,18.0,1,right,S. Dinwiddie cutting finger roll Layup (2 PTS) (L. Doncic 3 AST),"[203915, 1629029]",1610612742.0,DAL,cutting finger roll,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,,,
