actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-30T01:40:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-30T01:40:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-30T01:40:27.8Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-12-30T01:40:27Z,40000,False,,,0,,Jump Ball J. Smith Jr. vs. C. Wood: Tip to K. Porter Jr.,"[1629645, 1631095, 1626174]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Smith Jr.,1631095.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-12-30T01:40:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,16.376478318002626,43.13725490196079,1610612745,0,2,2022-12-30T01:40:45Z,70000,False,34.0,101.0,1,left,J. Smith Jr. 10' driving floating Jump Shot (2 PTS) (J. Green 1 AST),"[1631095, 1630224]",1610612745.0,HOU,driving floating,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.7,Made,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-12-30T01:41:03.0Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612742,0,2,2022-12-30T01:41:10Z,90000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Hardaway Jr. 2 FT),"[1631095, 203501]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2714.0,1.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,
11,PT11M23.00S,2022-12-30T01:41:31.0Z,1,REGULAR,freethrow,1 of 2,[],203501,,,1610612742,1,2,2022-12-30T01:41:31Z,110000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 2 (1 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2022-12-30T01:41:44.3Z,1,REGULAR,freethrow,2 of 2,[],203501,,,1610612742,2,2,2022-12-30T01:41:44Z,120000,False,,,0,,T. Hardaway Jr. Free Throw 2 of 2 (2 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2022-12-30T01:42:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,8.886333771353483,41.42156862745098,1610612745,2,2,2022-12-30T01:42:06Z,130000,False,43.0,31.0,1,left,MISS K. Porter Jr. driving floating bank Shot,[1629645],1610612745.0,HOU,driving floating bank,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.29,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2022-12-30T01:42:02.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,2,2,2022-12-30T01:42:06Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,13.0,,,,,,,,
16,PT10M42.00S,2022-12-30T01:42:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.9060446780552,51.225490196078425,1610612742,4,2,2022-12-30T01:42:35Z,160000,False,6.0,5.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,0.78,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M22.00S,2022-12-30T01:42:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,14.4053876478318,45.09803921568628,1610612745,4,2,2022-12-30T01:45:40Z,170000,False,25.0,83.0,1,left,MISS J. Green 8' driving floating Shot - blocked,"[1630224, 1629029]",1610612745.0,HOU,driving floating,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,8.64,Missed,,,,,,,,,,,Doncic,1629029.0,,,,,,
18,PT10M22.00S,2022-12-30T01:42:50.7Z,1,REGULAR,block,,[],1629029,,,1610612745,4,2,2022-12-30T01:42:52Z,180000,False,,,0,,L. Doncic BLOCK (1 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M20.00S,2022-12-30T01:42:52.7Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,4,2,2022-12-30T01:42:54Z,190000,False,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,17.0,,,1.0,1.0,0.0,,,
20,PT10M14.00S,2022-12-30T01:42:59.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,66.5735873850197,44.6078431372549,1610612742,7,2,2022-12-30T01:43:04Z,200000,False,-27.0,262.0,1,right,L. Doncic 26' 3PT step back (5 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,26.31,Made,5.0,,,,,,,,,,,,,,,,,
21,PT09M51.00S,2022-12-30T01:43:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,5.075558475689881,49.01960784313725,1610612745,7,4,2022-12-30T01:47:39Z,210000,False,5.0,-5.0,1,left,A. Sengun driving reverse Layup (2 PTS) (J. Green 2 AST),"[1630578, 1630224]",1610612745.0,HOU,driving reverse,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.69,Made,2.0,J. Green,1630224.0,2.0,,,,,,,,,,,,,,
