actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-21T00:45:20.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-21T00:45:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-21T00:45:23.3Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2023-01-21T00:45:23Z,40000,False,,,0,,Jump Ball D. Powell vs. B. Adebayo: Tip to S. Dinwiddie,"[203915, 203939, 1628389]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Powell,203939.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-21T00:45:35.9Z,1,REGULAR,2pt,Jump Shot,[],1629029,83.26215505913272,21.07843137254902,1610612742,0,0,2023-01-21T00:49:09Z,70000,False,-145.0,105.0,1,right,MISS L. Doncic 17' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left,17.86,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-01-21T00:45:37.9Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2023-01-21T00:45:43Z,80000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-01-21T00:45:55.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,26.62614980289093,60.29411764705882,1610612748,0,0,2023-01-21T00:46:06Z,90000,False,-51.0,198.0,1,left,MISS B. Adebayo 20' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,20.44,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-01-21T00:45:58.7Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,0,0,2023-01-21T00:46:06Z,100000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2023-01-21T00:46:06.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,93.64323258869908,54.41176470588235,1610612742,0,0,2023-01-21T00:46:14Z,110000,False,22.0,7.0,1,right,MISS L. Doncic driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2023-01-21T00:46:08.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2023-01-21T00:46:08Z,120000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M06.00S,2023-01-21T00:46:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",200768,6.783837056504599,50.0,1610612748,0,2,2023-01-21T00:46:17Z,130000,False,0.0,11.0,1,left,K. Lowry Layup (2 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M48.00S,2023-01-21T00:46:31.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,79.71419185282524,37.99019607843137,1610612742,2,2,2023-01-21T00:46:46Z,140000,False,-60.0,138.0,1,right,S. Dinwiddie 15' step back Jump Shot (2 PTS),[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,15.07,Made,,,,,2.0,,,,,,,,,,,,,
