actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-14T01:40:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-14T01:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-14T01:40:42.2Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612742,0,0,2023-02-14T01:40:42Z,40000,False,,,0,,Jump Ball D. Powell vs. R. Gobert: Tip to J. Green,"[1630182, 203939, 203497]",1610612742.0,DAL,startperiod,J. Green,1630182.0,Green,J. Green,Powell,203939.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-02-14T01:41:04.4Z,1,REGULAR,3pt,Jump Shot,[],203493,91.80354796320631,2.696078431372549,1610612742,3,0,2023-02-14T01:41:08Z,70000,False,-237.0,25.0,1,right,R. Bullock 3PT  (3 PTS) (D. Powell 1 AST),"[203493, 203939]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Left Corner 3,24+ Left,23.78,Made,3.0,D. Powell,203939.0,1.0,,,,,,,,,,,,,,
9,PT11M12.00S,2023-02-14T01:41:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,9.280551905387648,47.05882352941176,1610612750,3,0,2023-02-14T01:41:50Z,90000,False,15.0,35.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2023-02-14T01:41:27.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,3,0,2023-02-14T01:41:50Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,9.0,,,,,,,,,,,,,
12,PT11M04.00S,2023-02-14T01:41:55.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201144,24.26084099868594,11.029411764705882,1610612750,3,0,2023-02-14T01:42:02Z,120000,False,195.0,176.0,1,left,MISS M. Conley 26' step back 3PT,[201144],1610612750.0,MIN,step back,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,26.23,Missed,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2023-02-14T01:41:58.4Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,3,0,2023-02-14T01:42:02Z,130000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,
14,PT11M00.00S,2023-02-14T01:41:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630183,7.966491458607096,46.81372549019608,1610612750,3,2,2023-02-14T01:42:17Z,140000,False,16.0,22.0,1,left,J. McDaniels putback Layup (2 PTS),[1630183],1610612750.0,MIN,putback,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.75,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2023-02-14T01:42:23.6Z,1,REGULAR,3pt,Jump Shot,[],1630182,77.08607095926413,11.519607843137255,1610612742,3,2,2023-02-14T01:42:28Z,150000,False,-192.0,163.0,1,right,MISS J. Green 25' 3PT,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2023-02-14T01:42:27.6Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,3,2,2023-02-14T01:42:28Z,160000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M26.00S,2023-02-14T01:42:33.8Z,1,REGULAR,turnover,out-of-bounds,[],201144,,,1610612750,3,2,2023-02-14T01:42:40Z,170000,False,,,0,,M. Conley bad pass out-of-bounds TURNOVER (1 TO),[201144],1610612750.0,MIN,bad pass,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2534.0,1.0,,,,,,,,
18,PT10M09.00S,2023-02-14T01:43:04.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202681,70.90998685939553,21.07843137254902,1610612742,3,2,2023-02-14T01:43:09Z,180000,False,-145.0,221.0,1,right,MISS K. Irving 26' 3PT,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,26.4,Missed,,,,,,,,,,,,,,,,,,
