actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-19T00:45:30.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-19T00:45:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-19T00:45:33.5Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612742,0,0,2023-01-19T00:45:33Z,40000,False,,,0,,Jump Ball D. Powell vs. O. Okongwu: Tip to L. Doncic,"[1629029, 203939, 1630168]",1610612742.0,DAL,startperiod,L. Doncic,1629029.0,Doncic,L. Doncic,Powell,203939.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2023-01-19T00:45:37.8Z,1,REGULAR,turnover,bad pass,[],203915,,,1610612742,0,0,2023-01-19T00:45:44Z,70000,False,,,0,,S. Dinwiddie bad pass TURNOVER (1 TO),"[203915, 1627749]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Center,1.0,Murray,1627749.0,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2023-01-19T00:45:37.8Z,1,REGULAR,steal,,[],1627749,,,1610612737,0,0,2023-01-19T00:45:40Z,80000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M48.00S,2023-01-19T00:45:41.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627749,7.046649145860711,48.03921568627451,1610612737,0,2,2023-01-19T00:45:50Z,90000,False,10.0,14.0,1,left,D. Murray Layup (2 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,1.68,Made,2.0,,,,,,,,,,,,,,
10,PT11M32.00S,2023-01-19T00:45:57.1Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,2,2023-01-19T00:46:35Z,100000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1629027]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,1.0,Young,1629027.0,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2023-01-19T00:45:57.1Z,1,REGULAR,steal,,[],1629027,,,1610612737,0,2,2023-01-19T00:46:35Z,110000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2023-01-19T00:46:02.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630168,6.521024967148489,50.0,1610612737,0,4,2023-01-19T00:46:09Z,120000,False,0.0,9.0,1,left,O. Okongwu running DUNK (2 PTS) (T. Young 1 AST),"[1630168, 1629027]",1610612737.0,ATL,running,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,0.88,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,
14,PT11M16.00S,2023-01-19T00:46:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,90.48948751642575,59.31372549019608,1610612742,0,4,2023-01-19T00:46:20Z,140000,False,47.0,37.0,1,right,MISS S. Dinwiddie driving Layup - blocked,"[203915, 1630168]",1610612742.0,DAL,driving,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,5.94,Missed,,,,,Okongwu,1630168.0,,,,,,,,,
15,PT11M16.00S,2023-01-19T00:46:13.4Z,1,REGULAR,block,,[],1630168,,,1610612742,0,4,2023-01-19T00:46:16Z,150000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
