actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-05T18:10:54.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-05T18:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-05T18:10:56.6Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612756,0,0,2023-03-05T18:10:56Z,40000,False,,,0,,Jump Ball D. Ayton vs. D. Powell: Tip to K. Durant,"[201142, 1629028, 203939]",1610612756.0,PHX,startperiod,K. Durant,201142.0,Durant,K. Durant,Ayton,1629028.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-03-05T18:11:07.9Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612756,0,0,2023-03-05T18:11:13Z,70000,False,,,0,,K. Durant bad pass out-of-bounds TURNOVER (1 TO),[201142],1610612756.0,PHX,bad pass,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,2715.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2023-03-05T18:11:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203939,6.783837056504599,48.03921568627451,1610612742,2,0,2023-03-05T18:11:36Z,80000,False,10.0,11.0,1,left,D. Powell cutting Layup (2 PTS) (K. Irving 1 AST),"[203939, 202681]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,1.5,Made,2.0,K. Irving,202681.0,1.0,,,,,,,,,,,,
10,PT11M07.00S,2023-03-05T18:11:50.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,93.11760840998686,50.49019607843137,1610612756,2,2,2023-03-05T18:12:10Z,100000,False,2.0,12.0,1,right,D. Ayton cutting DUNK (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,1.25,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,
12,PT10M49.00S,2023-03-05T18:12:08.1Z,1,REGULAR,2pt,Jump Shot,[],1629029,13.748357424441524,85.7843137254902,1610612742,4,2,2023-03-05T18:12:13Z,120000,False,-179.0,77.0,1,left,L. Doncic 19' step back Jump Shot (2 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left,,,19.46,Made,2.0,,,,,,,,,,,,,,,
13,PT10M31.00S,2023-03-05T18:12:26.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,78.26872536136662,88.48039215686273,1610612756,4,5,2023-03-05T18:12:30Z,130000,False,192.0,152.0,1,right,D. Booker 24' 3PT  (3 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,24.51,Made,3.0,C. Paul,101108.0,1.0,,,,,,,,,,,,
15,PT10M16.00S,2023-03-05T18:12:41.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,21.50131406044678,90.44117647058823,1610612742,4,5,2023-03-05T18:12:45Z,150000,False,-202.0,150.0,1,left,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,25.15,Missed,,,,,,,,,,,,,,,,
16,PT10M14.00S,2023-03-05T18:12:43.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,4,5,2023-03-05T18:12:45Z,160000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M05.00S,2023-03-05T18:12:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,85.10183968462549,44.6078431372549,1610612756,4,5,2023-03-05T18:12:59Z,170000,False,-27.0,88.0,1,right,MISS D. Booker 9' driving floating Shot,[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,9.16,Missed,,,,,,,,,,,,,,,,
18,PT10M02.00S,2023-03-05T18:12:55.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,4,5,2023-03-05T18:12:59Z,180000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT09M59.00S,2023-03-05T18:12:59.4Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,4,5,2023-03-05T18:13:04Z,190000,False,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Right,203592.0,1.0,,,,,,,,,,,,,,,,,,
20,PT09M49.00S,2023-03-05T18:13:12.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629028,89.17542706964521,54.90196078431373,1610612756,4,7,2023-03-05T18:13:19Z,200000,False,25.0,49.0,1,right,D. Ayton turnaround Hook (4 PTS) (C. Paul 2 AST),"[1629028, 101108]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,5.51,Made,4.0,C. Paul,101108.0,2.0,,,,,,,,,,,,
22,PT09M34.00S,2023-03-05T18:13:26.8Z,1,REGULAR,3pt,Jump Shot,[],202681,26.363337713534822,80.63725490196079,1610612742,7,7,2023-03-05T18:13:30Z,220000,False,-153.0,195.0,1,left,K. Irving 24' 3PT pullup (3 PTS),[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,,,24.82,Made,3.0,,,,,,,,,,,,,,,
23,PT09M13.00S,2023-03-05T18:13:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,85.67674113009198,35.22135416666667,1610612756,7,9,2023-03-05T18:14:01Z,230000,False,-74.0,82.0,1,right,K. Durant 11' pullup bank Jump Shot (2 PTS),[201142],1610612756.0,PHX,pullup bank,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Left,,,11.05,Made,2.0,,,,,,,,,,,,,,,
