actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-17T01:40:30.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-17T01:40:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-17T01:40:33.6Z,1,REGULAR,jumpball,recovered,[],203493,,,1610612742,0,0,2022-11-17T01:40:33Z,40000,False,,,0,,Jump Ball D. Powell vs. A. Sengun: Tip to R. Bullock,"[203493, 203939, 1630578]",1610612742.0,DAL,startperiod,R. Bullock,203493.0,Bullock,R. Bullock,Powell,203939.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-11-17T01:40:46.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,93.38042049934296,50.245098039215684,1610612742,0,0,2022-11-17T01:40:52Z,70000,False,1.0,10.0,1,right,MISS D. Powell alley-oop DUNK,[203939],1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-11-17T01:40:47.7Z,1,REGULAR,rebound,offensive,[],1630182,,,1610612742,0,0,2022-11-17T01:40:47Z,80000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-11-17T01:40:55.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627827,92.72339027595268,55.63725490196079,1610612742,0,0,2022-11-17T01:41:02Z,90000,False,28.0,16.0,1,right,MISS D. Finney-Smith driving DUNK - blocked,"[1627827, 1630578]",1610612742.0,DAL,driving,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,Sengun,1630578.0,,,,,,,,,,,,
10,PT11M35.00S,2022-11-17T01:40:55.4Z,1,REGULAR,block,,[],1630578,,,1610612742,0,0,2022-11-17T01:40:58Z,100000,False,,,0,,A. Sengun BLOCK (1 BLK),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2022-11-17T01:40:59.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2022-11-17T01:41:02Z,110000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M28.00S,2022-11-17T01:41:01.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629645,24.917871222076215,17.401960784313726,1610612745,0,0,2022-11-17T01:41:06Z,120000,False,163.0,182.0,1,left,MISS K. Porter Jr. 24' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,24.41,Missed,,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2022-11-17T01:41:04.7Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,0,0,2022-11-17T01:41:06Z,130000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M13.00S,2022-11-17T01:41:16.5Z,1,REGULAR,3pt,Jump Shot,[],203915,72.22404730617609,83.08823529411765,1610612742,0,0,2022-11-17T01:41:21Z,140000,False,165.0,209.0,1,right,MISS S. Dinwiddie 26' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,26.62,Missed,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2022-11-17T01:41:19.5Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,0,0,2022-11-17T01:41:21Z,150000,False,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
