shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-13T01:40:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-13T01:40:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-13T01:40:23.7Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2022-12-13T01:40:23Z,40000,False,,,0,,Jump Ball A. Pokusevski vs. D. Powell: Tip to S. Gilgeous-Alexander,"[1628983, 1630197, 203939]",2,1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Pokusevski,1630197.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
11:41,7,PT11M41.00S,2022-12-13T01:40:38.9Z,1,REGULAR,2pt,Jump Shot,[],1630581,13.87976346911958,71.32352941176471,1610612760,0,0,2022-12-13T01:40:43Z,70000,False,-107.0,78.0,1,left,MISS J. Giddey 13' driving floating Shot,[1630581],3,1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,13.21,Missed,,,,,,,,,,,,,,,,,,
11:39,8,PT11M39.00S,2022-12-13T01:40:40.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,0,0,2022-12-13T01:40:43Z,80000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],11,1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:19,9,PT11M19.00S,2022-12-13T01:41:02.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,94.1688567674113,51.9607843137255,1610612742,0,0,2022-12-13T01:41:06Z,90000,False,10.0,2.0,1,right,MISS D. Powell alley-oop DUNK,[203939],7,1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,,
11:17,10,PT11M17.00S,2022-12-13T01:41:04.0Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,0,0,2022-12-13T01:41:04Z,100000,False,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],7,1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11:06,11,PT11M06.00S,2022-12-13T01:41:14.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203915,74.45795006570303,16.666666666666664,1610612742,3,0,2022-12-13T01:41:17Z,110000,False,-167.0,188.0,1,right,S. Dinwiddie 25' 3PT  (3 PTS) (L. Doncic 1 AST),"[203915, 1629029]",26,1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,25.1,Made,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,
10:49,13,PT10M49.00S,2022-12-13T01:41:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,6.521024967148489,41.911764705882355,1610612760,3,0,2022-12-13T01:42:32Z,130000,False,40.0,9.0,1,left,MISS L. Dort driving reverse Layup,[1629652],5,1610612760.0,OKC,driving reverse,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,4.13,Missed,,,,,,,,,,,,,,,,,,
10:47,14,PT10M47.00S,2022-12-13T01:41:33.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,3,0,2022-12-13T01:41:35Z,140000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],77,1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10:42,15,PT10M42.00S,2022-12-13T01:41:38.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627827,70.64717477003943,73.2843137254902,1610612742,3,0,2022-12-13T01:43:21Z,150000,False,116.0,223.0,1,right,MISS D. Finney-Smith 25' running 3PT,[1627827],10,1610612742.0,DAL,running,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,25.19,Missed,,,,,,,,,,,,,,,,,,
