shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
12:00,2,PT12M00.00S,2022-12-10T03:12:38.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-10T03:12:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56,4,PT11M56.00S,2022-12-10T03:12:40.9Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612749,0,0,2022-12-10T03:12:41Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Powell: Tip to G. Allen,"[1628960, 201572, 203939]",12,1610612749.0,MIL,startperiod,G. Allen,1628960.0,Allen,G. Allen,Lopez,201572.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
11:45,7,PT11M45.00S,2022-12-10T03:12:52.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,85.3646517739816,41.17647058823529,1610612749,0,2,2022-12-10T03:12:56Z,70000,False,-44.0,85.0,1,right,K. Middleton 9' turnaround fadeaway Jump Shot (2 PTS) (G. Antetokounmpo 1 AST),"[203114, 203507]",22,1610612749.0,MIL,turnaround fadeaway,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,9.58,Made,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
11:31,9,PT11M31.00S,2022-12-10T03:13:06.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,7.5722733245729295,3.1862745098039214,1610612742,3,2,2022-12-10T03:13:10Z,90000,False,234.0,19.0,1,left,D. Finney-Smith 3PT  (3 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",10,1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,23.48,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
11:23,11,PT11M23.00S,2022-12-10T03:13:14.5Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,3,2,2022-12-10T03:13:21Z,110000,False,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1627827]",22,1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Finney-Smith,1627827.0,,,,,,,,,,,
11:23,12,PT11M23.00S,2022-12-10T03:13:14.5Z,1,REGULAR,steal,,[],1627827,,,1610612742,3,2,2022-12-10T03:13:16Z,120000,False,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],10,1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
11:19,13,PT11M19.00S,2022-12-10T03:13:18.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203915,26.231931668856767,20.098039215686274,1610612742,6,2,2022-12-10T03:13:51Z,130000,False,150.0,194.0,1,left,S. Dinwiddie 24' 3PT running pullup (3 PTS) (D. Finney-Smith 1 AST),"[203915, 1627827]",26,1610612742.0,DAL,running pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,24.5,Made,3.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,,,,
10:54,15,PT10M54.00S,2022-12-10T03:13:43.4Z,1,REGULAR,3pt,Jump Shot,[],203114,74.19513797634691,16.911764705882355,1610612749,6,2,2022-12-10T03:14:35Z,150000,False,-165.0,190.0,1,right,MISS K. Middleton 25' step back 3PT,[203114],22,1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,,,,,,,,,,
10:52,16,PT10M52.00S,2022-12-10T03:13:45.4Z,1,REGULAR,rebound,offensive,[],1628960,,,1610612749,6,2,2022-12-10T03:13:49Z,160000,False,,,0,,G. Allen REBOUND (Off:1 Def:0),[1628960],12,1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,
10:50,17,PT10M50.00S,2022-12-10T03:13:47.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,67.62483574244416,58.82352941176471,1610612749,6,5,2022-12-10T03:13:52Z,170000,False,44.0,252.0,1,right,J. Holiday 25' 3PT  (3 PTS) (G. Allen 1 AST),"[201950, 1628960]",21,1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,25.56,Made,3.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,
10:38,19,PT10M38.00S,2022-12-10T03:13:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,18.00262812089356,58.35631127450981,1610612742,6,5,2022-12-10T03:14:06Z,190000,False,-42.0,117.0,1,left,MISS L. Doncic 12' driving floating Shot,[1629029],77,1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,12.4,Missed,,,,,,,,,,,,,,,,,,
10:35,20,PT10M35.00S,2022-12-10T03:14:02.2Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,6,5,2022-12-10T03:14:06Z,200000,False,,,0,,G. Allen REBOUND (Off:1 Def:1),[1628960],12,1610612749.0,MIL,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,19.0,2.0,1.0,1.0,,,,,,,
10:21,21,PT10M21.00S,2022-12-10T03:14:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,94.30026281208936,52.20588235294118,1610612749,6,5,2022-12-10T03:14:23Z,210000,False,11.0,1.0,1,right,MISS B. Lopez Layup,[201572],11,1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1.11,Missed,,,,,,,,,,,,,,,,,,
10:18,22,PT10M18.00S,2022-12-10T03:14:20.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,6,5,2022-12-10T03:14:23Z,220000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],77,1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,
