actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-23T00:44:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T00:44:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-23T00:44:24.0Z,1,REGULAR,jumpball,recovered,[],1629723,,,1610612763,0,0,2022-10-23T00:44:24Z,40000,,,0,,Jump Ball S. Adams vs. J. McGee: Tip to J. Konchar,"[1629723, 203500, 201580]",1610612763.0,MEM,startperiod,J. Konchar,1629723.0,Konchar,J. Konchar,Adams,203500.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2022-10-23T00:44:31.0Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,0,0,2022-10-23T00:44:36Z,70000,,,0,,J. Morant lost ball out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,lost ball,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,1626301.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-10-23T00:44:58.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,7.966491458607096,47.05882352941176,1610612742,2,0,2022-10-23T00:46:25Z,90000,15.0,22.0,1,left,L. Doncic driving Layup (2 PTS) (J. McGee 1 AST),"[1629029, 201580]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,2.68,Made,2.0,J. McGee,201580.0,1.0,,,,,,,,,,,,
11,PT11M24.00S,2022-10-23T00:45:06.6Z,1,REGULAR,3pt,Jump Shot,[],1629723,77.44743758212877,11.764705882352942,1610612763,2,0,2022-10-23T00:55:12Z,110000,-191.0,159.0,1,right,MISS J. Konchar 24' 3PT,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,,,24.9,Missed,,,,,,,,,,,,,,,,
12,PT11M20.00S,2022-10-23T00:45:10.6Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,2,0,2022-10-23T00:45:24Z,120000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,16-24 Left Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M15.00S,2022-10-23T00:45:15.7Z,1,REGULAR,violation,kicked ball,[],1630217,,,1610612742,2,0,2022-10-23T00:45:30Z,130000,,,0,,D. Bane kicked ball VIOLATION,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,1193.0,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-10-23T00:45:36.4Z,1,REGULAR,foul,personal,[],1630583,,,1610612742,2,0,2022-10-23T00:45:57Z,140000,,,0,,S. Aldama personal FOUL (1 PF),"[1630583, 201580]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,1626301.0,,,,,,,,,,,,1.0,0.0,McGee,201580.0,,,,
16,PT11M02.00S,2022-10-23T00:45:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,7.30946123521682,45.588235294117645,1610612742,2,0,2022-10-23T00:46:02Z,160000,22.0,16.0,1,left,MISS S. Dinwiddie driving Layup - blocked,"[203915, 203500]",1610612742.0,DAL,driving,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,2.74,Missed,,,,,,,,,,,,,Adams,203500.0,,
17,PT11M02.00S,2022-10-23T00:45:58.1Z,1,REGULAR,block,,[],203500,,,1610612742,2,0,2022-10-23T00:45:59Z,170000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT11M01.00S,2022-10-23T00:45:59.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,2,0,2022-10-23T00:46:02Z,180000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,16.0,,,,,,,,,,,
20,PT10M44.00S,2022-10-23T00:46:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,94.30026281208936,48.28431372549019,1610612763,2,2,2022-10-23T00:46:25Z,200000,-9.0,1.0,1,right,J. Morant driving finger roll Layup (2 PTS),[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,0.87,Made,2.0,,,,,,,,,,,,,,,
21,PT10M27.00S,2022-10-23T00:46:39.5Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612742,2,2,2022-10-23T00:46:53Z,210000,,,0,,D. Bane shooting personal FOUL (1 PF) (Doncic 2 FT),"[1630217, 1629029]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,1179.0,,,,,,,,,,,,1.0,0.0,Doncic,1629029.0,,,,
