actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-31T01:40:14.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-31T01:40:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-31T01:40:17.5Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612765,0,0,2023-01-31T01:40:17Z,40000,False,,,0,,Jump Ball J. Duren vs. D. Powell: Tip to B. Bogdanovic,"[202711, 1631105, 203939]",1610612765.0,DET,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Duren,1631105.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-31T01:40:30.2Z,1,REGULAR,2pt,Jump Shot,[],202692,81.42247043363994,23.284313725490197,1610612765,0,0,2023-01-31T01:41:07Z,70000,False,-134.0,122.0,1,right,MISS A. Burks 18' pullup Shot,[202692],1610612765.0,DET,pullup,,,Burks,A. Burks,,,,,Mid-Range,16-24 Left Center,18.1,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-01-31T01:40:34.2Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,0,0,2023-01-31T01:40:35Z,80000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-01-31T01:40:50.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,9.674770039421814,35.049019607843135,1610612742,2,0,2023-01-31T01:40:58Z,90000,False,75.0,38.0,1,left,L. Doncic 8' turnaround fadeaway Jump Shot (2 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Right,8.41,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M12.00S,2023-01-31T01:41:01.6Z,1,REGULAR,turnover,bad pass,[],1631093,,,1610612765,2,0,2023-01-31T01:41:07Z,100000,False,,,0,,J. Ivey bad pass TURNOVER (1 TO),"[1631093, 203501]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Hardaway Jr.,203501.0,,,,,,,,,,
11,PT11M12.00S,2023-01-31T01:41:01.6Z,1,REGULAR,steal,,[],203501,,,1610612742,2,0,2023-01-31T01:41:03Z,110000,False,,,0,,T. Hardaway Jr. STEAL (1 STL),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2023-01-31T01:41:05.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627827,5.732588699080158,48.77450980392157,1610612742,4,0,2023-01-31T01:41:12Z,120000,False,6.0,1.0,1,left,D. Finney-Smith running DUNK (2 PTS),[1627827],1610612742.0,DAL,running,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M40.00S,2023-01-31T01:41:33.3Z,1,REGULAR,3pt,Jump Shot,[],202711,89.43823915900131,4.411764705882353,1610612765,4,0,2023-01-31T01:41:37Z,130000,False,-228.0,47.0,1,right,MISS B. Bogdanovic 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,23.27,Missed,,,,,,,,,,,,,,,,,,
14,PT10M37.00S,2023-01-31T01:41:36.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,4,0,2023-01-31T01:41:37Z,140000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M30.00S,2023-01-31T01:41:45.0Z,1,REGULAR,foul,personal,['2freethrow'],1630180,,,1610612742,4,0,2023-01-31T01:41:55Z,150000,False,,,0,,S. Bey shooting personal FOUL (1 PF) (Doncic 2 FT),"[1630180, 1629029]",1610612765.0,DET,shooting,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628172.0,1.0,0.0,Doncic,1629029.0,,,,,
17,PT10M30.00S,2023-01-31T01:42:13.3Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,4,0,2023-01-31T01:42:13Z,170000,False,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2023-01-31T01:42:13.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,4,0,2023-01-31T01:42:13Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2023-01-31T01:42:31.7Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,5,0,2023-01-31T01:42:31Z,190000,False,,,0,,L. Doncic Free Throw 2 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
20,PT10M19.00S,2023-01-31T01:42:44.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,79.45137976346912,92.8921568627451,1610612765,5,0,2023-01-31T01:43:02Z,200000,False,214.0,141.0,1,right,MISS S. Bey 25' pullup 3PT,[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,25.65,Missed,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2023-01-31T01:42:48.0Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,5,0,2023-01-31T01:42:49Z,210000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT10M04.00S,2023-01-31T01:42:58.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,8.360709592641262,41.911764705882355,1610612742,7,0,2023-01-31T01:43:49Z,220000,False,40.0,26.0,1,left,L. Doncic driving Layup (5 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,4.81,Made,,,,,5.0,,,,,,,,,,,,,
23,PT09M37.00S,2023-01-31T01:43:25.7Z,1,REGULAR,3pt,Jump Shot,[],202692,74.19513797634691,84.80392156862744,1610612765,7,0,2023-01-31T01:43:30Z,230000,False,174.0,190.0,1,right,MISS A. Burks 25' 3PT,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,,,,,,,,,,,,,,,,,
24,PT09M34.00S,2023-01-31T01:43:28.7Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,7,0,2023-01-31T01:43:30Z,240000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:3),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,23.0,3.0,3.0,0.0,,,,,,,,,,,,,,
25,PT09M20.00S,2023-01-31T01:43:42.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.722076215505915,43.13725490196079,1610612742,10,0,2023-01-31T01:43:50Z,250000,False,34.0,264.0,1,left,L. Doncic 26' 3PT pullup (8 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,26.67,Made,,,,,8.0,,,,,,,,,,,,,
26,PT09M19.00S,2023-01-31T01:43:47.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,10,0,2023-01-31T01:43:47Z,260000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M01.00S,2023-01-31T01:47:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,87.72996057818659,97.05882352941177,1610612765,10,3,2023-01-31T01:47:06Z,270000,False,235.0,63.0,1,right,S. Bey 24' 3PT  (3 PTS) (A. Burks 1 AST),"[1630180, 202692]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Right Corner 3,24+ Right,24.35,Made,,,,,3.0,,,,,,,,,A. Burks,202692.0,1.0,,
29,PT08M51.00S,2023-01-31T01:47:13.3Z,1,REGULAR,foul,personal,[],1630180,,,1610612742,10,3,2023-01-31T01:47:24Z,290000,False,,,0,,S. Bey personal FOUL (2 PF),"[1630180, 203939]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,200832.0,2.0,0.0,Powell,203939.0,,,,,
31,PT08M42.00S,2023-01-31T01:47:41.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,13.091327201051248,3.6764705882352944,1610612742,13,3,2023-01-31T01:47:47Z,310000,False,232.0,71.0,1,left,L. Doncic 24' 3PT  (11 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Right Corner 3,24+ Right,24.21,Made,,,,,11.0,,,,,,,,,,,,,
32,PT08M24.00S,2023-01-31T01:47:59.3Z,1,REGULAR,3pt,Jump Shot,[],202692,86.81011826544021,5.147058823529411,1610612765,13,3,2023-01-31T01:48:03Z,320000,False,-224.0,71.0,1,right,MISS A. Burks 3PT,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Left Corner 3,24+ Left,23.54,Missed,,,,,,,,,,,,,,,,,,
33,PT08M22.00S,2023-01-31T01:48:01.3Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,13,3,2023-01-31T01:48:03Z,330000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Left Corner 3,24+ Left,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M10.00S,2023-01-31T01:48:13.9Z,1,REGULAR,3pt,Jump Shot,[],203501,19.004599211563733,91.42156862745098,1610612742,13,3,2023-01-31T01:48:18Z,340000,False,-207.0,126.0,1,left,MISS T. Hardaway Jr. 24' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,24.25,Missed,,,,,,,,,,,,,,,,,,
35,PT08M07.00S,2023-01-31T01:48:16.9Z,1,REGULAR,rebound,defensive,[],202692,,,1610612765,13,3,2023-01-31T01:48:18Z,350000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT07M58.00S,2023-01-31T01:48:25.1Z,1,REGULAR,2pt,Jump Shot,[],202711,82.60512483574244,80.88235294117648,1610612765,13,5,2023-01-31T01:48:28Z,360000,False,154.0,111.0,1,right,B. Bogdanovic 19' Jump Shot (2 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Right,19.02,Made,,,,,2.0,,,,,,,,,,,,,
37,PT07M33.00S,2023-01-31T01:48:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627827,5.469776609724048,51.225490196078425,1610612742,13,5,2023-01-31T01:48:56Z,370000,False,-6.0,-1.0,1,left,MISS D. Finney-Smith driving finger roll Layup - blocked,"[1627827, 1631105]",1610612742.0,DAL,driving finger roll,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,0.62,Missed,,,,,,,,,,,,,,,,,Duren,1631105.0
438,PT07M33.00S,2023-01-31T01:48:50.7Z,1,REGULAR,block,,[],1631105,,,1610612742,13,5,2023-01-31T03:14:17Z,375000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT07M31.00S,2023-01-31T01:48:52.7Z,1,REGULAR,rebound,defensive,[],202692,,,1610612765,13,5,2023-01-31T03:14:17Z,380000,False,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Restricted Area,0-8 Center,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT07M27.00S,2023-01-31T01:48:56.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631105,91.5407358738502,52.69607843137255,1610612765,13,7,2023-01-31T01:49:04Z,390000,False,13.0,27.0,1,right,J. Duren running Layup (2 PTS) (J. Ivey 1 AST),"[1631105, 1631093]",1610612765.0,DET,running,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,3.02,Made,,,,,2.0,,,,,,,,,J. Ivey,1631093.0,1.0,,
41,PT07M09.00S,2023-01-31T01:49:14.2Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,13,7,2023-01-31T01:49:18Z,410000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 202692]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Burks,202692.0,,,,,,,,,,
42,PT07M09.00S,2023-01-31T01:49:14.2Z,1,REGULAR,steal,,[],202692,,,1610612765,13,7,2023-01-31T01:49:15Z,420000,False,,,0,,A. Burks STEAL (1 STL),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
43,PT07M00.00S,2023-01-31T01:49:23.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631093,81.02825229960578,50.49019607843137,1610612765,13,9,2023-01-31T01:49:29Z,430000,False,2.0,126.0,1,right,J. Ivey 12' step back Jump Shot (2 PTS),[1631093],1610612765.0,DET,step back,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Center,12.58,Made,,,,,2.0,,,,,,,,,,,,,
44,PT06M44.00S,2023-01-31T01:49:39.1Z,1,REGULAR,3pt,Jump Shot,[],203915,18.610381077529567,94.11764705882352,1610612742,13,9,2023-01-31T01:49:44Z,440000,False,-221.0,122.0,1,left,MISS S. Dinwiddie 25' step back 3PT,[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,25.23,Missed,,,,,,,,,,,,,,,,,,
45,PT06M41.00S,2023-01-31T01:49:42.1Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,13,9,2023-01-31T01:49:44Z,450000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT06M34.00S,2023-01-31T01:49:49.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,92.46057818659659,51.9607843137255,1610612765,13,11,2023-01-31T01:49:56Z,460000,False,10.0,18.0,1,right,J. Duren Layup (4 PTS) (S. Bey 1 AST),"[1631105, 1630180]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,4.0,,,,,,,,,S. Bey,1630180.0,1.0,,
48,PT06M33.00S,2023-01-31T01:49:55.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612742,13,11,2023-01-31T01:50:00Z,480000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,200832.0,,,,,,,,,
