actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-03T00:40:23.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-03T00:40:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-03T00:40:27.8Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612762,0,0,2022-11-03T00:40:27Z,40000,,,0,,Jump Ball K. Olynyk vs. J. McGee: Tip to M. Conley,"[201144, 203482, 201580]",1610612762.0,UTA,startperiod,M. Conley,201144.0,Conley,M. Conley,Olynyk,203482.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-11-03T00:40:42.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,94.03745072273325,46.07843137254902,1610612762,0,2,2022-11-03T00:41:05Z,70000,-20.0,4.0,1,right,J. Vanderbilt cutting Layup (2 PTS) (J. Clarkson 1 AST),"[1629020, 203903]",1610612762.0,UTA,cutting,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,J. Clarkson,203903.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2022-11-03T00:41:07.3Z,1,REGULAR,2pt,Jump Shot,[],1629029,21.50131406044678,73.52941176470588,1610612742,2,2,2022-11-03T00:41:56Z,90000,-118.0,150.0,1,left,L. Doncic 19' step back Jump Shot (2 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,19.03,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M00.00S,2022-11-03T00:41:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,93.64323258869908,46.81372549019608,1610612762,2,4,2022-11-03T00:41:37Z,100000,-16.0,7.0,1,right,L. Markkanen driving Layup (2 PTS) (K. Olynyk 1 AST),"[1628374, 203482]",1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.75,Made,2.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,,,
12,PT10M43.00S,2022-11-03T00:41:41.8Z,1,REGULAR,foul,personal,['2freethrow'],201144,,,1610612742,2,4,2022-11-03T00:41:48Z,120000,,,0,,M. Conley shooting personal FOUL (1 PF) (Doncic 2 FT),"[201144, 1629029]",1610612762.0,UTA,shooting,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,
14,PT10M43.00S,2022-11-03T00:42:10.3Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,3,4,2022-11-03T00:42:10Z,140000,,,0,,L. Doncic Free Throw 1 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2022-11-03T00:42:28.6Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,3,4,2022-11-03T00:42:28Z,150000,,,0,,MISS L. Doncic Free Throw 2 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-11-03T00:42:30.0Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,3,4,2022-11-03T00:42:30Z,160000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M26.00S,2022-11-03T00:42:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,87.99277266754271,51.225490196078425,1610612762,3,6,2022-11-03T00:43:43Z,170000,6.0,60.0,1,right,J. Clarkson 6' driving floating Jump Shot (2 PTS) (K. Olynyk 2 AST),"[203903, 203482]",1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,6.07,Made,2.0,K. Olynyk,203482.0,2.0,,,,,,,,,,,,,,
