actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-16T01:40:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-16T01:40:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-16T01:40:21.8Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-11-16T01:40:21Z,40000,False,,,0,,Jump Ball I. Zubac vs. D. Powell: Tip to M. Morris Sr.,"[202694, 1627826, 203939]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-11-16T01:40:41.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,89.56964520367937,59.068627450980394,1610612746,0,2,2022-11-16T01:40:52Z,70000,False,45.0,46.0,1,right,M. Morris Sr. 6' fadeaway Jump Shot (2 PTS),[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,6.42,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-11-16T01:40:55.4Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,2,2022-11-16T01:41:00Z,80000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1628379]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,1.0,Kennard,1628379.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-16T01:40:55.4Z,1,REGULAR,steal,,[],1628379,,,1610612746,0,2,2022-11-16T01:40:57Z,90000,False,,,0,,L. Kennard STEAL (1 STL),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-11-16T01:41:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202331,89.04402102496715,58.57843137254902,1610612746,0,2,2022-11-16T01:45:48Z,95000,False,43.0,50.0,1,right,MISS P. George 6' driving Layup,[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,6.63,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-11-16T01:41:04.1Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,2,2022-11-16T01:46:20Z,97500,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M15.00S,2022-11-16T01:41:10.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627826,94.40999984741211,50.0,1610612746,0,2,2022-11-16T01:46:58Z,100000,False,0.0,0.0,1,right,MISS I. Zubac putback Layup,[1627826],1610612746.0,LAC,putback,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-11-16T01:41:11.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,0,2,2022-11-16T01:46:58Z,105000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,13.0,,,,,,,,,,,,,
16,PT11M06.00S,2022-11-16T01:41:28.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",202694,67.23061760840999,55.392156862745104,1610612746,0,2,2022-11-16T01:41:41Z,160000,False,27.0,256.0,1,right,MISS M. Morris Sr. 25' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Center,25.69,Missed,,,,,,,,,,,,,,,,,,
