actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-08T00:41:03.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-08T00:41:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-08T00:41:07.4Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612747,0,0,2025-12-08T00:41:07Z,40000,False,,,0,,Jump Ball D. Ayton vs. D. Barlow: Tip to L. Dončić,"[1629029, 1629028, 1631230]",1610612747.0,LAL,startperiod,L. Dončić,1629029.0,Dončić,L. Dončić,Ayton,1629028.0,Barlow,1631230.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-08T00:41:18.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,75.90341655716163,57.84313725490197,1610612747,0,2,2025-12-08T00:41:23Z,70000,False,39.0,174.0,1,right,L. Dončić 17' step back Jump Shot (2 PTS) (D. Ayton 1 AST),"[1629029, 1629028]",1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Center,17.84,Made,2.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-12-08T00:41:34.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,29.38567674113009,20.588235294117645,1610612755,3,2,2025-12-08T00:41:38Z,90000,False,147.0,224.0,1,left,T. Maxey 26' 3PT  (3 PTS) (V. Edgecombe 1 AST),"[1630178, 1642845]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.77,Made,3.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,,,,
11,PT11M19.00S,2025-12-08T00:41:43.7Z,1,REGULAR,3pt,Jump Shot,[],1629060,97.84822601839684,4.166666666666666,1610612747,3,2,2025-12-08T00:41:48Z,110000,False,-229.0,-32.0,1,right,MISS R. Hachimura 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Left Corner 3,24+ Left,23.15,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2025-12-08T00:41:46.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,3,2,2025-12-08T00:41:48Z,120000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Left Corner 3,24+ Left,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M06.00S,2025-12-08T00:42:00.0Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,3,2,2025-12-08T00:42:05Z,130000,False,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,bad pass,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,,,,,,,,,1627963.0,1.0,,,,,,,,
14,PT10M49.00S,2025-12-08T00:42:23.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,75.50919842312747,11.76470588235294,1610612747,3,2,2025-12-08T00:42:29Z,140000,False,-191.0,178.0,1,right,MISS L. Dončić 26' step back 3PT,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2025-12-08T00:42:26.4Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,3,2,2025-12-08T00:42:29Z,150000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M44.00S,2025-12-08T00:42:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642845,2.578843626806833,42.40196078431372,1610612755,3,2,2025-12-08T00:42:36Z,160000,False,38.0,-28.0,1,left,MISS V. Edgecombe running Layup - blocked,"[1642845, 1630559]",1610612755.0,PHI,running,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),0-8 Center,4.74,Missed,,,,,,,,,,,Reaves,1630559.0,,,,,,
17,PT10M44.00S,2025-12-08T00:42:30.0Z,1,REGULAR,block,,[],1630559,,,1610612755,3,2,2025-12-08T00:42:32Z,170000,False,,,0,,A. Reaves BLOCK (1 BLK),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2025-12-08T00:42:30.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,3,2,2025-12-08T00:42:36Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,16.0,,,,,,,,,,,,,
20,PT10M40.00S,2025-12-08T00:42:49.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642845,32.670827858081466,28.431372549019606,1610612755,6,2,2025-12-08T00:42:54Z,200000,False,108.0,255.0,1,left,V. Edgecombe 27' 3PT  (3 PTS) (P. George 1 AST),"[1642845, 202331]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Right Center,27.65,Made,3.0,P. George,202331.0,1.0,,,,,,,,,,,,,,
22,PT10M24.00S,2025-12-08T00:43:04.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],2544,85.3646517739816,41.17647058823529,1610612747,6,4,2025-12-08T00:43:10Z,220000,False,-44.0,85.0,1,right,L. James 9' turnaround Hook (2 PTS),[2544],1610612747.0,LAL,turnaround,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,9.58,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2025-12-08T00:43:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.046649145860711,46.07843137254902,1610612755,8,4,2025-12-08T00:43:26Z,230000,False,20.0,14.0,1,left,T. Maxey driving finger roll Layup (5 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.39,Made,5.0,,,,,,,,,,,,,,,,,
24,PT09M59.00S,2025-12-08T00:43:33.6Z,1,REGULAR,2pt,Jump Shot,[],1629029,98.11103810775296,67.8921568627451,1610612747,8,6,2025-12-08T01:10:47Z,240000,False,89.0,-35.0,1,right,L. Dončić 9' fadeaway Jump Shot (4 PTS),[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,9.6,Made,4.0,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2025-12-08T00:43:37.2Z,1,REGULAR,foul,personal,['1freethrow'],1630178,,,1610612747,8,6,2025-12-08T00:43:44Z,250000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Dončić 1 FT),"[1630178, 1629029]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,202026.0,,,,1.0,0.0,Dončić,1629029.0,,
27,PT09M59.00S,2025-12-08T00:44:02.7Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612747,8,7,2025-12-08T00:44:02Z,270000,False,,,0,,L. Dončić Free Throw 1 of 1 (5 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
28,PT09M50.00S,2025-12-08T00:44:19.7Z,1,REGULAR,foul,personal,[],1629028,,,1610612755,8,7,2025-12-08T00:44:34Z,280000,False,,,0,,D. Ayton personal FOUL (1 PF),"[1629028, 203954]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1627963.0,,,,1.0,0.0,Embiid,203954.0,,
30,PT09M37.00S,2025-12-08T00:44:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,17.821944809461236,52.94117647058824,1610612755,8,7,2025-12-08T00:44:49Z,300000,False,-15.0,115.0,1,left,MISS J. Embiid 11' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,11.59,Missed,,,,,,,,,,,,,,,,,,
31,PT09M34.00S,2025-12-08T00:44:48.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,8,7,2025-12-08T00:44:49Z,310000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,
32,PT09M26.00S,2025-12-08T00:44:56.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,91.14651773981603,64.70588235294117,1610612747,8,7,2025-12-08T00:45:00Z,320000,False,74.0,31.0,1,right,MISS L. Dončić 7' pullup Shot,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,7.97,Missed,,,,,,,,,,,,,,,,,,
