actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-11-23T18:11:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-23T18:11:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-23T18:11:52.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2025-11-23T18:11:52Z,40000,False,,,0,,Jump Ball A. Drummond vs. K. Ware: Tip to Team (PHI),"[203083, 1642276]",1610612755.0,PHI,startperiod,Team (PHI),Drummond,203083.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2025-11-23T18:12:23.8Z,1,REGULAR,foul,offensive,[],203083,,,1610612755,0,0,2025-11-23T18:12:34Z,80000,False,,,0,,A. Drummond offensive FOUL (1 PF),"[203083, 1630558]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,202007.0,1.0,0.0,Drummond,A. Drummond,Mitchell,1630558.0,,,,,,,,,,,,,,,,
10,PT11M46.00S,2025-11-23T18:12:23.8Z,1,REGULAR,turnover,offensive foul,[],203083,,,1610612755,0,0,2025-11-23T18:12:23Z,100000,False,,,0,,A. Drummond offensive foul TURNOVER (1 TO),[203083],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,202007.0,,,Drummond,A. Drummond,,,1.0,,,,,,,,,,,,,,,
11,PT11M35.00S,2025-11-23T18:12:43.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,68.67608409986859,34.55882352941176,1610612748,0,3,2025-11-23T18:12:48Z,110000,False,-77.0,242.0,1,right,N. Powell 25' 3PT pullup (3 PTS) (P. Larsson 1 AST),"[1626181, 1641796]",1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Center,,,,Powell,N. Powell,,,,25.39,Made,3.0,P. Larsson,1641796.0,1.0,,,,,,,,,
13,PT11M13.00S,2025-11-23T18:13:05.2Z,1,REGULAR,3pt,Jump Shot,[],1630178,28.728646517739815,20.833333333333336,1610612755,3,3,2025-11-23T18:13:08Z,130000,False,146.0,218.0,1,left,T. Maxey 26' 3PT pullup (3 PTS),[1630178],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Maxey,T. Maxey,,,,26.18,Made,3.0,,,,,,,,,,,,
14,PT11M04.00S,2025-11-23T18:13:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641796,89.96386333771353,50.0,1610612748,3,3,2025-11-23T18:15:21Z,140000,False,0.0,42.0,1,right,MISS P. Larsson driving Layup,[1641796],1610612748.0,MIA,driving,,,,,,Restricted Area,0-8 Center,,,,Larsson,P. Larsson,,,,4.18,Missed,,,,,,,,,,,,,
15,PT11M03.00S,2025-11-23T18:13:14.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,3,3,2025-11-23T18:16:43Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,14.0,,,,,,,,
19,PT10M56.00S,2025-11-23T18:13:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,35.56176084099869,25.735294117647058,1610612755,3,3,2025-11-23T18:16:18Z,190000,False,121.0,282.0,1,left,MISS T. Maxey 30' step back 3PT,[1630178],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Right Center,,,,Maxey,T. Maxey,,,,30.68,Missed,,,,,,,,,,,,,
20,PT10M53.00S,2025-11-23T18:13:29.1Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,3,3,2025-11-23T18:13:32Z,200000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Ware,K. Ware,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,
21,PT10M48.00S,2025-11-23T18:13:34.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628389,92.85479632063075,42.40196078431372,1610612748,3,5,2025-11-23T18:16:48Z,210000,False,-38.0,15.0,1,right,B. Adebayo running Layup (2 PTS) (D. Mitchell 1 AST),"[1628389, 1630558]",1610612748.0,MIA,running,,,,,,Restricted Area,0-8 Center,,,,Adebayo,B. Adebayo,,,,4.07,Made,2.0,D. Mitchell,1630558.0,1.0,,,,,,,,,
23,PT10M32.00S,2025-11-23T18:13:50.3Z,1,REGULAR,3pt,Jump Shot,[],202331,24.52365308804205,88.23529411764706,1610612755,3,5,2025-11-23T18:13:54Z,230000,False,-191.0,178.0,1,left,MISS P. George 26' 3PT,[202331],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,George,P. George,,,,26.12,Missed,,,,,,,,,,,,,
24,PT10M30.00S,2025-11-23T18:13:52.5Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,3,5,2025-11-23T18:13:52Z,240000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Drummond,A. Drummond,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,
25,PT10M26.00S,2025-11-23T18:13:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202331,11.251642575558476,54.166666666666664,1610612755,3,5,2025-11-23T18:17:37Z,250000,False,-21.0,53.0,1,left,MISS P. George driving Layup,[202331],1610612755.0,PHI,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,,George,P. George,,,,5.72,Missed,,,,,,,,,,,,,
26,PT10M24.00S,2025-11-23T18:14:00.1Z,1,REGULAR,rebound,offensive,[],202331,,,1610612755,3,5,2025-11-23T18:14:00Z,260000,False,,,0,,P. George REBOUND (Off:1 Def:0),[202331],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,George,P. George,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,
27,PT10M24.00S,2025-11-23T18:14:02.8Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612755,3,5,2025-11-23T18:18:41Z,270000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (George 2 FT),"[1642276, 202331]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,1628171.0,1.0,0.0,Ware,K. Ware,George,202331.0,,,,,,,,,,,,,,,,
29,PT10M24.00S,2025-11-23T18:14:31.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202331,,,1610612755,4,5,2025-11-23T18:14:31Z,290000,False,,,0,,P. George Free Throw 1 of 2 (1 PTS),[202331],1610612755.0,PHI,,,,,,,,,,,,George,P. George,,,,,Made,1.0,,,,,,,,,,,,
30,PT10M24.00S,2025-11-23T18:14:45.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202331,,,1610612755,5,5,2025-11-23T18:14:45Z,300000,False,,,0,,P. George Free Throw 2 of 2 (2 PTS),[202331],1610612755.0,PHI,,,,,,,,,,,,George,P. George,,,,,Made,2.0,,,,,,,,,,,,
31,PT10M19.00S,2025-11-23T18:14:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,94.95729303547962,53.431372549019606,1610612748,5,7,2025-11-23T18:15:00Z,310000,False,17.0,-5.0,1,right,N. Powell driving Layup (5 PTS) (D. Mitchell 2 AST),"[1626181, 1630558]",1610612748.0,MIA,driving,,,,,,Restricted Area,0-8 Center,,,,Powell,N. Powell,,,,1.79,Made,5.0,D. Mitchell,1630558.0,2.0,,,,,,,,,
