actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-21T00:11:05.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-21T00:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-21T00:11:07.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2025-12-21T00:11:07Z,40000,False,,,0,,Jump Ball A. Drummond vs. A. Davis: Tip to T. Maxey,"[1630178, 203083, 203076]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2025-12-21T00:11:17.8Z,1,REGULAR,3pt,Jump Shot,[],1642845,27.020367936925098,85.29411764705883,1610612755,0,0,2025-12-21T00:11:23Z,70000,False,-176.0,201.0,1,left,MISS V. Edgecombe 26' pullup 3PT,[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,26.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-12-21T00:11:21.7Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,0,0,2025-12-21T00:11:21Z,80000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M40.00S,2025-12-21T00:11:25.3Z,1,REGULAR,turnover,out-of-bounds,[],1630230,,,1610612742,0,0,2025-12-21T00:11:31Z,90000,False,,,0,,N. Marshall bad pass out-of-bounds TURNOVER (1 TO),[1630230],1610612742.0,DAL,bad pass,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,,,2534.0,1.0,,,,,,,,,,,,
10,PT11M23.00S,2025-12-21T00:11:48.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203083,6.1268068331143235,51.71568627450981,1610612755,0,0,2025-12-21T00:11:52Z,100000,False,-9.0,5.0,1,left,MISS A. Drummond driving finger roll Layup,[203083],1610612755.0,PHI,driving finger roll,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,1.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2025-12-21T00:11:50.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,0,0,2025-12-21T00:11:52Z,110000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M16.00S,2025-12-21T00:11:56.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203076,94.1688567674113,53.67647058823529,1610612742,0,0,2025-12-21T00:12:03Z,120000,False,18.0,2.0,1,right,MISS A. Davis running DUNK,[203076],1610612742.0,DAL,running,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.85,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2025-12-21T00:12:00.2Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,0,2025-12-21T00:13:21Z,130000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M10.00S,2025-12-21T00:12:02.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,30.17411300919842,23.03921568627451,1610612755,3,0,2025-12-21T00:12:08Z,140000,False,135.0,231.0,1,left,T. Maxey 26' 3PT running pullup (3 PTS),[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.75,Made,,,,,,,3.0,,,,,,,,,,,
