actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-31T23:12:51.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-31T23:12:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-31T23:12:53.6Z,1,REGULAR,jumpball,recovered,[],1630202,,,1610612738,0,0,2025-10-31T23:12:53Z,40000,False,,,0,,Jump Ball N. Queta vs. K. Oubre Jr.: Tip to P. Pritchard,"[1630202, 1629674, 1626162]",1610612738.0,BOS,startperiod,P. Pritchard,1630202.0,Pritchard,P. Pritchard,Queta,1629674.0,Oubre Jr.,1626162.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-10-31T23:13:10.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.96780551905388,61.51960784313726,1610612738,0,0,2025-10-31T23:13:19Z,70000,False,58.0,258.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-10-31T23:13:12.7Z,1,REGULAR,rebound,offensive,[],1631169,,,1610612738,0,0,2025-10-31T23:13:19Z,80000,False,,,0,,J. Minott REBOUND (Off:1 Def:0),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-10-31T23:13:23.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630202,75.3777923784494,64.4607843137255,1610612738,0,2,2025-10-31T23:13:30Z,90000,False,72.0,179.0,1,right,P. Pritchard 19' turnaround fadeaway Jump Shot (2 PTS),[1630202],1610612738.0,BOS,turnaround fadeaway,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Right Center,19.3,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M14.00S,2025-10-31T23:13:36.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.14520367936925,69.6078431372549,1610612755,0,2,2025-10-31T23:13:40Z,100000,False,-98.0,250.0,1,left,MISS T. Maxey 26' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,26.82,Missed,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2025-10-31T23:13:38.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,2,2025-10-31T23:13:40Z,110000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M06.00S,2025-10-31T23:13:45.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630202,81.15965834428384,50.0,1610612738,0,4,2025-10-31T23:13:56Z,120000,False,0.0,125.0,1,right,P. Pritchard 12' running pullup Jump Shot (4 PTS),[1630202],1610612738.0,BOS,running pullup,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,12.46,Made,,,,,4.0,,,,,,,,,,,,,
15,PT10M45.00S,2025-10-31T23:14:18.9Z,1,REGULAR,foul,personal,[],1627759,,,1610612755,0,4,2025-10-31T23:14:23Z,150000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 203954]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,,,201246.0,1.0,0.0,Embiid,203954.0,,,,,,,,
17,PT10M31.00S,2025-10-31T23:14:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631133,5.338370565045992,47.05882352941176,1610612755,2,4,2025-10-31T23:14:53Z,170000,False,15.0,-2.0,1,left,J. Walker Layup (2 PTS) (J. Embiid 1 AST),"[1631133, 203954]",1610612755.0,PHI,,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,2.0,,,,,,J. Embiid,203954.0,1.0,,,,,
