actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-04T23:11:15.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-04T23:11:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-04T23:11:20.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2026-04-04T23:11:20Z,40000,False,,,0,,Jump Ball J. Duren vs. A. Drummond: Tip to Team (DET),"[1631105, 203083]",1610612765.0,DET,startperiod,Team (DET),Duren,1631105.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-04-04T23:11:46.0Z,1,REGULAR,turnover,out-of-bounds,[],1641709,,,1610612765,0,0,2026-04-04T23:11:51Z,70000,False,,,0,,A. Thompson lost ball out-of-bounds TURNOVER (1 TO),[1641709],1610612765.0,DET,lost ball,,,,,,In The Paint (Non-RA),0-8 Center,200834.0,1.0,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2026-04-04T23:12:09.4Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612755,0,0,2026-04-04T23:12:21Z,80000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (George 2 FT),"[1631105, 202331]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,1830.0,,Duren,J. Duren,1.0,0.0,George,202331.0,,,,,,,,,,,,,,
11,PT11M28.00S,2026-04-04T23:12:40.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202331,,,1610612755,1,0,2026-04-04T23:12:40Z,100000,False,,,0,,P. George Free Throw 1 of 2 (1 PTS),[202331],1610612755.0,PHI,,,,,,,,,,,George,P. George,,,,,Made,1.0,,,,,,,,,,,,
12,PT11M28.00S,2026-04-04T23:12:59.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202331,,,1610612755,2,0,2026-04-04T23:12:59Z,110000,False,,,0,,P. George Free Throw 2 of 2 (2 PTS),[202331],1610612755.0,PHI,,,,,,,,,,,George,P. George,,,,,Made,2.0,,,,,,,,,,,,
13,PT11M13.00S,2026-04-04T23:13:15.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,92.85479632063075,49.26470588235294,1610612765,2,2,2026-04-04T23:13:20Z,120000,False,-4.0,15.0,1,right,A. Thompson alley-oop DUNK (2 PTS) (D. Robinson 1 AST),"[1641709, 1629130]",1610612765.0,DET,alley-oop,,,,,,Restricted Area,0-8 Center,,,Thompson,A. Thompson,,,,,Made,2.0,1.52,D. Robinson,1629130.0,1.0,,,,,,,,
15,PT10M46.00S,2026-04-04T23:13:43.0Z,1,REGULAR,2pt,Jump Shot,[],1642845,9.806176084099869,69.6078431372549,1610612755,4,2,2026-04-04T23:14:19Z,140000,False,-98.0,40.0,1,left,V. Edgecombe 10' step back Jump Shot (2 PTS) (P. George 1 AST),"[1642845, 202331]",1610612755.0,PHI,step back,,,,,,Mid-Range,8-16 Left,,,Edgecombe,V. Edgecombe,,,,,Made,2.0,10.57,P. George,202331.0,1.0,,,,,,,,
17,PT10M31.00S,2026-04-04T23:13:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,93.9060446780552,48.77450980392157,1610612765,4,4,2026-04-04T23:14:04Z,160000,False,-6.0,5.0,1,right,J. Duren cutting Layup (2 PTS) (T. Harris 1 AST),"[1631105, 202699]",1610612765.0,DET,cutting,,,,,,Restricted Area,0-8 Center,,,Duren,J. Duren,,,,,Made,2.0,0.78,T. Harris,202699.0,1.0,,,,,,,,
19,PT10M09.00S,2026-04-04T23:14:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,7.178055190538765,47.30392156862745,1610612755,6,4,2026-04-04T23:15:17Z,180000,False,13.0,15.0,1,left,T. Maxey driving floating bank Jump Shot (2 PTS),[1630178],1610612755.0,PHI,driving floating bank,,,,,,Restricted Area,0-8 Center,,,Maxey,T. Maxey,,,,,Made,2.0,2.02,,,,,,,,,,,
20,PT10M04.00S,2026-04-04T23:14:30.3Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612765,6,4,2026-04-04T23:14:37Z,190000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Harris 2 FT),"[1626162, 202699]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,1830.0,,Oubre Jr.,K. Oubre Jr.,1.0,0.0,Harris,202699.0,,,,,,,,,,,,,,
