actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
314,PT02M59.00S,2026-03-25T23:59:24.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641824,,,1610612755,58,39,2026-03-25T23:59:31Z,3140000,False,,,0,,M. Buzelis shooting personal FOUL (2 PF) (Embiid 2 FT),"[1641824, 203954]",1610612741.0,CHI,shooting,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2534.0,,,2.0,0.0,Embiid,203954.0
316,PT02M59.00S,2026-03-25T23:59:40.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,58,39,2026-03-25T23:59:40Z,3160000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT02M59.00S,2026-03-26T00:02:52.6Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],203954,,,1610612755,59,39,2026-03-26T00:02:52Z,3170000,False,,,0,,J. Embiid Free Throw 1 of 2 (20 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,20.0,,,,,,,,,,
318,PT02M59.00S,2026-03-26T00:03:13.0Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],203954,,,1610612755,60,39,2026-03-26T00:03:13Z,3180000,False,,,0,,J. Embiid Free Throw 2 of 2 (21 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,21.0,,,,,,,,,,
319,PT02M48.00S,2026-03-26T00:03:25.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,92.16491458607096,40.68627450980392,1610612741,60,39,2026-03-26T00:03:30Z,3190000,False,-47.0,21.0,1,right,MISS G. Yabusele cutting Layup - blocked,"[1627824, 203954]",1610612741.0,CHI,cutting,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,5.12,Missed,,,,,,,,,,,,,Embiid,203954.0,,,,
320,PT02M48.00S,2026-03-26T00:03:25.3Z,2,REGULAR,block,,[],203954,,,1610612741,60,39,2026-03-26T00:03:28Z,3200000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
321,PT02M44.00S,2026-03-26T00:03:29.3Z,2,REGULAR,rebound,defensive,[],1629656,,,1610612755,60,39,2026-03-26T00:03:30Z,3210000,False,,,0,,Q. Grimes REBOUND (Off:1 Def:4),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,319.0,5.0,4.0,1.0,,,,,,,,,,,,,,
322,PT02M35.00S,2026-03-26T00:03:37.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629656,7.933639947437584,49.01960784313726,1610612755,62,39,2026-03-26T00:03:42Z,3220000,False,5.0,22.0,1,left,Q. Grimes driving finger roll Layup (5 PTS) (V. Edgecombe 1 AST),"[1629656, 1642845]",1610612755.0,PHI,driving finger roll,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,2.26,Made,,,,,,,,5.0,V. Edgecombe,1642845.0,1.0,,,,,,,
324,PT02M21.00S,2026-03-26T00:03:51.7Z,2,REGULAR,3pt,Jump Shot,[],1641824,76.26478318002628,9.313725490196077,1610612741,62,42,2026-03-26T00:03:55Z,3240000,False,-203.0,171.0,1,right,M. Buzelis 26' 3PT  (3 PTS) (T. Jones 2 AST),"[1641824, 1630200]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,26.55,Made,,,,,,,,3.0,T. Jones,1630200.0,2.0,,,,,,,
326,PT02M01.00S,2026-03-26T00:04:14.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630581,,,1610612755,62,42,2026-03-26T00:04:20Z,3260000,False,,,0,,J. Giddey shooting personal FOUL (2 PF) (Barlow 2 FT),"[1630581, 1631230]",1610612741.0,CHI,shooting,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2715.0,,,2.0,0.0,Barlow,1631230.0
