actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-23T23:10:51.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-23T23:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-23T23:10:54.9Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2026-03-23T23:10:54Z,40000,False,,,0,,Jump Ball C. Holmgren vs. A. Bona: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1641737]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-03-23T23:11:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,95.31865965834429,48.529411764705884,1610612760,0,2,2026-03-23T23:11:29Z,80000,False,-7.0,-8.0,1,right,I. Hartenstein alley-oop Layup (2 PTS) (J. Williams 1 AST),"[1628392, 1631114]",1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1.13,Made,2.0,J. Williams,1631114.0,1.0,,,,,,,,,,,,,,
10,PT11M27.00S,2026-03-23T23:11:37.4Z,1,REGULAR,3pt,Jump Shot,[],1642845,35.00328515111694,49.50980392156863,1610612755,3,2,2026-03-23T23:11:42Z,100000,False,2.0,277.0,1,left,V. Edgecombe 27' 3PT step back (3 PTS) (A. Bona 1 AST),"[1642845, 1641737]",1610612755.0,PHI,step back,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,27.65,Made,3.0,A. Bona,1641737.0,1.0,,,,,,,,,,,,,,
12,PT11M13.00S,2026-03-23T23:11:51.3Z,1,REGULAR,2pt,Jump Shot,[],1628983,95.18725361366623,25.0,1610612760,3,4,2026-03-23T23:11:55Z,120000,False,-125.0,-7.0,1,right,S. Gilgeous-Alexander 12' pullup Jump Shot (2 PTS) (I. Hartenstein 1 AST),"[1628983, 1628392]",1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,12.52,Made,2.0,I. Hartenstein,1628392.0,1.0,,,,,,,,,,,,,,
14,PT10M58.00S,2026-03-23T23:12:06.1Z,1,REGULAR,3pt,Jump Shot,[],1642845,34.346254927726676,59.31372549019608,1610612755,3,4,2026-03-23T23:12:16Z,140000,False,-47.0,270.0,1,left,MISS V. Edgecombe 27' pullup 3PT,[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,27.44,Missed,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2026-03-23T23:12:06.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,3,4,2026-03-23T23:12:32Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,14.0,,,,,,,,,,,,,
16,PT10M58.00S,2026-03-23T23:12:16.6Z,1,REGULAR,foul,personal,[],1628983,,,1610612755,3,4,2026-03-23T23:14:55Z,160000,False,,,0,,S. Gilgeous-Alexander loose ball personal FOUL (1 PF),"[1628983, 1641737]",1610612760.0,OKC,loose ball,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,1628954.0,1.0,0.0,Bona,1641737.0,,,,,,,,
18,PT10M45.00S,2026-03-23T23:12:41.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642845,33.820630749014455,36.51960784313726,1610612755,3,4,2026-03-23T23:12:46Z,180000,False,67.0,265.0,1,left,MISS V. Edgecombe 27' 3PT,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,27.38,Missed,,,,,,,,,,,,,,,,,,
19,PT10M42.00S,2026-03-23T23:12:44.2Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,3,4,2026-03-23T23:12:46Z,190000,False,,,0,,A. Bona REBOUND (Off:1 Def:0),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Above the Break 3,24+ Center,,,,,,,18.0,,,,,,1.0,0.0,1.0,,,,,
20,PT10M38.00S,2026-03-23T23:12:47.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642348,32.50657030223391,78.43137254901961,1610612755,6,4,2026-03-23T23:12:51Z,200000,False,-142.0,253.0,1,left,J. Edwards 29' 3PT  (3 PTS) (V. Edgecombe 1 AST),"[1642348, 1642845]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Left Center,29.03,Made,3.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,,,,
22,PT10M25.00S,2026-03-23T23:13:00.5Z,1,REGULAR,2pt,Jump Shot,[],1629652,92.95335085413929,28.92156862745098,1610612760,6,4,2026-03-23T23:13:07Z,220000,False,-105.0,14.0,1,right,MISS L. Dort 10' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,10.63,Missed,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2026-03-23T23:13:07.5Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612760,6,4,2026-03-23T23:13:07Z,230000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,,,,,22.0,,,,,,1.0,0.0,1.0,,,,,
24,PT10M18.00S,2026-03-23T23:13:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628392,94.40999984741211,50.0,1610612760,6,6,2026-03-23T23:13:06Z,240000,False,0.0,0.0,1,right,I. Hartenstein putback Layup (4 PTS),[1628392],1610612760.0,OKC,putback,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
25,PT10M05.00S,2026-03-23T23:13:20.0Z,1,REGULAR,3pt,Jump Shot,[],1630699,29.09001314060447,17.64705882352942,1610612755,9,6,2026-03-23T23:13:24Z,250000,False,162.0,221.0,1,left,M. Beauchamp 27' 3PT  (3 PTS) (D. Barlow 1 AST),"[1630699, 1631230]",1610612755.0,PHI,,,,Beauchamp,M. Beauchamp,,,,,Above the Break 3,24+ Right Center,27.38,Made,3.0,D. Barlow,1631230.0,1.0,,,,,,,,,,,,,,
27,PT09M47.00S,2026-03-23T23:13:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,93.47897503285151,47.79411764705882,1610612760,9,8,2026-03-23T23:13:41Z,270000,False,-11.0,9.0,1,right,J. Williams driving finger roll Layup (2 PTS) (C. Holmgren 1 AST),"[1631114, 1631096]",1610612760.0,OKC,driving finger roll,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.41,Made,2.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
29,PT09M41.00S,2026-03-23T23:13:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,7.408015768725363,47.549019607843135,1610612755,9,8,2026-03-23T23:13:50Z,290000,False,12.0,17.0,1,left,MISS V. Edgecombe driving floating Shot - blocked,"[1642845, 1631096]",1610612755.0,PHI,driving floating,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,,,Holmgren,1631096.0,,,
30,PT09M41.00S,2026-03-23T23:13:45.0Z,1,REGULAR,block,,[],1631096,,,1610612755,9,8,2026-03-23T23:13:48Z,300000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M37.00S,2026-03-23T23:13:49.0Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,9,8,2026-03-23T23:13:50Z,310000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,29.0,,,,,,1.0,1.0,0.0,,,,,
