actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2025-11-20T00:12:05.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-20T00:12:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-11-20T00:12:09.7Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2025-11-20T00:12:09Z,40000,False,,,0,,Jump Ball A. Drummond vs. J. Poeltl: Tip to T. Maxey,"[1630178, 203083, 1627751]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-11-20T00:12:25.4Z,1,REGULAR,turnover,lost ball,[],1642348,,,1610612755,0,0,2025-11-20T00:12:32Z,70000,False,,,0,,J. Edwards lost ball TURNOVER (1 TO),"[1642348, 1627751]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Mid-Range,16-24 Center,1.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-11-20T00:12:25.4Z,1,REGULAR,steal,,[],1627751,,,1610612761,0,0,2025-11-20T00:14:15Z,80000,False,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-11-20T00:12:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,92.16491458607096,49.50980392156863,1610612761,0,0,2025-11-20T00:12:36Z,90000,False,-2.0,21.0,1,right,MISS R. Barrett running Layup - blocked,"[1629628, 1631230]",1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,2.12,Missed,Barlow,1631230.0,,,,,,,,,,,,,
10,PT11M34.00S,2025-11-20T00:12:30.7Z,1,REGULAR,block,,[],1631230,,,1610612761,0,0,2025-11-20T00:12:33Z,100000,False,,,0,,D. Barlow BLOCK (1 BLK),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2025-11-20T00:12:30.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,0,2025-11-20T00:12:36Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,,,,,,,,,,,,
13,PT11M29.00S,2025-11-20T00:12:49.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627751,90.98226018396846,54.65686274509804,1610612761,0,2,2025-11-20T00:15:45Z,130000,False,23.0,32.0,1,right,J. Poeltl driving Hook (2 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,driving,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,3.98,Made,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,
15,PT11M08.00S,2025-11-20T00:13:09.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642348,14.50394218134035,56.86274509803921,1610612755,2,2,2025-11-20T00:13:13Z,150000,False,-34.0,84.0,1,left,J. Edwards 9' pullup Jump Shot (2 PTS) (D. Barlow 1 AST),"[1642348, 1631230]",1610612755.0,PHI,pullup,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,9.05,Made,,,,2.0,D. Barlow,1631230.0,1.0,,,,,,,,
17,PT10M43.00S,2025-11-20T00:13:37.5Z,1,REGULAR,foul,personal,['2freethrow'],1642348,,,1610612761,2,2,2025-11-20T00:13:49Z,170000,False,,,0,,J. Edwards shooting personal FOUL (1 PF) (Ingram 2 FT),"[1642348, 1627742]",1610612755.0,PHI,shooting,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1151.0,1.0,0.0,Ingram,1627742.0,,,
