actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-24T00:11:18.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-24T00:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-24T00:11:21.3Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2025-12-24T00:11:21Z,40000,False,,,0,,Jump Ball J. Embiid vs. N. Claxton: Tip to T. Maxey,"[1630178, 203954, 1629651]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-12-24T00:11:41.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,35.29894875164258,41.17647058823529,1610612755,0,0,2025-12-24T00:11:48Z,70000,False,44.0,279.0,1,left,MISS T. Maxey 28' step back 3PT,[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,28.28,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2025-12-24T00:11:43.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,0,2025-12-24T00:11:48Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-12-24T00:11:47.8Z,1,REGULAR,foul,personal,[],1641730,,,1610612755,0,0,2025-12-24T00:12:00Z,90000,False,,,0,,N. Clowney loose ball personal FOUL (1 PF),"[1641730, 203954]",1610612751.0,BKN,loose ball,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,2004.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,
11,PT11M21.00S,2025-12-24T00:12:19.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203954,7.046649145860711,70.83333333333334,1610612755,2,0,2025-12-24T00:12:24Z,110000,False,-104.0,14.0,1,left,J. Embiid 10' fadeaway Jump Shot (2 PTS) (J. McCain 1 AST),"[203954, 1642272]",1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,10.51,Made,,,,,,,2.0,J. McCain,1642272.0,1.0,,,,,,,,
13,PT11M07.00S,2025-12-24T00:12:34.3Z,1,REGULAR,turnover,bad pass,[],1629611,,,1610612751,2,0,2025-12-24T00:12:40Z,130000,False,,,0,,T. Mann bad pass TURNOVER (1 TO),"[1629611, 1642272]",1610612751.0,BKN,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,McCain,1642272.0,,,,,
14,PT11M07.00S,2025-12-24T00:12:34.3Z,1,REGULAR,steal,,[],1642272,,,1610612755,2,0,2025-12-24T00:12:36Z,140000,False,,,0,,J. McCain STEAL (1 STL),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2025-12-24T00:12:39.6Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612755,2,0,2025-12-24T00:12:45Z,150000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (George 2 FT),"[1629651, 202331]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,1627539.0,1.0,0.0,George,202331.0,,,,,,,,,,,,
17,PT11M03.00S,2025-12-24T00:13:14.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",202331,,,1610612755,3,0,2025-12-24T00:13:14Z,170000,False,,,0,,P. George Free Throw 1 of 2 (1 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
18,PT11M03.00S,2025-12-24T00:13:33.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",202331,,,1610612755,4,0,2025-12-24T00:13:33Z,180000,False,,,0,,P. George Free Throw 2 of 2 (2 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
19,PT10M51.00S,2025-12-24T00:13:46.2Z,1,REGULAR,3pt,Jump Shot,[],1629611,87.72996057818659,96.32352941176471,1610612751,4,0,2025-12-24T00:13:53Z,190000,False,232.0,63.0,1,right,MISS T. Mann 24' 3PT,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,24.0,Missed,,,,,,,,,,,,,,,,,,
20,PT10M48.00S,2025-12-24T00:13:49.2Z,1,REGULAR,rebound,defensive,[],1631133,,,1610612755,4,0,2025-12-24T00:13:53Z,200000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,Right Corner 3,24+ Right,,,19.0,,,,,,,,,,,,,1.0,1.0,0.0,,
