actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-20T00:10:58.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-20T00:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-20T00:11:32.4Z,1,REGULAR,jumpball,recovered,[],0,,,0,0,0,2026-02-20T00:11:32Z,40000,False,,,0,,Jump Ball A. Drummond vs. O. Okongwu: Tip to Team (PHI),"[203083, 1630168]",1610612755.0,PHI,heldball,Team (PHI),Drummond,203083.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-02-20T00:11:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.521024967148489,53.92156862745098,1610612755,2,0,2026-02-20T00:11:57Z,80000,False,-20.0,9.0,1,left,T. Maxey driving finger roll Layup (2 PTS) (A. Drummond 1 AST),"[1630178, 203083]",1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,2.15,Made,2.0,Maxey,T. Maxey,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,,
10,PT11M28.00S,2026-02-20T00:12:11.7Z,1,REGULAR,foul,technical,['1freethrow'],203083,,,1610612737,2,0,2026-02-20T00:12:19Z,100000,False,,,0,,A. Drummond defensive-3-second technical FOUL (1 Tech),[203083],1610612755.0,PHI,defensive-3-second,,,,,,Restricted Area,0-8 Center,,,,Drummond,A. Drummond,,,,204059.0,0.0,1.0,,,,,,,,,,,,
11,PT11M28.00S,2026-02-20T00:12:32.1Z,1,REGULAR,freethrow,1 of 1,[],1629638,,,1610612737,2,1,2026-02-20T00:12:32Z,110000,False,,,0,,N. Alexander-Walker technical Free Throw 1 of 1 (1 PTS),[1629638],1610612737.0,ATL,technical,,,,,,,,,Made,1.0,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2026-02-20T00:12:50.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,92.59198423127464,53.18627450980392,1610612737,2,1,2026-02-20T00:12:54Z,120000,False,16.0,17.0,1,right,MISS D. Daniels driving finger roll Layup,[1630700],1610612737.0,ATL,driving finger roll,,,,,,Restricted Area,0-8 Center,2.33,Missed,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2026-02-20T00:12:52.2Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,2,1,2026-02-20T00:12:54Z,130000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Drummond,A. Drummond,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M07.00S,2026-02-20T00:13:00.6Z,1,REGULAR,turnover,lost ball,[],1642845,,,1610612755,2,1,2026-02-20T00:13:05Z,140000,False,,,0,,V. Edgecombe lost ball TURNOVER (1 TO),"[1642845, 1642258]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,1.0,Risacher,1642258.0,,,,,
15,PT11M07.00S,2026-02-20T00:13:00.6Z,1,REGULAR,steal,,[],1642258,,,1610612737,2,1,2026-02-20T00:13:02Z,150000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Right Center,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2026-02-20T00:13:34.3Z,1,REGULAR,jumpball,recovered,[],1629638,,,1610612737,2,1,2026-02-20T00:13:34Z,160000,False,,,0,,Jump Ball Z. Risacher vs. V. Edgecombe: Tip to N. Alexander-Walker,"[1629638, 1642258, 1642845]",1610612737.0,ATL,heldball,N. Alexander-Walker,Risacher,1642258.0,Edgecombe,1642845.0,,,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,1629638.0,,,,
19,PT10M52.00S,2026-02-20T00:13:44.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630700,95.3515111695138,50.73529411764706,1610612737,2,3,2026-02-20T00:13:52Z,190000,False,4.0,-9.0,1,right,D. Daniels driving DUNK (2 PTS) (Z. Risacher 1 AST),"[1630700, 1642258]",1610612737.0,ATL,driving,,,,,,Restricted Area,0-8 Center,0.95,Made,2.0,Daniels,D. Daniels,Z. Risacher,1642258.0,1.0,,,,,,,,,,,,,,,
21,PT10M28.00S,2026-02-20T00:14:09.2Z,1,REGULAR,2pt,Jump Shot,[],1642845,23.47240473061761,33.82352941176471,1610612755,4,3,2026-02-20T00:14:14Z,210000,False,81.0,168.0,1,left,V. Edgecombe 18' pullup Jump Shot (2 PTS),[1642845],1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Right Center,18.66,Made,2.0,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2026-02-20T00:14:22.4Z,1,REGULAR,3pt,Jump Shot,[],1630552,74.06373193166885,15.686274509803921,1610612737,4,3,2026-02-20T00:14:29Z,220000,False,-172.0,191.0,1,right,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,25.7,Missed,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2026-02-20T00:14:26.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,4,3,2026-02-20T00:14:29Z,230000,False,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Drummond,A. Drummond,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,
24,PT10M02.00S,2026-02-20T00:14:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,16.113666228646515,38.970588235294116,1610612755,6,3,2026-02-20T00:14:43Z,240000,False,55.0,99.0,1,left,V. Edgecombe 11' driving floating Jump Shot (4 PTS),[1642845],1610612755.0,PHI,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,11.33,Made,4.0,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2026-02-20T00:14:40.5Z,1,REGULAR,foul,personal,['1freethrow'],1630700,,,1610612755,6,3,2026-02-20T00:14:46Z,250000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Edgecombe 1 FT),"[1630700, 1642845]",1610612737.0,ATL,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Daniels,D. Daniels,,,,204059.0,1.0,0.0,,,,,,,,,Edgecombe,1642845.0,,
27,PT10M02.00S,2026-02-20T00:15:06.1Z,1,REGULAR,freethrow,1 of 1,[],1642845,,,1610612755,7,3,2026-02-20T00:15:06Z,270000,False,,,0,,V. Edgecombe Free Throw 1 of 1 (5 PTS),[1642845],1610612755.0,PHI,,,,,,,,,,Made,5.0,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
28,PT09M48.00S,2026-02-20T00:15:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,86.67871222076215,44.6078431372549,1610612737,7,3,2026-02-20T00:15:27Z,280000,False,-27.0,73.0,1,right,MISS O. Okongwu 7' floating Shot,[1630168],1610612737.0,ATL,floating,,,,,,In The Paint (Non-RA),0-8 Center,7.76,Missed,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,
29,PT09M44.00S,2026-02-20T00:15:25.8Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,7,3,2026-02-20T00:15:27Z,290000,False,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Drummond,A. Drummond,,,,,,,28.0,3.0,3.0,0.0,,,,,,,,
30,PT09M34.00S,2026-02-20T00:15:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,16.245072273324574,50.49019607843137,1610612755,7,3,2026-02-20T00:15:40Z,300000,False,-2.0,100.0,1,left,MISS T. Maxey 10' driving floating Shot - blocked,"[1630178, 1642258]",1610612755.0,PHI,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.02,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,Risacher,1642258.0
31,PT09M34.00S,2026-02-20T00:15:35.5Z,1,REGULAR,block,,[],1642258,,,1610612755,7,3,2026-02-20T00:15:38Z,310000,False,,,0,,Z. Risacher BLOCK (1 BLK),[1642258],1610612737.0,ATL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,
32,PT09M31.00S,2026-02-20T00:15:38.5Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,7,3,2026-02-20T00:15:40Z,320000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Risacher,Z. Risacher,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
