actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
25,PT09M22.00S,2026-03-14T17:13:35.2Z,1,REGULAR,2pt,Jump Shot,[],1629611,91.93495400788436,31.61764705882353,1610612751,4,2,2026-03-14T17:16:36Z,250000,False,-92.0,23.0,1,right,MISS T. Mann 9' step back Shot,[1629611],1610612751.0,BKN,step back,,,Mann,T. Mann,,,,,Mid-Range,8-16 Left,,,,9.48,Missed,,,,,,,,,,,,,,,
26,PT09M20.00S,2026-03-14T17:13:37.2Z,1,REGULAR,rebound,defensive,[],1641737,,,1610612755,4,2,2026-03-14T17:13:39Z,260000,False,,,0,,A. Bona REBOUND (Off:0 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,8-16 Left,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,
27,PT09M12.00S,2026-03-14T17:13:45.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642348,3.892904073587385,45.588235294117645,1610612755,6,2,2026-03-14T17:13:51Z,270000,False,22.0,-16.0,1,left,J. Edwards driving finger roll Layup (2 PTS),[1642348],1610612755.0,PHI,driving finger roll,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,2.72,Made,2.0,,,,,,,,,,,,,,
28,PT09M02.00S,2026-03-14T17:13:54.9Z,1,REGULAR,3pt,Jump Shot,[],1641730,63.6826544021025,35.294117647058826,1610612751,6,2,2026-03-14T18:18:16Z,280000,False,-74.0,289.0,1,right,MISS N. Clowney 29' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,,,,29.81,Missed,,,,,,,,,,,,,,,
29,PT08M59.00S,2026-03-14T17:13:57.9Z,1,REGULAR,rebound,offensive,[],1642874,,,1610612751,6,2,2026-03-14T18:18:16Z,290000,False,,,0,,D. Wolf REBOUND (Off:1 Def:1),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Above the Break 3,24+ Center,,,,,,,,,,28.0,2.0,1.0,1.0,,,,,,,
30,PT08M58.00S,2026-03-14T17:13:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642874,92.32917214191852,46.568627450980394,1610612751,6,4,2026-03-14T17:14:10Z,300000,False,-17.0,20.0,1,right,D. Wolf driving Layup (2 PTS),[1642874],1610612751.0,BKN,driving,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,,,,2.61,Made,2.0,,,,,,,,,,,,,,
31,PT08M40.00S,2026-03-14T17:14:16.2Z,1,REGULAR,2pt,Jump Shot,[],1629656,4.155716162943495,14.215686274509803,1610612755,8,4,2026-03-14T17:14:21Z,310000,False,179.0,-13.0,1,left,Q. Grimes 17' pullup Jump Shot (2 PTS) (D. Barlow 2 AST),"[1629656, 1631230]",1610612755.0,PHI,pullup,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Right,,,,17.94,Made,2.0,D. Barlow,1631230.0,2.0,,,,,,,,,,,
33,PT08M32.00S,2026-03-14T17:14:24.7Z,1,REGULAR,turnover,lost ball,[],1642849,,,1610612751,8,4,2026-03-14T17:14:29Z,330000,False,,,0,,N. Traore lost ball TURNOVER (2 TO),"[1642849, 1642348]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),8-16 Center,2.0,Edwards,1642348.0,,,,,,,,,,,,,,,,,
34,PT08M32.00S,2026-03-14T17:14:24.7Z,1,REGULAR,steal,,[],1642348,,,1610612755,8,4,2026-03-14T17:14:26Z,340000,False,,,0,,J. Edwards STEAL (1 STL),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M28.00S,2026-03-14T17:14:29.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642845,6.389618922470433,51.225490196078425,1610612755,10,4,2026-03-14T17:20:48Z,350000,False,-6.0,8.0,1,left,V. Edgecombe running DUNK (6 PTS) (J. Edwards 1 AST),"[1642845, 1642348]",1610612755.0,PHI,running,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,0.97,Made,6.0,J. Edwards,1642348.0,1.0,,,,,,,,,,,
