actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-30T23:11:00.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-30T23:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-30T23:11:02.8Z,1,REGULAR,jumpball,recovered,[],1629638,,,1610612737,0,0,2025-11-30T23:11:02Z,40000,False,,,0,,Jump Ball O. Okongwu vs. D. Barlow: Tip to N. Alexander-Walker,"[1629638, 1630168, 1631230]",1610612737.0,ATL,startperiod,N. Alexander-Walker,1629638.0,Alexander-Walker,N. Alexander-Walker,Okongwu,1630168.0,Barlow,1631230.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-11-30T23:11:19.3Z,1,REGULAR,3pt,Jump Shot,[],1629638,69.99014454664915,23.03921568627451,1610612737,0,0,2025-11-30T23:11:24Z,70000,False,-135.0,230.0,1,right,MISS N. Alexander-Walker 26' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Left Center,26.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-11-30T23:11:24.3Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,0,0,2025-11-30T23:11:24Z,80000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-11-30T23:11:34.2Z,1,REGULAR,2pt,Jump Shot,[],203954,17.427726675427067,30.88235294117647,1610612755,2,0,2025-11-30T23:11:38Z,90000,False,96.0,111.0,1,left,J. Embiid 14' pullup Jump Shot (2 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,14.67,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M13.00S,2025-11-30T23:11:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,94.95729303547962,51.470588235294116,1610612737,2,2,2025-11-30T23:11:50Z,100000,False,7.0,-5.0,1,right,D. Daniels cutting Layup (2 PTS) (J. Johnson 1 AST),"[1630700, 1630552]",1610612737.0,ATL,cutting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,2.0,J. Johnson,1630552.0,1.0,,,,,,,,,,
12,PT11M00.00S,2025-11-30T23:11:58.4Z,1,REGULAR,3pt,Jump Shot,[],202331,31.35676741130092,26.96078431372549,1610612755,2,2,2025-11-30T23:12:04Z,120000,False,115.0,242.0,1,left,MISS P. George 26' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.83,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2025-11-30T23:12:01.4Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,2,2,2025-11-30T23:12:04Z,130000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M50.00S,2025-11-30T23:12:09.0Z,1,REGULAR,3pt,Jump Shot,[],1630700,95.48291721419186,5.147058823529411,1610612737,2,2,2025-11-30T23:13:58Z,140000,False,-224.0,-10.0,1,right,MISS D. Daniels 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Left Corner 3,24+ Left,22.45,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-11-30T23:12:12.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,2,2025-11-30T23:12:14Z,150000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Left Corner 3,24+ Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M39.00S,2025-11-30T23:12:23.6Z,1,REGULAR,turnover,traveling,[],203954,,,1610612755,2,2,2025-11-30T23:12:28Z,160000,False,,,0,,J. Embiid traveling TURNOVER (1 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2002.0,1.0,,,,,,,,
17,PT10M25.00S,2025-11-30T23:12:46.1Z,1,REGULAR,turnover,bad pass,[],1630168,,,1610612737,2,2,2025-11-30T23:12:50Z,170000,False,,,0,,O. Okongwu bad pass TURNOVER (1 TO),"[1630168, 1631230]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Barlow,1631230.0,,,,,,
