actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-01-21T00:10:45.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-21T00:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-21T00:10:48.9Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2026-01-21T00:10:49Z,40000,False,,,0,,Jump Ball M. Williams vs. A. Drummond: Tip to C. Gillespie,"[1631221, 1631109, 203083]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-01-21T00:10:58.8Z,1,REGULAR,turnover,bad pass,[],1631221,,,1610612756,0,0,2026-01-21T00:11:03Z,70000,False,,,0,,C. Gillespie bad pass TURNOVER (1 TO),"[1631221, 1626162]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,1.0,Oubre Jr.,1626162.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2026-01-21T00:10:58.8Z,1,REGULAR,steal,,[],1626162,,,1610612755,0,0,2026-01-21T00:11:01Z,80000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2026-01-21T00:11:02.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,5.338370565045992,46.568627450980394,1610612755,2,0,2026-01-21T00:11:08Z,90000,False,17.0,-2.0,1,left,K. Oubre Jr. running finger roll Layup (2 PTS),[1626162],1610612755.0,PHI,running finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,1.74,Made,2.0,,,,,,,,,,,,,,
10,PT11M33.00S,2026-01-21T00:11:13.6Z,1,REGULAR,foul,personal,[],1631230,,,1610612756,2,0,2026-01-21T00:11:24Z,100000,False,,,0,,D. Barlow personal FOUL (1 PF),"[1631230, 1626164]",1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Center,,,,,,,1162.0,1.0,0.0,Booker,1626164.0,,,,,,,,,
12,PT11M31.00S,2026-01-21T00:11:30.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,67.7562417871222,66.91176470588235,1610612756,2,0,2026-01-21T00:11:40Z,120000,False,85.0,251.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,26.45,Missed,,,,,,,,,,,,,,,
13,PT11M28.00S,2026-01-21T00:11:33.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,2,0,2026-01-21T00:11:40Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,12.0,,,,,,,,
15,PT11M15.00S,2026-01-21T00:11:57.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,30.699737187910642,75.98039215686273,1610612755,2,0,2026-01-21T00:12:57Z,150000,False,-130.0,236.0,1,left,MISS T. Maxey 26' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,26.95,Missed,,,,,,,,,,,,,,,
16,PT11M12.00S,2026-01-21T00:12:00.3Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612756,2,0,2026-01-21T00:12:57Z,160000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT11M02.00S,2026-01-21T00:12:07.7Z,1,REGULAR,2pt,Jump Shot,[],1628415,75.1149802890933,46.07843137254902,1610612756,2,0,2026-01-21T00:12:13Z,170000,False,-20.0,181.0,1,right,MISS D. Brooks 18' pullup Shot,[1628415],1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,,,,18.25,Missed,,,,,,,,,,,,,,,
18,PT11M00.00S,2026-01-21T00:12:09.9Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,2,0,2026-01-21T00:12:09Z,180000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M49.00S,2026-01-21T00:12:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,16.376478318002626,34.068627450980394,1610612755,2,0,2026-01-21T00:13:49Z,190000,False,80.0,101.0,1,left,MISS V. Edgecombe 12' driving floating Shot,[1642845],1610612755.0,PHI,driving floating,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Right,,,,12.9,Missed,,,,,,,,,,,,,,,
20,PT10M47.00S,2026-01-21T00:12:24.7Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612756,2,0,2026-01-21T00:13:49Z,200000,False,,,0,,D. Brooks REBOUND (Off:0 Def:2),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,
21,PT10M35.00S,2026-01-21T00:12:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,90.62089356110381,50.73529411764706,1610612756,2,0,2026-01-21T00:14:25Z,210000,False,4.0,36.0,1,right,MISS D. Brooks finger roll Layup - blocked,"[1628415, 203083]",1610612756.0,PHX,finger roll,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,3.59,Missed,,,,,,,,,,,Drummond,203083.0,,,
22,PT10M35.00S,2026-01-21T00:12:35.8Z,1,REGULAR,block,,[],203083,,,1610612756,2,0,2026-01-21T00:12:38Z,220000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M33.00S,2026-01-21T00:12:37.8Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,2,0,2026-01-21T00:14:25Z,230000,False,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,21.0,1.0,0.0,1.0,,,,,
24,PT10M26.00S,2026-01-21T00:12:46.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626164,93.38042049934296,66.66666666666666,1610612756,2,0,2026-01-21T00:14:55Z,240000,False,83.0,10.0,1,right,MISS D. Booker 8' turnaround fadeaway Shot,[1626164],1610612756.0,PHX,turnaround fadeaway,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,,,,8.39,Missed,,,,,,,,,,,,,,,
