actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
62,PT07M01.00S,2026-04-03T23:20:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.8915900131406,63.23529411764706,1610612755,10,8,2026-04-03T23:20:32Z,620000,False,-66.0,134.0,1,left,MISS J. Embiid 14' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,14.99,Missed,,,,,,,,,,,,,,,,
63,PT06M59.00S,2026-04-03T23:20:24.9Z,1,REGULAR,rebound,offensive,[],202331,,,1610612755,10,8,2026-04-03T23:20:32Z,630000,False,,,0,,P. George REBOUND (Off:1 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,62.0,2.0,1.0,1.0,,,,,,,,,,,
64,PT06M47.00S,2026-04-03T23:20:36.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202331,34.346254927726676,44.607843137254896,1610612755,10,8,2026-04-03T23:20:44Z,640000,False,27.0,270.0,1,left,MISS P. George 27' step back 3PT,[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Above the Break 3,24+ Center,,,27.17,Missed,,,,,,,,,,,,,,,,
65,PT06M45.00S,2026-04-03T23:20:38.9Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612750,10,8,2026-04-03T23:20:44Z,650000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:2),[1630245],1610612750.0,MIN,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Center,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,
66,PT06M37.00S,2026-04-03T23:20:47.0Z,1,REGULAR,3pt,Jump Shot,[],1628978,67.85479632063075,25.490196078431367,1610612750,10,8,2026-04-03T23:20:52Z,660000,False,-123.0,250.0,1,right,MISS D. DiVincenzo 27' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,27.81,Missed,,,,,,,,,,,,,,,,
67,PT06M34.00S,2026-04-03T23:20:50.0Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,10,8,2026-04-03T23:20:52Z,670000,False,,,0,,D. Barlow REBOUND (Off:1 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Left Center,,,,,,66.0,2.0,1.0,1.0,,,,,,,,,,,
68,PT06M29.00S,2026-04-03T23:20:55.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,28.695795006570307,87.74509803921569,1610612755,10,8,2026-04-03T23:22:06Z,680000,False,-189.0,217.0,1,left,MISS T. Maxey 28' running pullup 3PT,[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,28.77,Missed,,,,,,,,,,,,,,,,
69,PT06M25.00S,2026-04-03T23:20:59.3Z,1,REGULAR,rebound,offensive,[],1631230,,,1610612755,10,8,2026-04-03T23:22:06Z,690000,False,,,0,,D. Barlow REBOUND (Off:2 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Left Center,,,,,,68.0,3.0,1.0,2.0,,,,,,,,,,,
70,PT06M23.00S,2026-04-03T23:21:01.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202331,28.95860709592641,20.588235294117652,1610612755,10,8,2026-04-03T23:21:06Z,700000,False,147.0,220.0,1,left,MISS P. George 26' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,26.44,Missed,,,,,,,,,,,,,,,,
71,PT06M23.00S,2026-04-03T23:21:01.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,10,8,2026-04-03T23:21:06Z,710000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,,70.0,3.0,2.0,1.0,,,,,,,,,,,
72,PT06M08.00S,2026-04-03T23:21:15.9Z,1,REGULAR,3pt,Jump Shot,[],1630245,65.75229960578187,50.73529411764706,1610612750,10,8,2026-04-03T23:22:52Z,720000,False,4.0,269.0,1,right,MISS A. Dosunmu 26' pullup 3PT,[1630245],1610612750.0,MIN,pullup,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Center,,,26.94,Missed,,,,,,,,,,,,,,,,
73,PT06M05.00S,2026-04-03T23:21:18.9Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,10,8,2026-04-03T23:21:22Z,730000,False,,,0,,D. Barlow REBOUND (Off:2 Def:2),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Center,,,,,,72.0,4.0,2.0,2.0,,,,,,,,,,,
74,PT06M00.00S,2026-04-03T23:21:31.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,10,8,2026-04-03T23:21:31Z,740000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M00.00S,2026-04-03T23:23:50.4Z,1,REGULAR,substitution,out,[],203944,,,1610612755,10,8,2026-04-03T23:24:13Z,750000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M00.00S,2026-04-03T23:23:50.4Z,1,REGULAR,substitution,out,[],1628978,,,1610612755,10,8,2026-04-03T23:24:13Z,760000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M00.00S,2026-04-03T23:23:50.4Z,1,REGULAR,substitution,in,[],1629675,,,1610612755,10,8,2026-04-03T23:24:13Z,770000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
