actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
78,PT06M00.00S,2026-04-03T23:23:50.4Z,1,REGULAR,substitution,in,[],1630538,,,1610612755,10,8,2026-04-03T23:24:13Z,780000,False,,,0,,SUB in: B. Hyland,[1630538],1610612750.0,MIN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M53.00S,2026-04-03T23:24:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,13.978318002628114,53.67647058823529,1610612755,12,8,2026-04-03T23:24:57Z,790000,False,-18.0,79.0,1,left,J. Embiid 8' fadeaway Jump Shot (2 PTS) (T. Maxey 2 AST),"[203954, 1630178]",1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,8.1,Made,2.0,,,,,,,,,T. Maxey,1630178.0,2.0,,,,
81,PT05M41.00S,2026-04-03T23:24:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,82.57227332457293,48.0392156862745,1610612750,12,10,2026-04-03T23:25:01Z,810000,False,-10.0,111.0,1,right,A. Edwards 11' pullup Jump Shot (5 PTS) (R. Gobert 1 AST),"[1630162, 203497]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,11.17,Made,5.0,,,,,,,,,R. Gobert,203497.0,1.0,,,,
83,PT05M25.00S,2026-04-03T23:25:08.6Z,1,REGULAR,3pt,Jump Shot,[],203954,34.8718791064389,49.754901960784316,1610612755,12,10,2026-04-03T23:26:12Z,830000,False,1.0,275.0,1,left,MISS J. Embiid 27' pullup 3PT - blocked,"[203954, 1629675]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,27.53,Missed,,,,,,,,,,,,,,,Reid,1629675.0
84,PT05M25.00S,2026-04-03T23:25:08.6Z,1,REGULAR,block,,[],1629675,,,1610612755,12,10,2026-04-03T23:25:12Z,840000,False,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
85,PT05M21.00S,2026-04-03T23:25:12.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,12,10,2026-04-03T23:25:14Z,850000,False,,,0,,R. Gobert REBOUND (Off:1 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,,,83.0,4.0,3.0,1.0,,,,,,,,,,,
86,PT05M19.00S,2026-04-03T23:25:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629675,91.77069645203679,49.01960784313726,1610612750,12,10,2026-04-03T23:25:18Z,860000,False,-5.0,25.0,1,right,MISS N. Reid running Layup - blocked,"[1629675, 1631230]",1610612750.0,MIN,running,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,2.54,Missed,,,,,,,,,,,,,,,Barlow,1631230.0
87,PT05M19.00S,2026-04-03T23:25:14.0Z,1,REGULAR,block,,[],1631230,,,1610612750,12,10,2026-04-03T23:25:16Z,870000,False,,,0,,D. Barlow BLOCK (1 BLK),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
88,PT05M16.00S,2026-04-03T23:25:17.0Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,12,10,2026-04-03T23:25:18Z,880000,False,,,0,,N. Reid REBOUND (Off:1 Def:0),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,86.0,1.0,0.0,1.0,,,,,,,,,,,
89,PT05M16.00S,2026-04-03T23:25:17.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629675,91.37647831800263,51.470588235294116,1610612750,12,12,2026-04-03T23:26:57Z,890000,False,7.0,29.0,1,right,N. Reid driving Hook (2 PTS),[1629675],1610612750.0,MIN,driving,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,2.95,Made,2.0,,,,,,,,,,,,,,,
90,PT04M58.00S,2026-04-03T23:25:39.2Z,1,REGULAR,turnover,traveling,[],1642845,,,1610612755,12,12,2026-04-03T23:25:48Z,900000,False,,,0,,V. Edgecombe traveling TURNOVER (1 TO),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),0-8 Center,101284.0,1.0,,,,,,,,,,,,,,,,,,
91,PT04M58.00S,2026-04-03T23:25:47.0Z,1,REGULAR,substitution,out,[],202331,,,1610612750,12,12,2026-04-03T23:25:54Z,910000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M58.00S,2026-04-03T23:25:47.0Z,1,REGULAR,substitution,out,[],1642845,,,1610612750,12,12,2026-04-03T23:25:54Z,920000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M58.00S,2026-04-03T23:25:47.0Z,1,REGULAR,substitution,in,[],1626162,,,1610612750,12,12,2026-04-03T23:25:54Z,930000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M58.00S,2026-04-03T23:25:47.0Z,1,REGULAR,substitution,in,[],1629656,,,1610612750,12,12,2026-04-03T23:25:54Z,940000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M51.00S,2026-04-03T23:26:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630538,90.5880420499343,47.79411764705882,1610612750,12,12,2026-04-03T23:26:15Z,950000,False,-11.0,36.0,1,right,MISS B. Hyland driving Layup - blocked,"[1630538, 1630178]",1610612750.0,MIN,driving,,,Hyland,B. Hyland,,,,,Restricted Area,0-8 Center,,,3.76,Missed,,,,,,,,,,,,,,,Maxey,1630178.0
96,PT04M51.00S,2026-04-03T23:26:06.9Z,1,REGULAR,block,,[],1630178,,,1610612750,12,12,2026-04-03T23:26:35Z,960000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT04M49.00S,2026-04-03T23:26:08.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,12,2026-04-03T23:26:39Z,970000,False,,,0,,J. Embiid REBOUND (Off:1 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,95.0,4.0,3.0,1.0,,,,,,,,,,,
98,PT04M47.00S,2026-04-03T23:26:13.0Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,12,12,2026-04-03T23:26:50Z,980000,False,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 1630245]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,1.0,,,,,,,,,,,,,,,Dosunmu,1630245.0,,
