actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-03T00:10:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-03T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-03T00:10:41.7Z,1,REGULAR,jumpball,recovered,[],1642845,,,1610612755,0,0,2025-12-03T00:10:41Z,40000,False,,,0,,Jump Ball A. Drummond vs. M. Bagley III: Tip to V. Edgecombe,"[1642845, 203083, 1628963]",1610612755.0,PHI,startperiod,V. Edgecombe,1642845.0,Edgecombe,V. Edgecombe,Drummond,203083.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-12-03T00:10:50.7Z,1,REGULAR,2pt,Jump Shot,[],202331,4.155716162943495,79.16666666666666,1610612755,0,0,2025-12-03T00:11:02Z,70000,False,-146.0,-13.0,1,left,MISS P. George 14' pullup Shot,[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,8-16 Left,14.64,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-12-03T00:10:52.7Z,1,REGULAR,rebound,offensive,[],1631230,,,1610612755,0,0,2025-12-03T00:18:24Z,80000,False,,,0,,D. Barlow REBOUND (Off:1 Def:0),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Mid-Range,8-16 Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M45.00S,2025-12-03T00:10:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1631230,5.590000152587891,50.0,1610612755,2,0,2025-12-03T00:11:06Z,110000,False,0.0,0.0,1,left,D. Barlow putback Layup (2 PTS),[1631230],1610612755.0,PHI,putback,,,Barlow,D. Barlow,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M45.00S,2025-12-03T00:11:01.0Z,1,REGULAR,violation,defensive goaltending,[],1628963,,,1610612755,2,0,2025-12-03T00:11:06Z,120000,False,,,0,,M. Bagley III defensive goaltending VIOLATION,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,1628951.0,,,,,,,,,,,,
13,PT11M29.00S,2025-12-03T00:11:20.8Z,1,REGULAR,2pt,Jump Shot,[],1642273,77.87450722733246,59.55882352941176,1610612764,2,2,2025-12-03T00:11:25Z,130000,False,48.0,155.0,1,right,K. George 16' turnaround fadeaway Jump Shot (2 PTS),[1642273],1610612764.0,WAS,turnaround fadeaway,,,George,K. George,,,,,Mid-Range,16-24 Center,16.27,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M13.00S,2025-12-03T00:11:36.0Z,1,REGULAR,3pt,Jump Shot,[],202331,27.677398160315374,80.3921568627451,1610612755,5,2,2025-12-03T00:11:40Z,140000,False,-152.0,208.0,1,left,P. George 25' 3PT  (3 PTS) (V. Edgecombe 1 AST),"[202331, 1642845]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,25.74,Made,,,,,3.0,,V. Edgecombe,1642845.0,1.0,,,,,,,,,
16,PT10M56.00S,2025-12-03T00:11:53.7Z,1,REGULAR,3pt,Jump Shot,[],203468,95.48291721419186,96.32352941176471,1610612764,5,2,2025-12-03T00:11:57Z,160000,False,232.0,-10.0,1,right,MISS C. McCollum step back 3PT,[203468],1610612764.0,WAS,step back,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2025-12-03T00:11:56.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,5,2,2025-12-03T00:11:57Z,170000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Right Corner 3,24+ Right,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M48.00S,2025-12-03T00:12:01.9Z,1,REGULAR,2pt,Jump Shot,[],202331,23.866622864651774,46.81372549019608,1610612755,5,2,2025-12-03T00:12:56Z,180000,False,16.0,172.0,1,left,MISS P. George 17' pullup Shot,[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,16-24 Center,17.25,Missed,,,,,,,,,,,,,,,,,,
19,PT10M45.00S,2025-12-03T00:12:04.9Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,5,2,2025-12-03T00:12:07Z,190000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,16-24 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M36.00S,2025-12-03T00:12:13.7Z,1,REGULAR,3pt,Jump Shot,[],1628963,69.33311432325887,71.32352941176471,1610612764,5,5,2025-12-03T00:12:17Z,200000,False,107.0,236.0,1,right,M. Bagley III 25' 3PT  (3 PTS) (B. Coulibaly 1 AST),"[1628963, 1641731]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Right Center,25.88,Made,,,,,3.0,,B. Coulibaly,1641731.0,1.0,,,,,,,,,
22,PT10M16.00S,2025-12-03T00:12:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,15.062417871222076,61.274509803921575,1610612755,7,5,2025-12-03T00:12:36Z,220000,False,-56.0,89.0,1,left,V. Edgecombe 10' pullup Jump Shot (2 PTS),[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Left,10.55,Made,,,,,2.0,,,,,,,,,,,,,
23,PT10M02.00S,2025-12-03T00:12:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,93.24901445466492,48.28431372549019,1610612764,7,5,2025-12-03T00:12:55Z,230000,False,-9.0,11.0,1,right,MISS J. Champagnie driving Layup,[1630551],1610612764.0,WAS,driving,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,1.4,Missed,,,,,,,,,,,,,,,,,,
24,PT10M00.00S,2025-12-03T00:12:49.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,7,5,2025-12-03T00:12:55Z,240000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M56.00S,2025-12-03T00:12:53.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,32.013797634691194,28.921568627450984,1610612755,7,5,2025-12-03T00:13:03Z,250000,False,105.0,248.0,1,left,MISS T. Maxey 26' running pullup 3PT,[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.98,Missed,,,,,,,,,,,,,,,,,,
26,PT09M56.00S,2025-12-03T00:12:53.0Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,7,5,2025-12-03T00:13:03Z,260000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
