actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-26T01:13:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-26T01:13:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-26T01:13:26.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2025-11-26T01:13:26Z,40000,False,,,0,,Jump Ball A. Drummond vs. W. Carter Jr.: Tip to T. Maxey,"[1630178, 203083, 1628976]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2025-11-26T01:13:50.1Z,1,REGULAR,turnover,bad pass,[],1642348,,,1610612755,0,0,2025-11-26T01:13:53Z,80000,False,,,0,,J. Edwards bad pass TURNOVER (1 TO),"[1642348, 1630217]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Center,1.0,Bane,1630217.0,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2025-11-26T01:13:50.1Z,1,REGULAR,steal,,[],1630217,,,1610612753,0,0,2025-11-26T01:13:52Z,90000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2025-11-26T01:13:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,92.9862023653088,51.225490196078425,1610612753,0,2,2025-11-26T01:14:04Z,100000,False,6.0,13.0,1,right,D. Bane running reverse Layup (2 PTS) (T. da Silva 1 AST),"[1630217, 1641783]",1610612753.0,ORL,running reverse,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,1.47,Made,2.0,T. da Silva,1641783.0,1.0,,,,,,,,,,,
12,PT11M19.00S,2025-11-26T01:14:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,14.011169513797633,49.50980392156863,1610612755,0,2,2025-11-26T01:14:21Z,120000,False,2.0,79.0,1,left,MISS T. Maxey 7' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,7.92,Missed,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-11-26T01:14:20.4Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,2,2025-11-26T01:14:21Z,130000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT11M06.00S,2025-11-26T01:14:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641783,94.43166885676742,61.029411764705884,1610612753,0,4,2025-11-26T01:14:33Z,140000,False,55.0,0.0,1,right,T. da Silva driving floating Jump Shot (2 PTS),[1641783],1610612753.0,ORL,driving floating,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),0-8 Center,,,,5.51,Made,2.0,,,,,,,,,,,,,,
15,PT10M47.00S,2025-11-26T01:14:52.2Z,1,REGULAR,turnover,out-of-bounds,[],1642348,,,1610612755,0,4,2025-11-26T01:14:58Z,150000,False,,,0,,J. Edwards step out-of-bounds TURNOVER (2 TO),[1642348],1610612755.0,PHI,step,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,,,,,1629177.0,,,,,,
16,PT10M38.00S,2025-11-26T01:15:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,93.64323258869908,55.392156862745104,1610612753,0,4,2025-11-26T01:16:20Z,160000,False,27.0,7.0,1,right,MISS F. Wagner driving reverse Layup,[1630532],1610612753.0,ORL,driving reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,2.8,Missed,,,,,,,,,,,,,,,
