actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
299,PT01M40.00S,2026-02-01T01:32:57.5Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,63,52,2026-02-01T01:32:57Z,2970000,False,,,0,,J. Embiid Free Throw 2 of 2 (21 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,21.0,,,,,,,,,,,,,,,,,
300,PT01M23.00S,2026-02-01T01:33:16.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,90.3580814717477,40.931372549019606,1610612740,63,52,2026-02-01T01:34:14Z,2980000,False,-45.0,38.0,1,right,MISS S. Bey cutting finger roll Layup - blocked,"[1630180, 1641737]",1610612740.0,NOP,cutting finger roll,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,5.92,Missed,,,,,,,,,,,,,,Bona,1641737.0,,,
301,PT01M23.00S,2026-02-01T01:33:16.8Z,2,REGULAR,block,,[],1641737,,,1610612740,63,52,2026-02-01T01:33:19Z,2990000,False,,,0,,A. Bona BLOCK (1 BLK),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
302,PT01M19.00S,2026-02-01T01:33:20.8Z,2,REGULAR,rebound,defensive,[],1626162,,,1610612755,63,52,2026-02-01T01:33:24Z,3000000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:3),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,300.0,4.0,3.0,1.0,,,,,,,,,,
303,PT01M16.00S,2026-02-01T01:33:23.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641737,4.944152431011826,49.754901960784316,1610612755,63,52,2026-02-01T01:33:29Z,3010000,False,1.0,-6.0,1,left,MISS A. Bona running finger roll Layup,[1641737],1610612755.0,PHI,running finger roll,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,0.61,Missed,,,,,,,,,,,,,,,,,,
304,PT01M14.00S,2026-02-01T01:33:25.7Z,2,REGULAR,rebound,defensive,[],1630529,,,1610612740,63,52,2026-02-01T01:33:29Z,3020000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,303.0,1.0,1.0,0.0,,,,,,,,,,
305,PT01M08.00S,2026-02-01T01:33:31.4Z,2,REGULAR,3pt,Jump Shot,[],1630180,97.9796320630749,96.32352941176471,1610612740,63,52,2026-02-01T01:35:25Z,3030000,False,232.0,-34.0,1,right,MISS S. Bey pullup 3PT,[1630180],1610612740.0,NOP,pullup,,,Bey,S. Bey,,,,,Right Corner 3,24+ Right,23.4,Missed,,,,,,,,,,,,,,,,,,
306,PT01M05.00S,2026-02-01T01:33:34.4Z,2,REGULAR,rebound,defensive,[],1641737,,,1610612755,63,52,2026-02-01T01:33:36Z,3040000,False,,,0,,A. Bona REBOUND (Off:2 Def:2),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Right Corner 3,24+ Right,,,,,,,305.0,4.0,2.0,2.0,,,,,,,,,,
307,PT01M01.00S,2026-02-01T01:33:39.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626162,6.652431011826544,49.50980392156863,1610612755,65,52,2026-02-01T01:33:45Z,3050000,False,2.0,10.0,1,left,K. Oubre Jr. running finger roll Layup (11 PTS) (V. Edgecombe 4 AST),"[1626162, 1642845]",1610612755.0,PHI,running finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.03,Made,11.0,V. Edgecombe,1642845.0,4.0,,,,,,,,,,,,,,
309,PT01M01.00S,2026-02-01T01:33:45.5Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630180,,,1610612755,65,52,2026-02-01T01:33:53Z,3070000,False,,,0,,S. Bey shooting personal FOUL (1 PF) (Oubre Jr. 1 FT),"[1630180, 1626162]",1610612740.0,NOP,shooting,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2534.0,1.0,0.0,Oubre Jr.,1626162.0,,,,,
311,PT01M01.00S,2026-02-01T01:34:12.3Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],1626162,,,1610612755,65,52,2026-02-01T01:34:15Z,3090000,False,,,0,,MISS K. Oubre Jr. Free Throw 1 of 1,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
312,PT00M59.30S,2026-02-01T01:34:14.0Z,2,REGULAR,rebound,defensive,[],1629627,,,1610612740,65,52,2026-02-01T01:34:15Z,3100000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,311.0,2.0,2.0,0.0,,,,,,,,,,
313,PT00M45.90S,2026-02-01T01:34:26.8Z,2,REGULAR,3pt,Jump Shot,[],1630530,65.91655716162943,48.77450980392157,1610612740,65,52,2026-02-01T01:34:32Z,3110000,False,-6.0,268.0,1,right,MISS T. Murphy III 26' step back 3PT,[1630530],1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,26.8,Missed,,,,,,,,,,,,,,,,,,
314,PT00M43.00S,2026-02-01T01:34:29.7Z,2,REGULAR,rebound,defensive,[],1626162,,,1610612755,65,52,2026-02-01T01:34:32Z,3120000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:4),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,313.0,5.0,4.0,1.0,,,,,,,,,,
315,PT00M33.30S,2026-02-01T01:34:40.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,7.835085413929041,50.98039215686274,1610612755,65,52,2026-02-01T01:34:44Z,3130000,False,-5.0,21.0,1,left,MISS J. Embiid driving Layup - blocked,"[203954, 1629627]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,Williamson,1629627.0,,,
327,PT00M33.30S,2026-02-01T01:34:40.5Z,2,REGULAR,block,,[],1629627,,,1610612755,65,52,2026-02-01T01:39:30Z,3135000,False,,,0,,Z. Williamson BLOCK (2 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
316,PT00M31.40S,2026-02-01T01:34:42.4Z,2,REGULAR,rebound,offensive,[],203954,,,1610612755,65,52,2026-02-01T01:34:44Z,3140000,False,,,0,,J. Embiid REBOUND (Off:4 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,315.0,8.0,4.0,4.0,,,,,,,,,,
317,PT00M31.40S,2026-02-01T01:34:43.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203954,5.590000152587891,50.0,1610612755,67,52,2026-02-01T01:35:41Z,3150000,False,0.0,0.0,1,left,J. Embiid tip Layup (23 PTS),[203954],1610612755.0,PHI,tip,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,0.0,Made,23.0,,,,,,,,,,,,,,,,,
318,PT00M26.20S,2026-02-01T01:34:52.1Z,2,REGULAR,foul,personal,[],1626162,,,1610612740,67,52,2026-02-01T01:34:58Z,3160000,False,,,0,,K. Oubre Jr. personal FOUL (3 PF),"[1626162, 1642852]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,2534.0,3.0,0.0,Queen,1642852.0,,,,,
320,PT00M26.20S,2026-02-01T01:35:06.4Z,2,REGULAR,substitution,out,[],1626162,,,1610612740,67,52,2026-02-01T01:35:09Z,3180000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT00M26.20S,2026-02-01T01:35:06.4Z,2,REGULAR,substitution,in,[],1630570,,,1610612740,67,52,2026-02-01T01:35:09Z,3190000,False,,,0,,SUB in: T. Watford,[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT00M20.50S,2026-02-01T01:35:24.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630530,95.0886990801577,48.77450980392157,1610612740,67,54,2026-02-01T01:35:28Z,3200000,False,-6.0,-6.0,1,right,T. Murphy III alley-oop DUNK (9 PTS) (D. Queen 2 AST),"[1630530, 1642852]",1610612740.0,NOP,alley-oop,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,0.88,Made,9.0,D. Queen,1642852.0,2.0,,,,,,,,,,,,,,
324,PT00M00.30S,2026-02-01T01:35:45.8Z,2,REGULAR,2pt,Jump Shot,[],203954,24.52365308804205,63.23529411764706,1610612755,67,54,2026-02-01T01:35:53Z,3220000,False,-66.0,178.0,1,left,MISS J. Embiid 18' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left Center,18.99,Missed,,,,,,,,,,,,,,,,,,
325,PT00M00.10S,2026-02-01T01:35:46.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,67,54,2026-02-01T01:35:53Z,3230000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,324.0,,,,,,,,,,,,,
326,PT00M00.00S,2026-02-01T01:35:54.5Z,2,REGULAR,period,end,[],0,,,1610612755,67,54,2026-02-01T01:35:54Z,3240000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT12M00.00S,2026-02-01T01:37:50.1Z,3,REGULAR,substitution,out,['startperiod'],1630570,,,1610612755,67,54,2026-02-01T01:51:44Z,3260000,False,,,0,,SUB out: T. Watford,[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2026-02-01T01:37:50.1Z,3,REGULAR,substitution,in,['startperiod'],1626162,,,1610612755,67,54,2026-02-01T01:51:44Z,3270000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2026-02-01T01:37:50.1Z,3,REGULAR,substitution,in,['startperiod'],1631230,,,1610612755,67,54,2026-02-01T01:51:44Z,3280000,False,,,0,,SUB in: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT12M00.00S,2026-02-01T01:37:50.1Z,3,REGULAR,substitution,out,['startperiod'],1641737,,,1610612755,67,54,2026-02-01T01:54:04Z,3285000,False,,,0,,SUB out: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2026-02-01T01:51:52.1Z,3,REGULAR,period,start,[],0,,,1610612740,67,54,2026-02-01T01:51:52Z,3290000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT11M45.00S,2026-02-01T01:52:11.8Z,3,REGULAR,3pt,Jump Shot,[],1630530,33.590670170827856,72.54901960784314,1610612740,67,54,2026-02-01T01:52:43Z,3300000,False,-113.0,263.0,1,left,MISS T. Murphy III 28' pullup 3PT,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,28.64,Missed,,,,,,,,,,,,,,,,,,
334,PT11M42.00S,2026-02-01T01:52:14.8Z,3,REGULAR,rebound,offensive,[],1629627,,,1610612740,67,54,2026-02-01T01:52:43Z,3310000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,,,,,333.0,3.0,2.0,1.0,,,,,,,,,,
335,PT11M41.00S,2026-02-01T01:52:14.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,10.33180026281209,55.392156862745104,1610612740,67,54,2026-02-01T01:53:23Z,3320000,False,-27.0,45.0,1,left,MISS Z. Williamson putback Layup - blocked,"[1629627, 203954]",1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,,,,,,,,,,Embiid,203954.0,,,
