actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2026-02-27T00:11:06.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-27T00:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-02-27T00:11:13.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2026-02-27T00:11:13Z,40000,False,,,0,,Jump Ball D. Barlow vs. B. Adebayo: Tip to Team (PHI),"[1631230, 1628389]",1610612755.0,PHI,startperiod,Team (PHI),Barlow,1631230.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2026-02-27T00:11:29.6Z,1,REGULAR,2pt,Jump Shot,[],1630178,22.026938239159,60.049019607843135,1610612755,0,0,2026-02-27T00:11:33Z,80000,False,-50.0,155.0,1,left,MISS T. Maxey 16' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Center,16.25,Missed,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2026-02-27T00:11:32.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2026-02-27T00:11:33Z,90000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Center,,,Adebayo,B. Adebayo,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M39.00S,2026-02-27T00:11:37.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628389,77.4802890932983,33.57843137254902,1610612748,0,0,2026-02-27T00:11:53Z,100000,False,-82.0,159.0,1,right,MISS B. Adebayo 17' running pullup Shot,[1628389],1610612748.0,MIA,running pullup,,,,,,Mid-Range,16-24 Left Center,17.91,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2026-02-27T00:11:40.8Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,0,0,2026-02-27T00:11:42Z,110000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,,Barlow,D. Barlow,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M28.00S,2026-02-27T00:11:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.206964520367937,47.794117647058826,1610612755,2,0,2026-02-27T00:11:55Z,120000,False,11.0,-4.0,1,left,J. Embiid Layup (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,1.16,Made,Embiid,J. Embiid,,,,,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,
14,PT11M12.00S,2026-02-27T00:12:08.4Z,1,REGULAR,foul,personal,[],1630178,,,1610612748,2,0,2026-02-27T00:12:14Z,140000,False,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 203952]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,Maxey,T. Maxey,,,,,,,,,101284.0,1.0,0.0,Wiggins,203952.0,,,,,,
16,PT11M02.00S,2026-02-27T00:12:30.3Z,1,REGULAR,3pt,Jump Shot,[],1626181,69.85873850197109,75.73529411764706,1610612748,2,0,2026-02-27T00:12:34Z,160000,False,129.0,231.0,1,right,MISS N. Powell 26' pullup 3PT,[1626181],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Right Center,26.43,Missed,Powell,N. Powell,,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2026-02-27T00:12:32.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,2,0,2026-02-27T00:12:34Z,170000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,Oubre Jr.,K. Oubre Jr.,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
