actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-24T19:10:27.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-24T19:10:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-24T19:10:30.3Z,1,REGULAR,jumpball,recovered,[],1631204,,,1610612765,0,0,2024-03-24T19:10:30Z,40000,False,,,0,,Jump Ball J. Wiseman vs. J. Valanciunas: Tip to M. Sasser,"[1631204, 1630164, 202685]",1610612765.0,DET,startperiod,M. Sasser,1631204.0,Sasser,M. Sasser,Wiseman,1630164.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-03-24T19:10:55.6Z,1,REGULAR,2pt,Jump Shot,[],1630164,92.55913272010513,67.15686274509804,1610612765,0,0,2024-03-24T19:11:02Z,70000,False,86.0,17.0,1,right,MISS J. Wiseman 8' turnaround Shot - blocked,"[1630164, 202685]",1610612765.0,DET,turnaround,,,Wiseman,J. Wiseman,,,,,Mid-Range,8-16 Right,8.75,Missed,Valanciunas,202685.0,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-03-24T19:10:55.6Z,1,REGULAR,block,,[],202685,,,1610612765,0,0,2024-03-24T19:10:58Z,80000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-03-24T19:10:55.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,0,2024-03-24T19:11:02Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,8-16 Right,,,,,7.0,,,,,,,,,,,,,,,
10,PT11M34.00S,2024-03-24T19:11:03.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612765,0,0,2024-03-24T19:11:09Z,100000,False,,,0,,DET shot clock Team TURNOVER,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,,,,204059.0,,,,,,,,,,,,,,
11,PT11M25.00S,2024-03-24T19:11:17.3Z,1,REGULAR,turnover,out-of-bounds,[],1629627,,,1610612740,0,0,2024-03-24T19:11:24Z,110000,False,,,0,,Z. Williamson lost ball out-of-bounds TURNOVER (1 TO),[1629627],1610612740.0,NOP,lost ball,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,204059.0,1.0,,,,,,,,,,,,,
12,PT11M14.00S,2024-03-24T19:11:30.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628972,72.84822601839684,42.15686274509803,1610612765,0,0,2024-03-24T19:11:35Z,120000,False,-39.0,203.0,1,right,MISS T. Brown Jr. 20' pullup Shot - blocked,"[1628972, 1630530]",1610612765.0,DET,pullup,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Center,20.65,Missed,Murphy III,1630530.0,,,,,,,,,,,,,,,,
19,PT11M14.00S,2024-03-24T19:11:30.9Z,1,REGULAR,block,,[],1630530,,,1610612765,0,0,2024-03-24T19:12:24Z,125000,False,,,0,,T. Murphy III BLOCK (1 BLK),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2024-03-24T19:11:33.9Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2024-03-24T19:11:35Z,130000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,16-24 Center,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,,,
