actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-28T23:14:19.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T23:14:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2023-10-28T23:14:27.3Z,1,REGULAR,jumpball,recovered,[],1641709,,,1610612765,0,0,2023-10-28T23:14:27Z,40000,False,,,0,,Jump Ball J. Duren vs. N. Vucevic: Tip to A. Thompson,"[1641709, 1631105, 202696]",1610612765.0,DET,startperiod,A. Thompson,1641709.0,Thompson,A. Thompson,Duren,1631105.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-10-28T23:14:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,94.53022339027595,44.607843137254896,1610612765,0,0,2023-10-28T23:14:53Z,70000,False,-27.0,-1.0,1,right,MISS J. Duren cutting Layup,[1631105],1610612765.0,DET,cutting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-10-28T23:14:42.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2023-10-28T23:14:42Z,80000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-10-28T23:14:47.3Z,1,REGULAR,2pt,Jump Shot,[],203897,15.55519053876479,77.94117647058823,1610612741,0,2,2023-10-28T23:15:16Z,90000,False,-140.0,94.0,1,left,Z. LaVine 16' pullup Jump Shot (2 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left,16.82,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M05.00S,2023-10-28T23:15:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,93.08475689881735,53.18627450980392,1610612765,0,2,2023-10-28T23:15:53Z,100000,False,16.0,13.0,1,right,MISS I. Stewart driving Layup,[1630191],1610612765.0,DET,driving,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2023-10-28T23:15:14.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,0,2,2023-10-28T23:15:21Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,10.0,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2023-10-28T23:15:35.5Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,0,2,2023-10-28T23:15:42Z,130000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1630165]",1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Hayes,1630165.0,,,,,,,,,,
14,PT10M52.00S,2023-10-28T23:15:35.5Z,1,REGULAR,steal,,[],1630165,,,1610612765,0,2,2023-10-28T23:15:50Z,140000,False,,,0,,K. Hayes STEAL (1 STL),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2023-10-28T23:15:46.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631105,93.47897503285151,51.96078431372549,1610612765,2,2,2023-10-28T23:16:49Z,150000,False,10.0,9.0,1,right,J. Duren running DUNK (2 PTS) (A. Thompson 1 AST),"[1631105, 1641709]",1610612765.0,DET,running,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.32,Made,,,,,2.0,,,,A. Thompson,1641709.0,1.0,,,,,,,
17,PT10M25.00S,2023-10-28T23:16:01.7Z,1,REGULAR,2pt,Jump Shot,[],1630172,22.38830486202366,65.19607843137254,1610612741,2,2,2023-10-28T23:17:13Z,170000,False,-76.0,158.0,1,left,MISS P. Williams 17' step back Shot,[1630172],1610612741.0,CHI,step back,,,Williams,P. Williams,,,,,Mid-Range,16-24 Left Center,17.53,Missed,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2023-10-28T23:16:04.7Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,2,2023-10-28T23:17:13Z,180000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M19.00S,2023-10-28T23:16:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,91.90210249671485,53.92156862745098,1610612765,4,2,2023-10-28T23:16:18Z,190000,False,20.0,24.0,1,right,C. Cunningham driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.07,Made,,,,,2.0,,,,,,,,,,,,,
