actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
434,PT02M25.00S,2023-12-07T01:35:16.0Z,3,REGULAR,substitution,in,[],202692,,,1610612765,76,78,2023-12-07T01:35:30Z,4210000,False,,,0,,SUB in: A. Burks,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
435,PT02M25.00S,2023-12-07T01:35:16.0Z,3,REGULAR,substitution,in,[],1630165,,,1610612765,76,78,2023-12-07T01:35:30Z,4220000,False,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT02M25.00S,2023-12-07T01:35:16.0Z,3,REGULAR,substitution,in,[],1628991,,,1610612765,76,78,2023-12-07T01:35:30Z,4230000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT02M25.00S,2023-12-07T01:35:45.9Z,3,REGULAR,freethrow,2 of 2,[],1630191,,,1610612765,77,78,2023-12-07T01:35:45Z,4240000,False,,,0,,I. Stewart Free Throw 2 of 2 (4 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
438,PT02M13.00S,2023-12-07T01:35:59.2Z,3,REGULAR,2pt,Jump Shot,[],1630217,10.068988173455978,68.87254901960785,1610612763,77,80,2023-12-07T01:38:18Z,4250000,False,-94.0,42.0,1,left,D. Bane 10' pullup Jump Shot (36 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,10.34,Made,,,,,,,36.0,,,,,,,,,,,
439,PT01M50.00S,2023-12-07T01:36:21.9Z,3,REGULAR,3pt,Jump Shot,[],202692,87.46714848883047,96.32352941176471,1610612765,77,80,2023-12-07T01:36:28Z,4260000,False,232.0,65.0,1,right,MISS A. Burks 24' 3PT,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Right Corner 3,24+ Right,24.06,Missed,,,,,,,,,,,,,,,,,,
440,PT01M45.00S,2023-12-07T01:36:26.4Z,3,REGULAR,rebound,offensive,[],1630191,,,1610612765,77,80,2023-12-07T01:36:26Z,4270000,False,,,0,,I. Stewart REBOUND (Off:1 Def:5),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Right Corner 3,24+ Right,,,439.0,6.0,5.0,1.0,,,,,,,,,,,,,,
441,PT01M45.00S,2023-12-07T01:36:26.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630191,94.40999984741211,50.0,1610612765,79,80,2023-12-07T01:36:26Z,4280000,False,0.0,0.0,1,right,I. Stewart tip Layup (6 PTS),[1630191],1610612765.0,DET,tip,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,6.0,,,,,,,,,,,
442,PT01M34.00S,2023-12-07T01:36:37.6Z,3,REGULAR,3pt,Jump Shot,[],1630217,34.773324572930356,21.323529411764707,1610612763,79,80,2023-12-07T01:38:56Z,4290000,False,143.0,274.0,1,left,MISS D. Bane 30' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,30.96,Missed,,,,,,,,,,,,,,,,,,
443,PT01M33.00S,2023-12-07T01:36:38.6Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612763,79,80,2023-12-07T01:36:45Z,4300000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Right Center,,,442.0,,,,,,,,,,,,,,,,,
