actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
495,PT09M34.00S,2023-12-07T01:46:54.4Z,4,REGULAR,2pt,Jump Shot,[],1629669,19.136005256241788,27.205882352941174,1610612763,84,90,2023-12-07T01:46:59Z,4800000,False,114.0,127.0,1,left,J. Nowell 17' pullup Jump Shot (12 PTS),[1629669],1610612763.0,MEM,pullup,,,Nowell,J. Nowell,,,,,Mid-Range,16-24 Right Center,17.1,Made,,,,,,,12.0,,,,,,,,,,,
496,PT09M20.00S,2023-12-07T01:47:12.5Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,84,90,2023-12-07T01:47:12Z,4810000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,PT09M20.00S,2023-12-07T01:49:01.9Z,4,REGULAR,substitution,out,[],1630165,,,1610612765,84,90,2023-12-07T01:49:54Z,4820000,False,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
501,PT09M20.00S,2023-12-07T01:49:01.9Z,4,REGULAR,substitution,out,[],1630164,,,1610612765,84,90,2023-12-07T01:49:54Z,4830000,False,,,0,,SUB out: J. Wiseman,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
502,PT09M20.00S,2023-12-07T01:49:01.9Z,4,REGULAR,substitution,in,[],1631105,,,1610612765,84,90,2023-12-07T01:49:54Z,4840000,False,,,0,,SUB in: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
503,PT09M20.00S,2023-12-07T01:49:01.9Z,4,REGULAR,substitution,in,[],1630595,,,1610612765,84,90,2023-12-07T01:49:54Z,4850000,False,,,0,,SUB in: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
505,PT09M07.00S,2023-12-07T01:50:19.4Z,4,REGULAR,3pt,Jump Shot,[],1641709,94.56307490144546,3.1862745098039214,1610612765,84,90,2023-12-07T01:58:26Z,4860000,False,-234.0,-1.0,1,right,MISS A. Thompson pullup 3PT,[1641709],1610612765.0,DET,pullup,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
506,PT09M06.00S,2023-12-07T01:50:20.4Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612763,84,90,2023-12-07T01:50:57Z,4870000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Left Corner 3,24+ Left,,,505.0,,,,,,,,,,,,,,,,,
509,PT08M45.00S,2023-12-07T01:50:49.2Z,4,REGULAR,3pt,Jump Shot,[],1631246,30.962549277266753,41.42156862745098,1610612763,84,90,2023-12-07T01:50:59Z,4890000,False,43.0,239.0,1,left,MISS V. Williams Jr. 24' 3PT,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Center,24.23,Missed,,,,,,,,,,,,,,,,,,
510,PT08M43.00S,2023-12-07T01:50:51.2Z,4,REGULAR,rebound,defensive,[],1631105,,,1610612765,84,90,2023-12-07T01:50:59Z,4900000,False,,,0,,J. Duren REBOUND (Off:0 Def:8),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,509.0,8.0,8.0,0.0,,,,,,,,,,,,,,
511,PT08M33.00S,2023-12-07T01:51:02.4Z,4,REGULAR,turnover,bad pass,[],1631105,,,1610612765,84,90,2023-12-07T01:51:06Z,4910000,False,,,0,,J. Duren bad pass TURNOVER (2 TO),"[1631105, 1631246]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,,,,,,,Williams Jr.,1631246.0,,,,
512,PT08M33.00S,2023-12-07T01:51:02.4Z,4,REGULAR,steal,,[],1631246,,,1610612763,84,90,2023-12-07T01:59:24Z,4920000,False,,,0,,V. Williams Jr. STEAL (1 STL),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
514,PT08M19.00S,2023-12-07T01:51:15.8Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,34.11629434954008,41.911764705882355,1610612763,84,90,2023-12-07T01:51:23Z,4930000,False,40.0,268.0,1,left,MISS S. Aldama 27' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Center,27.12,Missed,,,,,,,,,,,,,,,,,,
515,PT08M17.00S,2023-12-07T01:51:17.8Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612765,84,90,2023-12-07T01:51:23Z,4940000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Center,,,514.0,,,,,,,,,,,,,,,,,
517,PT08M17.00S,2023-12-07T01:51:22.5Z,4,REGULAR,substitution,out,[],202692,,,1610612765,84,90,2023-12-07T01:51:28Z,4960000,False,,,0,,SUB out: A. Burks,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
518,PT08M17.00S,2023-12-07T01:51:22.5Z,4,REGULAR,substitution,in,[],202711,,,1610612765,84,90,2023-12-07T01:51:28Z,4970000,False,,,0,,SUB in: B. Bogdanovic,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
519,PT08M01.00S,2023-12-07T01:51:48.0Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631105,93.51182654402102,52.20588235294118,1610612765,86,90,2023-12-07T02:00:00Z,4980000,False,11.0,8.0,1,right,J. Duren floating Jump Shot (17 PTS) (C. Cunningham 7 AST),"[1631105, 1630595]",1610612765.0,DET,floating,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,17.0,,,C. Cunningham,1630595.0,7.0,,,,,,
522,PT07M50.00S,2023-12-07T01:51:59.2Z,4,REGULAR,3pt,Jump Shot,[],1628991,36.927151773981606,33.674172794117645,1610612763,86,93,2023-12-07T02:00:31Z,5000000,False,82.0,295.0,1,left,J. Jackson Jr. 30' 3PT pullup (24 PTS) (J. Nowell 4 AST),"[1628991, 1629669]",1610612763.0,MEM,pullup,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,30.57,Made,,,,,,,24.0,,,J. Nowell,1629669.0,4.0,,,,,,
524,PT07M35.00S,2023-12-07T01:52:14.5Z,4,REGULAR,3pt,Jump Shot,[],1641709,92.59198423127464,96.32352941176471,1610612765,86,93,2023-12-07T01:52:20Z,5020000,False,232.0,17.0,1,right,MISS A. Thompson 3PT,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,23.22,Missed,,,,,,,,,,,,,,,,,,
525,PT07M32.00S,2023-12-07T01:52:17.5Z,4,REGULAR,rebound,offensive,[],1631105,,,1610612765,86,93,2023-12-07T01:52:20Z,5030000,False,,,0,,J. Duren REBOUND (Off:1 Def:8),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Right Corner 3,24+ Right,,,524.0,9.0,8.0,1.0,,,,,,,,,,,,,,
526,PT07M26.00S,2023-12-07T01:52:23.6Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,76.03482260183968,88.23529411764706,1610612765,86,93,2023-12-07T01:52:27Z,5040000,False,191.0,173.0,1,right,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,,,,,,,,,,,,,,,,,
527,PT07M24.00S,2023-12-07T01:52:25.4Z,4,REGULAR,rebound,defensive,[],1629669,,,1610612763,86,93,2023-12-07T01:52:25Z,5050000,False,,,0,,J. Nowell REBOUND (Off:0 Def:2),[1629669],1610612763.0,MEM,,,,Nowell,J. Nowell,,,,,Above the Break 3,24+ Right Center,,,526.0,2.0,2.0,0.0,,,,,,,,,,,,,,
528,PT07M17.00S,2023-12-07T01:52:32.2Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,7.5722733245729295,53.431372549019606,1610612763,86,93,2023-12-07T02:01:23Z,5060000,False,-17.0,19.0,1,left,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 1631093]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.54,Missed,,,,,,,,Ivey,1631093.0,,,,,,,,,
529,PT07M17.00S,2023-12-07T01:52:32.2Z,4,REGULAR,block,,[],1631093,,,1610612763,86,93,2023-12-07T01:52:58Z,5070000,False,,,0,,J. Ivey BLOCK (2 BLK),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
530,PT07M12.00S,2023-12-07T01:52:37.2Z,4,REGULAR,rebound,defensive,[],1630595,,,1610612765,86,93,2023-12-07T01:52:38Z,5080000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:4),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,528.0,4.0,4.0,0.0,,,,,,,,,,,,,,
531,PT07M07.00S,2023-12-07T01:52:42.6Z,4,REGULAR,3pt,Jump Shot,[],1630595,87.99277266754271,4.411764705882353,1610612765,86,93,2023-12-07T01:52:49Z,5090000,False,-228.0,60.0,1,right,MISS C. Cunningham 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Left Corner 3,24+ Left,23.58,Missed,,,,,,,,,,,,,,,,,,
532,PT07M05.00S,2023-12-07T01:52:44.6Z,4,REGULAR,rebound,defensive,[],1628991,,,1610612763,86,93,2023-12-07T01:52:49Z,5100000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:4),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Left Corner 3,24+ Left,,,531.0,4.0,4.0,0.0,,,,,,,,,,,,,,
534,PT06M49.00S,2023-12-07T01:53:01.4Z,4,REGULAR,3pt,Jump Shot,[],1630583,9.543363994743759,5.147058823529411,1610612763,86,96,2023-12-07T01:53:06Z,5110000,False,224.0,37.0,1,left,S. Aldama 3PT  (5 PTS) (J. Konchar 2 AST),"[1630583, 1629723]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,22.74,Made,,,,,,,5.0,,,J. Konchar,1629723.0,2.0,,,,,,
536,PT06M34.00S,2023-12-07T01:53:18.0Z,4,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612765,86,96,2023-12-07T01:53:32Z,5130000,False,,,0,,J. Jackson Jr. shooting personal FOUL (3 PF) (Cunningham 2 FT),"[1628991, 1630595]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,1628954.0,,,,,,,,,,3.0,0.0,Cunningham,1630595.0
538,PT06M34.00S,2023-12-07T01:53:44.4Z,4,REGULAR,freethrow,1 of 2,[],1630595,,,1610612765,87,96,2023-12-07T01:53:44Z,5150000,False,,,0,,C. Cunningham Free Throw 1 of 2 (15 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,Made,,,,,,,15.0,,,,,,,,,,,
539,PT06M34.00S,2023-12-07T01:53:45.3Z,4,REGULAR,substitution,out,[],1641709,,,1610612765,87,96,2023-12-07T01:54:00Z,5160000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
540,PT06M34.00S,2023-12-07T01:53:45.3Z,4,REGULAR,substitution,out,[],1631246,,,1610612765,87,96,2023-12-07T01:54:00Z,5170000,False,,,0,,SUB out: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
541,PT06M34.00S,2023-12-07T01:53:45.3Z,4,REGULAR,substitution,out,[],1628991,,,1610612765,87,96,2023-12-07T01:54:00Z,5180000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
542,PT06M34.00S,2023-12-07T01:53:45.3Z,4,REGULAR,substitution,out,[],1629669,,,1610612765,87,96,2023-12-07T01:54:00Z,5190000,False,,,0,,SUB out: J. Nowell,[1629669],1610612763.0,MEM,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
543,PT06M34.00S,2023-12-07T01:53:45.3Z,4,REGULAR,substitution,in,[],1630587,,,1610612765,87,96,2023-12-07T01:54:00Z,5200000,False,,,0,,SUB in: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
544,PT06M34.00S,2023-12-07T01:53:45.3Z,4,REGULAR,substitution,in,[],1630217,,,1610612765,87,96,2023-12-07T01:54:00Z,5210000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
545,PT06M34.00S,2023-12-07T01:53:45.3Z,4,REGULAR,substitution,in,[],202687,,,1610612765,87,96,2023-12-07T01:54:00Z,5220000,False,,,0,,SUB in: B. Biyombo,[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
546,PT06M34.00S,2023-12-07T01:53:45.3Z,4,REGULAR,substitution,in,[],1631223,,,1610612765,87,96,2023-12-07T01:54:00Z,5230000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
547,PT06M34.00S,2023-12-07T01:54:04.4Z,4,REGULAR,freethrow,2 of 2,[],1630595,,,1610612765,88,96,2023-12-07T01:54:04Z,5240000,False,,,0,,C. Cunningham Free Throw 2 of 2 (16 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,Made,,,,,,,16.0,,,,,,,,,,,
548,PT06M23.00S,2023-12-07T01:54:16.6Z,4,REGULAR,3pt,Jump Shot,[],1630217,28.597240473061763,74.26470588235294,1610612763,88,96,2023-12-07T02:03:18Z,5250000,False,-121.0,216.0,1,left,MISS D. Bane 24' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,24.8,Missed,,,,,,,,,,,,,,,,,,
549,PT06M20.00S,2023-12-07T01:54:19.8Z,4,REGULAR,rebound,offensive,[],202687,,,1610612763,88,96,2023-12-07T01:54:19Z,5260000,False,,,0,,B. Biyombo REBOUND (Off:1 Def:9),[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Left Center,,,548.0,10.0,9.0,1.0,,,,,,,,,,,,,,
550,PT06M18.00S,2023-12-07T01:54:21.2Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630583,20.318659658344284,9.558823529411764,1610612763,88,96,2023-12-07T01:54:26Z,5270000,False,202.0,138.0,1,left,MISS S. Aldama 24' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,24.51,Missed,,,,,,,,,,,,,,,,,,
551,PT06M16.00S,2023-12-07T01:54:23.6Z,4,REGULAR,rebound,offensive,[],202687,,,1610612763,88,96,2023-12-07T01:54:23Z,5280000,False,,,0,,B. Biyombo REBOUND (Off:2 Def:9),[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Right Center,,,550.0,11.0,9.0,2.0,,,,,,,,,,,,,,
552,PT06M12.00S,2023-12-07T01:54:27.5Z,4,REGULAR,turnover,bad pass,[],1630217,,,1610612763,88,96,2023-12-07T01:54:33Z,5290000,False,,,0,,D. Bane bad pass TURNOVER (3 TO),"[1630217, 1631093]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,3.0,,,,,,,Ivey,1631093.0,,,,
553,PT06M12.00S,2023-12-07T01:54:27.5Z,4,REGULAR,steal,,[],1631093,,,1610612765,88,96,2023-12-07T02:04:59Z,5300000,False,,,0,,J. Ivey STEAL (3 STL),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
554,PT05M59.00S,2023-12-07T01:54:40.4Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1631093,94.03745072273325,97.05882352941177,1610612765,88,96,2023-12-07T01:54:44Z,5310000,False,235.0,4.0,1,right,MISS J. Ivey 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,23.53,Missed,,,,,,,,,,,,,,,,,,
555,PT05M56.00S,2023-12-07T01:54:43.4Z,4,REGULAR,rebound,defensive,[],1630217,,,1610612763,88,96,2023-12-07T01:54:44Z,5320000,False,,,0,,D. Bane REBOUND (Off:1 Def:4),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Right Corner 3,24+ Right,,,554.0,5.0,4.0,1.0,,,,,,,,,,,,,,
556,PT05M43.00S,2023-12-07T01:54:57.4Z,4,REGULAR,3pt,Jump Shot,[],1631223,4.812746386333772,96.32352941176471,1610612763,88,99,2023-12-07T01:55:11Z,5330000,False,-232.0,-7.0,1,left,D. Roddy 3PT  (4 PTS) (B. Biyombo 4 AST),"[1631223, 202687]",1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Left Corner 3,24+ Left,23.17,Made,,,,,,,4.0,,,B. Biyombo,202687.0,4.0,,,,,,
558,PT05M32.00S,2023-12-07T01:55:07.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,91.14651773981603,50.0,1610612765,88,99,2023-12-07T02:06:30Z,5350000,False,0.0,31.0,1,right,MISS J. Ivey driving Layup - blocked,"[1631093, 1630583]",1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,Aldama,1630583.0,,,,,,,,,
559,PT05M32.00S,2023-12-07T01:55:07.6Z,4,REGULAR,block,,[],1630583,,,1610612765,88,99,2023-12-07T01:55:10Z,5360000,False,,,0,,S. Aldama BLOCK (1 BLK),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
560,PT05M32.00S,2023-12-07T01:55:07.6Z,4,REGULAR,rebound,defensive,[],1629723,,,1610612763,88,99,2023-12-07T02:11:45Z,5370000,False,,,0,,J. Konchar REBOUND (Off:1 Def:5),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,558.0,6.0,5.0,1.0,,,,,,,,,,,,,,
561,PT05M15.00S,2023-12-07T01:55:25.7Z,4,REGULAR,foul,personal,['2freethrow'],1630587,,,1610612763,88,99,2023-12-07T01:55:36Z,5380000,False,,,0,,I. Livers shooting personal FOUL (2 PF) (Bane 2 FT),"[1630587, 1630217]",1610612765.0,DET,shooting,,,Livers,I. Livers,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1626301.0,,,,,,,,,,2.0,0.0,Bane,1630217.0
563,PT05M15.00S,2023-12-07T01:55:54.9Z,4,REGULAR,freethrow,1 of 2,[],1630217,,,1610612763,88,100,2023-12-07T01:55:54Z,5400000,False,,,0,,D. Bane Free Throw 1 of 2 (37 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Made,,,,,,,37.0,,,,,,,,,,,
564,PT05M15.00S,2023-12-07T01:55:55.7Z,4,REGULAR,substitution,out,[],1631093,,,1610612763,88,100,2023-12-07T01:56:08Z,5410000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
565,PT05M15.00S,2023-12-07T01:55:55.7Z,4,REGULAR,substitution,in,[],1630191,,,1610612763,88,100,2023-12-07T01:56:08Z,5420000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
566,PT05M15.00S,2023-12-07T01:56:21.1Z,4,REGULAR,freethrow,2 of 2,[],1630217,,,1610612763,88,101,2023-12-07T01:56:21Z,5430000,False,,,0,,D. Bane Free Throw 2 of 2 (38 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Made,,,,,,,38.0,,,,,,,,,,,
567,PT05M04.00S,2023-12-07T01:56:30.1Z,4,REGULAR,3pt,Jump Shot,[],202711,86.5473061760841,4.166666666666666,1610612765,88,101,2023-12-07T01:56:35Z,5440000,False,-229.0,74.0,1,right,MISS B. Bogdanovic 24' 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,24.08,Missed,,,,,,,,,,,,,,,,,,
568,PT05M01.00S,2023-12-07T01:56:33.4Z,4,REGULAR,rebound,offensive,[],1630191,,,1610612765,88,101,2023-12-07T01:56:33Z,5450000,False,,,0,,I. Stewart REBOUND (Off:2 Def:5),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,,,567.0,7.0,5.0,2.0,,,,,,,,,,,,,,
569,PT04M53.00S,2023-12-07T01:56:40.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630587,94.03745072273325,53.18627450980392,1610612765,90,101,2023-12-07T01:56:46Z,5460000,False,16.0,4.0,1,right,I. Livers driving Layup (2 PTS),[1630587],1610612765.0,DET,driving,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,,,2.0,,,,,,,,,,,
570,PT04M33.00S,2023-12-07T01:57:01.3Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,13.485545335085414,48.77450980392157,1610612763,90,103,2023-12-07T01:57:06Z,5470000,False,6.0,74.0,1,left,S. Aldama 7' floating Jump Shot (7 PTS) (D. Bane 8 AST),"[1630583, 1630217]",1610612763.0,MEM,floating,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,7.45,Made,,,,,,,7.0,,,D. Bane,1630217.0,8.0,,,,,,
571,PT04M20.00S,2023-12-07T01:57:12.7Z,4,REGULAR,3pt,Jump Shot,[],1630191,75.50919842312747,86.02941176470588,1610612765,93,103,2023-12-07T01:57:17Z,5480000,False,180.0,178.0,1,right,I. Stewart 25' 3PT  (9 PTS) (C. Cunningham 8 AST),"[1630191, 1630595]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,25.3,Made,,,,,,,9.0,,,C. Cunningham,1630595.0,8.0,,,,,,
573,PT03M57.00S,2023-12-07T01:57:35.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,10.200394218134035,51.9607843137255,1610612763,93,103,2023-12-07T01:57:40Z,5500000,False,-10.0,43.0,1,left,MISS D. Bane driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,4.45,Missed,,,,,,,,,,,,,,,,,,
574,PT03M54.00S,2023-12-07T01:57:38.9Z,4,REGULAR,rebound,defensive,[],1631105,,,1610612765,93,103,2023-12-07T01:57:38Z,5510000,False,,,0,,J. Duren REBOUND (Off:1 Def:9),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,573.0,10.0,9.0,1.0,,,,,,,,,,,,,,
575,PT03M46.00S,2023-12-07T01:57:47.7Z,4,REGULAR,turnover,lost ball,[],1630595,,,1610612765,93,103,2023-12-07T01:57:52Z,5520000,False,,,0,,C. Cunningham lost ball TURNOVER (4 TO),"[1630595, 1629723]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,,,,,,,,4.0,,,,,,,Konchar,1629723.0,,,,
576,PT03M46.00S,2023-12-07T01:57:47.7Z,4,REGULAR,steal,,[],1629723,,,1610612763,93,103,2023-12-07T01:57:50Z,5530000,False,,,0,,J. Konchar STEAL (2 STL),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
577,PT03M40.00S,2023-12-07T01:57:53.9Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202687,7.178055190538765,51.71568627450981,1610612763,93,105,2023-12-07T02:10:43Z,5540000,False,-9.0,15.0,1,left,B. Biyombo running DUNK (2 PTS) (S. Aldama 3 AST),"[202687, 1630583]",1610612763.0,MEM,running,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,,,2.0,,,S. Aldama,1630583.0,3.0,,,,,,
579,PT03M40.00S,2023-12-07T01:57:58.5Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,93,105,2023-12-07T01:57:58Z,5560000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,PT03M40.00S,2023-12-07T02:00:40.0Z,4,REGULAR,substitution,out,[],1630587,,,1610612765,93,105,2023-12-07T02:00:57Z,5570000,False,,,0,,SUB out: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
581,PT03M40.00S,2023-12-07T02:00:40.0Z,4,REGULAR,substitution,in,[],1630165,,,1610612765,93,105,2023-12-07T02:00:57Z,5580000,False,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
582,PT03M21.00S,2023-12-07T02:01:09.7Z,4,REGULAR,3pt,Jump Shot,[],202711,71.96123521681997,77.69607843137256,1610612765,96,105,2023-12-07T02:01:14Z,5590000,False,138.0,211.0,1,right,B. Bogdanovic 25' 3PT  (19 PTS) (K. Hayes 4 AST),"[202711, 1630165]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,25.25,Made,,,,,,,19.0,,,K. Hayes,1630165.0,4.0,,,,,,
584,PT03M00.00S,2023-12-07T02:01:31.1Z,4,REGULAR,2pt,Jump Shot,[],1630217,20.18725361366623,25.245098039215684,1610612763,96,107,2023-12-07T02:12:59Z,5610000,False,124.0,137.0,1,left,D. Bane 18' pullup Jump Shot (40 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,18.49,Made,,,,,,,40.0,,,,,,,,,,,
