actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-03T00:13:24.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-03T00:13:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-03T00:13:27.0Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2024-02-03T00:13:27Z,40000,False,,,0,,Jump Ball M. Plumlee vs. J. Duren: Tip to J. Harden,"[201935, 203486, 1631105]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Plumlee,203486.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-02-03T00:13:41.5Z,1,REGULAR,2pt,Jump Shot,[],202331,88.12417871222075,20.588235294117645,1610612746,0,2,2024-02-03T00:13:47Z,70000,False,-147.0,59.0,1,right,P. George 15' pullup Jump Shot (2 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,8-16 Left,15.85,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2024-02-03T00:14:03.2Z,1,REGULAR,2pt,Jump Shot,[],202711,6.915243101182654,22.794117647058822,1610612765,2,2,2024-02-03T00:14:23Z,80000,False,136.0,13.0,1,left,B. Bogdanovic 13' step back Jump Shot (2 PTS),[202711],1610612765.0,DET,step back,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,13.66,Made,2.0,,,,,,,,,,,,,,,,,
9,PT10M58.00S,2024-02-03T00:14:26.0Z,1,REGULAR,2pt,Jump Shot,[],202331,79.45137976346912,61.76470588235294,1610612746,2,2,2024-02-03T00:14:29Z,90000,False,59.0,141.0,1,right,MISS P. George 15' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,8-16 Center,15.25,Missed,,,,,,,,,,,,,,,,,,
10,PT10M55.00S,2024-02-03T00:14:28.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,2,2024-02-03T00:14:28Z,100000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M47.00S,2024-02-03T00:14:37.0Z,1,REGULAR,2pt,Jump Shot,[],1630595,21.632720105124836,48.529411764705884,1610612765,4,2,2024-02-03T00:14:42Z,110000,False,7.0,151.0,1,left,C. Cunningham 15' pullup Jump Shot (2 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Center,15.1,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M29.00S,2024-02-03T00:14:56.8Z,1,REGULAR,foul,personal,['2freethrow'],1628995,,,1610612746,4,2,2024-02-03T00:15:12Z,120000,False,,,0,,K. Knox II shooting personal FOUL (1 PF) (Leonard 2 FT),"[1628995, 202695]",1610612765.0,DET,shooting,,,Knox II,K. Knox II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,200833.0,1.0,0.0,Leonard,202695.0,,,,,,,,
14,PT10M29.00S,2024-02-03T00:15:22.3Z,1,REGULAR,freethrow,1 of 2,[],202695,,,1610612746,4,3,2024-02-03T00:15:22Z,140000,False,,,0,,K. Leonard Free Throw 1 of 2 (1 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2024-02-03T00:15:39.8Z,1,REGULAR,freethrow,2 of 2,[],202695,,,1610612746,4,4,2024-02-03T00:15:39Z,150000,False,,,0,,K. Leonard Free Throw 2 of 2 (2 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
