actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-05T20:11:08.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-05T20:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-05T20:11:11.0Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2023-11-05T20:11:11Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Nurkic: Tip to C. Cunningham,"[1630595, 1631105, 203994]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-11-05T20:11:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,9.510512483574246,48.0392156862745,1610612765,2,0,2023-11-05T20:11:25Z,70000,False,10.0,37.0,1,left,C. Cunningham driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.82,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2023-11-05T20:11:42.8Z,1,REGULAR,2pt,Jump Shot,[],201142,76.13337713534823,69.6078431372549,1610612756,2,0,2023-11-05T20:11:48Z,80000,False,98.0,172.0,1,right,MISS K. Durant 19' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,19.78,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2023-11-05T20:11:44.8Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,2,0,2023-11-05T20:11:48Z,90000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M18.00S,2023-11-05T20:11:49.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,27.513140604467807,80.63725490196079,1610612765,2,0,2023-11-05T20:12:14Z,100000,False,-153.0,206.0,1,left,MISS C. Cunningham 25' running pullup 3PT,[1630595],1610612765.0,DET,running pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2023-11-05T20:11:53.2Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,2,0,2023-11-05T20:12:14Z,110000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M10.00S,2023-11-05T20:11:57.5Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,2,0,2023-11-05T20:12:04Z,120000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 203994]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Nurkic,203994.0,,,,,,,,,,
13,PT11M10.00S,2023-11-05T20:11:57.5Z,1,REGULAR,steal,,[],203994,,,1610612756,2,0,2023-11-05T20:11:59Z,130000,False,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2023-11-05T20:12:05.9Z,1,REGULAR,foul,personal,[],1630165,,,1610612756,2,0,2023-11-05T20:12:16Z,140000,False,,,0,,K. Hayes personal FOUL (1 PF),"[1630165, 201569]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1626301.0,1.0,0.0,Gordon,201569.0,,,,,
