actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-21T00:11:32.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-21T00:11:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-21T00:11:35.8Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2023-11-21T00:11:35Z,40000,False,,,0,,Jump Ball M. Bagley III vs. N. Jokic: Tip to C. Cunningham,"[1630595, 1628963, 203999]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Bagley III,1628963.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-11-21T00:11:51.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631093,11.744415243101187,52.205882352941174,1610612765,2,0,2023-11-21T00:11:57Z,70000,False,-11.0,58.0,1,left,J. Ivey driving floating Jump Shot (2 PTS) (C. Cunningham 1 AST),"[1631093, 1630595]",1610612765.0,DET,driving floating,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,5.89,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
9,PT11M13.00S,2023-11-21T00:12:18.0Z,1,REGULAR,3pt,Jump Shot,[],202704,70.3515111695138,76.7156862745098,1610612743,2,3,2023-11-21T00:12:21Z,90000,False,134.0,226.0,1,right,R. Jackson 26' 3PT  (3 PTS) (N. Jokic 1 AST),"[202704, 203999]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,26.27,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
11,PT10M53.00S,2023-11-21T00:12:38.7Z,1,REGULAR,2pt,Jump Shot,[],1630595,23.570959264126145,69.11764705882354,1610612765,2,3,2023-11-21T00:13:03Z,110000,False,-96.0,169.0,1,left,MISS C. Cunningham 19' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,19.43,Missed,,,,,,,,,,,,,,,,,,
12,PT10M51.00S,2023-11-21T00:12:40.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,2,3,2023-11-21T00:12:43Z,120000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M50.00S,2023-11-21T00:12:43.9Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,2,3,2023-11-21T00:13:05Z,130000,False,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,,,,,,,,,
14,PT10M37.00S,2023-11-21T00:13:05.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641709,5.962549277266746,55.14705882352941,1610612765,4,3,2023-11-21T00:13:09Z,140000,False,-26.0,4.0,1,left,A. Thompson DUNK (2 PTS) (C. Cunningham 2 AST),"[1641709, 1630595]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.59,Made,2.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,,,
16,PT10M23.00S,2023-11-21T00:13:23.7Z,1,REGULAR,foul,personal,[],1630191,,,1610612743,4,3,2023-11-21T00:13:54Z,160000,False,,,0,,I. Stewart personal FOUL (1 PF),"[1630191, 203932]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,200832.0,1.0,0.0,Gordon,203932.0,,,,
18,PT10M09.00S,2023-11-21T00:14:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,91.37647831800263,49.50980392156863,1610612743,4,5,2023-11-21T00:14:04Z,180000,False,-2.0,29.0,1,right,N. Jokic floating Jump Shot (2 PTS),[203999],1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.87,Made,2.0,,,,,,,,,,,,,,,,,
19,PT09M49.00S,2023-11-21T00:14:20.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,9.510512483574246,53.431372549019606,1610612765,6,5,2023-11-21T00:14:26Z,190000,False,-17.0,37.0,1,left,A. Thompson cutting DUNK (4 PTS) (J. Ivey 1 AST),"[1641709, 1631093]",1610612765.0,DET,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,4.07,Made,4.0,J. Ivey,1631093.0,1.0,,,,,,,,,,,,,,
21,PT09M25.00S,2023-11-21T00:14:45.4Z,1,REGULAR,3pt,Jump Shot,[],203999,65.75229960578187,44.11764705882353,1610612743,6,5,2023-11-21T00:14:48Z,210000,False,-29.0,269.0,1,right,MISS N. Jokic 27' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,27.1,Missed,,,,,,,,,,,,,,,,,,
22,PT09M22.00S,2023-11-21T00:14:48.4Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,6,5,2023-11-21T00:14:48Z,220000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M03.00S,2023-11-21T00:15:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,10.82457293035479,45.833333333333336,1610612765,6,5,2023-11-21T00:15:11Z,230000,False,21.0,49.0,1,left,MISS C. Cunningham driving floating Shot,[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,5.35,Missed,,,,,,,,,,,,,,,,,,
24,PT09M01.00S,2023-11-21T00:15:09.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,5,2023-11-21T00:15:11Z,240000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT08M57.00S,2023-11-21T00:15:15.3Z,1,REGULAR,foul,personal,[],1641709,,,1610612743,6,5,2023-11-21T00:15:22Z,250000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641709, 202704]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,200832.0,1.0,0.0,Jackson,202704.0,,,,
27,PT08M50.00S,2023-11-21T00:15:36.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,69.30026281208936,73.0392156862745,1610612743,6,5,2023-11-21T00:15:40Z,270000,False,115.0,236.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.27,Missed,,,,,,,,,,,,,,,,,,
28,PT08M48.00S,2023-11-21T00:15:38.5Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,6,5,2023-11-21T00:15:40Z,280000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Right Center,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
29,PT08M43.00S,2023-11-21T00:15:43.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631093,5.568331143232584,53.431372549019606,1610612765,8,5,2023-11-21T00:16:15Z,290000,False,-17.0,0.0,1,left,J. Ivey running Layup (4 PTS),[1631093],1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,1.72,Made,4.0,,,,,,,,,,,,,,,,,
30,PT08M22.00S,2023-11-21T00:16:03.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,89.79960578186596,54.411764705882355,1610612743,8,5,2023-11-21T00:16:08Z,300000,False,22.0,43.0,1,right,MISS N. Jokic floating Shot,[203999],1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,4.87,Missed,,,,,,,,,,,,,,,,,,
31,PT08M22.00S,2023-11-21T00:16:06.9Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,8,5,2023-11-21T00:16:06Z,310000,False,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,
32,PT08M22.00S,2023-11-21T00:16:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,94.40999984741211,50.0,1610612743,8,5,2023-11-21T00:16:06Z,320000,False,0.0,0.0,1,right,MISS A. Gordon tip Layup,[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
33,PT08M22.00S,2023-11-21T00:16:07.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,8,5,2023-11-21T00:16:07Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,32.0,,,,,,,,,,,,,
35,PT08M07.00S,2023-11-21T00:16:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,5.962549277266746,56.61764705882353,1610612765,10,5,2023-11-21T00:17:04Z,350000,False,-33.0,4.0,1,left,M. Bagley III driving Layup (2 PTS) (C. Cunningham 3 AST),"[1628963, 1630595]",1610612765.0,DET,driving,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,3.33,Made,2.0,C. Cunningham,1630595.0,3.0,,,,,,,,,,,,,,
37,PT07M54.00S,2023-11-21T00:16:41.6Z,1,REGULAR,2pt,Jump Shot,[],1629008,75.47634691195795,38.23529411764706,1610612743,10,5,2023-11-21T00:16:47Z,370000,False,-59.0,178.0,1,right,MISS M. Porter Jr. 18' pullup Shot,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,18.75,Missed,,,,,,,,,,,,,,,,,,
38,PT07M52.00S,2023-11-21T00:16:43.6Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,10,5,2023-11-21T00:16:47Z,380000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:2),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Mid-Range,16-24 Center,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
39,PT07M30.00S,2023-11-21T00:17:06.7Z,1,REGULAR,2pt,Jump Shot,[],1628963,20.68002628120894,32.1078431372549,1610612765,10,5,2023-11-21T00:17:10Z,390000,False,89.0,142.0,1,left,MISS M. Bagley III 16' Jump Shot,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Mid-Range,16-24 Right Center,16.78,Missed,,,,,,,,,,,,,,,,,,
40,PT07M28.00S,2023-11-21T00:17:08.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,10,5,2023-11-21T00:17:08Z,400000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT07M25.00S,2023-11-21T00:17:10.6Z,1,REGULAR,turnover,bad pass,[],1629008,,,1610612743,10,5,2023-11-21T00:17:15Z,410000,False,,,0,,M. Porter Jr. bad pass TURNOVER (1 TO),"[1629008, 1630595]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,,,,,,Cunningham,1630595.0,,
42,PT07M25.00S,2023-11-21T00:17:10.6Z,1,REGULAR,steal,,[],1630595,,,1610612765,10,5,2023-11-21T00:17:13Z,420000,False,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
43,PT07M20.00S,2023-11-21T00:17:18.1Z,1,REGULAR,foul,personal,['2freethrow'],202704,,,1610612765,10,5,2023-11-21T00:18:40Z,430000,False,,,0,,R. Jackson shooting personal FOUL (1 PF) (Bagley III 2 FT),"[202704, 1628963]",1610612743.0,DEN,shooting,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,200832.0,1.0,0.0,Bagley III,1628963.0,,,,
45,PT07M20.00S,2023-11-21T00:18:00.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628963,,,1610612765,11,5,2023-11-21T00:18:00Z,450000,False,,,0,,M. Bagley III Free Throw 1 of 2 (3 PTS),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
46,PT07M20.00S,2023-11-21T00:18:00.1Z,1,REGULAR,violation,lane,['fastbreak'],203999,,,1610612765,11,5,2023-11-21T00:19:00Z,460000,False,,,0,,N. Jokic lane VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M20.00S,2023-11-21T00:18:00.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1628963,,,1610612765,12,5,2023-11-21T00:19:00Z,470000,False,,,0,,M. Bagley III Free Throw 2 of 2 (4 PTS),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
48,PT07M19.00S,2023-11-21T00:18:46.1Z,1,REGULAR,foul,technical,['1freethrow'],203999,,,1610612743,12,5,2023-11-21T00:18:59Z,480000,False,,,0,,N. Jokic technical FOUL (1 Tech),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,1627534.0,0.0,1.0,,,,,,
49,PT07M19.00S,2023-11-21T00:19:05.9Z,1,REGULAR,freethrow,1 of 1,[],1630595,,,1610612743,13,5,2023-11-21T00:19:05Z,490000,False,,,0,,C. Cunningham technical Free Throw 1 of 1 (1 PTS),[1630595],1610612765.0,DET,technical,,,Cunningham,C. Cunningham,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
50,PT07M04.00S,2023-11-21T00:19:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.0335085413929,50.73529411764706,1610612743,13,7,2023-11-21T00:21:21Z,500000,False,4.0,22.0,1,right,N. Jokic driving Layup (4 PTS) (R. Jackson 1 AST),"[203999, 202704]",1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.27,Made,4.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,,,
