actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-11T00:11:05.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-11T00:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-11T00:11:08.9Z,1,REGULAR,jumpball,recovered,[],1630191,,,1610612765,0,0,2023-11-11T00:11:09Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Embiid: Tip to I. Stewart,"[1630191, 1631105, 203954]",1610612765.0,DET,startperiod,I. Stewart,1630191.0,Stewart,I. Stewart,Duren,1631105.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-11-11T00:11:22.2Z,1,REGULAR,2pt,Jump Shot,[],1630595,18.183311432325894,72.05882352941177,1610612765,2,0,2023-11-11T00:11:29Z,70000,False,-110.0,118.0,1,left,C. Cunningham 16' step back Jump Shot (2 PTS),[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,16.18,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2023-11-11T00:11:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,91.50788436268068,56.61764705882353,1610612755,2,0,2023-11-11T00:11:56Z,80000,False,33.0,27.0,1,right,MISS K. Oubre Jr. cutting Layup,[1626162],1610612755.0,PHI,cutting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2023-11-11T00:11:46.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,0,2023-11-11T00:11:56Z,90000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M12.00S,2023-11-11T00:11:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,19.23455978975032,41.666666666666664,1610612765,4,0,2023-11-11T00:11:58Z,100000,False,42.0,128.0,1,left,K. Hayes 13' Jump Shot (2 PTS) (J. Duren 1 AST),"[1630165, 1631105]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,13.49,Made,2.0,,,,,J. Duren,1631105.0,1.0,,,,,,,,,,
12,PT10M53.00S,2023-11-11T00:12:11.4Z,1,REGULAR,2pt,Hook,[],203954,94.79303547963207,69.11764705882354,1610612755,4,0,2023-11-11T00:12:15Z,120000,False,96.0,-4.0,1,right,MISS J. Embiid 9' Hook,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,9.57,Missed,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2023-11-11T00:12:13.4Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,4,0,2023-11-11T00:12:15Z,130000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
156,PT10M46.00S,2023-11-11T00:12:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,11.48160315374507,59.068627450980394,1610612765,4,0,2023-11-11T00:35:32Z,135000,False,-45.0,55.0,1,left,MISS C. Cunningham 7' driving Layup - blocked,"[1630595, 1629001]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,Melton,1629001.0,,,,,,,,
157,PT10M46.00S,2023-11-11T00:12:18.5Z,1,REGULAR,block,,[],1629001,,,1610612765,4,0,2023-11-11T00:35:32Z,137500,False,,,0,,D. Melton BLOCK (1 BLK),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
