actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-22T00:11:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-22T00:11:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-22T00:11:36.0Z,1,REGULAR,jumpball,recovered,[],1630191,,,1610612765,0,0,2023-12-22T00:11:36Z,40000,False,,,0,,Jump Ball M. Bagley III vs. J. Collins: Tip to I. Stewart,"[1630191, 1628963, 1628381]",1610612765.0,DET,startperiod,I. Stewart,1630191.0,Stewart,I. Stewart,Bagley III,1628963.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-22T00:11:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,6.652431011826544,47.30392156862745,1610612765,2,0,2023-12-22T00:12:11Z,70000,False,13.0,10.0,1,left,J. Ivey driving finger roll Layup (2 PTS),[1631093],1610612765.0,DET,driving finger roll,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,1.68,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2023-12-22T00:12:08.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631323,87.86136662286465,54.65686274509803,1610612762,2,0,2023-12-22T00:12:35Z,80000,False,23.0,62.0,1,right,MISS S. Fontecchio 6' driving Hook - blocked,"[1631323, 1630191]",1610612762.0,UTA,driving,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,6.59,Missed,,Stewart,1630191.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2023-12-22T00:12:08.2Z,1,REGULAR,block,,[],1630191,,,1610612762,2,0,2023-12-22T00:12:10Z,90000,False,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2023-12-22T00:12:08.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,2,0,2023-12-22T00:12:16Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,8.0,,,,,,,,,,,,,,
12,PT11M23.00S,2023-12-22T00:12:24.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203482,78.53153745072274,94.36274509803921,1610612762,2,0,2023-12-22T00:12:29Z,120000,False,222.0,149.0,1,right,MISS K. Olynyk 26' 3PT,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,26.74,Missed,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2023-12-22T00:12:28.8Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,0,2023-12-22T00:12:29Z,130000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT11M15.00S,2023-12-22T00:12:31.4Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,2,0,2023-12-22T00:17:47Z,140000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1629012]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,Sexton,1629012.0,,,,,,,,
35,PT11M15.00S,2023-12-22T00:12:31.4Z,1,REGULAR,steal,,[],1629012,,,1610612762,2,0,2023-12-22T00:17:47Z,145000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT11M14.00S,2023-12-22T00:12:34.7Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,2,0,2023-12-22T00:35:10Z,147500,False,,,0,,C. Sexton bad pass TURNOVER (1 TO),"[1629012, 1631093]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,Ivey,1631093.0,,,,,,,,
39,PT11M14.00S,2023-12-22T00:12:34.7Z,1,REGULAR,steal,,[],1631093,,,1610612765,2,0,2023-12-22T00:18:06Z,148750,False,,,0,,J. Ivey STEAL (1 STL),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2023-12-22T00:12:38.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631093,6.258212877792378,47.794117647058826,1610612765,4,0,2023-12-22T00:35:16Z,150000,False,11.0,6.0,1,left,J. Ivey Layup (4 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,1.27,Made,4.0,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2023-12-22T00:12:58.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203482,89.70105124835742,49.754901960784316,1610612762,4,2,2023-12-22T00:13:01Z,160000,False,-1.0,44.0,1,right,K. Olynyk Hook (2 PTS) (K. Dunn 1 AST),"[203482, 1627739]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,4.43,Made,2.0,,,,,,,,,,K. Dunn,1627739.0,1.0,,,,,
18,PT10M21.00S,2023-12-22T00:13:50.3Z,1,REGULAR,jumpball,recovered,[],1627739,,,1610612765,4,2,2023-12-22T00:14:09Z,180000,False,,,0,,Jump Ball K. Olynyk vs. M. Bagley III: Tip to K. Dunn,"[1627739, 203482, 1628963]",1610612762.0,UTA,heldball,K. Dunn,1627739.0,Dunn,K. Dunn,Olynyk,203482.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2023-12-22T00:13:50.3Z,1,REGULAR,turnover,bad pass,[],1631093,,,1610612765,4,2,2023-12-22T00:32:24Z,210000,False,,,0,,J. Ivey bad pass TURNOVER (1 TO),"[1631093, 203482]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,Olynyk,203482.0,,,,,,,,
22,PT10M21.00S,2023-12-22T00:13:50.3Z,1,REGULAR,steal,,[],203482,,,1610612762,4,2,2023-12-22T00:13:50Z,220000,False,,,0,,K. Olynyk STEAL (1 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2023-12-22T00:13:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627739,92.72339027595268,50.0,1610612762,4,4,2023-12-22T00:16:05Z,230000,False,0.0,16.0,1,right,K. Dunn driving Layup (2 PTS),[1627739],1610612762.0,UTA,driving,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,1.59,Made,2.0,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2023-12-22T00:14:10.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628963,5.601182654402102,49.26470588235294,1610612765,6,4,2023-12-22T00:14:13Z,240000,False,4.0,0.0,1,left,M. Bagley III DUNK (2 PTS) (C. Cunningham 1 AST),"[1628963, 1630595]",1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,0.37,Made,2.0,,,,,,,,,,C. Cunningham,1630595.0,1.0,,,,,
26,PT09M47.00S,2023-12-22T00:14:23.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631323,91.40932982917214,47.549019607843135,1610612762,6,6,2023-12-22T00:31:20Z,260000,False,-12.0,28.0,1,right,S. Fontecchio driving DUNK (2 PTS) (K. Olynyk 1 AST),"[1631323, 203482]",1610612762.0,UTA,driving,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,3.09,Made,2.0,,,,,,,,,,K. Olynyk,203482.0,1.0,,,,,
28,PT09M36.00S,2023-12-22T00:14:35.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,17.559132720105126,49.754901960784316,1610612765,6,6,2023-12-22T00:18:03Z,280000,False,1.0,113.0,1,left,MISS B. Bogdanovic 11' fadeaway Shot,[202711],1610612765.0,DET,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,11.26,Missed,,,,,,,,,,,,,,,,,,
