actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-20T23:10:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-20T23:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-20T23:10:49.7Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2024-03-20T23:10:49Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Duren: Tip to P. Siakam,"[1627783, 1626167, 1631105]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Turner,1626167.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-03-20T23:11:03.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,19.23455978975032,2.941176470588232,1610612754,0,0,2024-03-20T23:11:07Z,70000,False,235.0,128.0,1,left,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,26.8,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-03-20T23:11:06.6Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2024-03-20T23:11:08Z,80000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-03-20T23:11:20.6Z,1,REGULAR,2pt,Jump Shot,[],1630595,91.63929040735874,68.87254901960785,1610612765,2,0,2024-03-20T23:11:24Z,90000,False,94.0,26.0,1,right,C. Cunningham 9' pullup Jump Shot (2 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,9.79,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M08.00S,2024-03-20T23:11:36.3Z,1,REGULAR,3pt,Jump Shot,[],1630174,18.84034165571616,96.56862745098039,1610612754,2,0,2024-03-20T23:11:40Z,100000,False,-233.0,125.0,1,left,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,26.4,Missed,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2024-03-20T23:11:39.7Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,2,0,2024-03-20T23:11:39Z,110000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M58.00S,2024-03-20T23:11:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,94.66162943495401,55.14705882352941,1610612765,4,0,2024-03-20T23:11:50Z,120000,False,26.0,-2.0,1,right,C. Cunningham driving Layup (4 PTS) (J. Ivey 1 AST),"[1630595, 1631093]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,2.58,Made,,,,,4.0,J. Ivey,1631093.0,1.0,,,,,,,,,,
14,PT10M49.00S,2024-03-20T23:11:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,5.831143232588701,54.411764705882355,1610612754,4,2,2024-03-20T23:11:59Z,140000,False,-22.0,2.0,1,left,A. Nembhard driving Layup (2 PTS),[1629614],1610612754.0,IND,driving,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.22,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M31.00S,2024-03-20T23:12:13.0Z,1,REGULAR,3pt,Jump Shot,[],1641787,83.88633377135349,97.30392156862744,1610612765,4,2,2024-03-20T23:12:16Z,150000,False,237.0,99.0,1,right,MISS T. Evbuomwan 25' 3PT,[1641787],1610612765.0,DET,,,,Evbuomwan,T. Evbuomwan,,,,,Above the Break 3,24+ Right Center,25.64,Missed,,,,,,,,,,,,,,,,,,
