actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M40.00S,2024-03-11T23:12:50.8Z,1,REGULAR,turnover,out-of-bounds,[],1629684,,,1610612766,2,2,2024-03-11T23:12:59Z,160000,False,,,0,,G. Williams step out-of-bounds TURNOVER (1 TO),[1629684],1610612766.0,CHA,step,,,,,,Left Corner 3,24+ Left,,,Williams,G. Williams,,,,,,,,,1.0,,,1626300.0,,,,,,
17,PT10M28.00S,2024-03-11T23:13:14.4Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612765,2,2,2024-03-11T23:13:29Z,170000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Duren 2 FT),"[1629684, 1631105]",1610612766.0,CHA,shooting,,,,,,Restricted Area,0-8 Center,,,Williams,G. Williams,,,,,,,,,,,,1626300.0,1.0,0.0,Duren,1631105.0,,
19,PT10M28.00S,2024-03-11T23:13:49.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631105,,,1610612765,3,2,2024-03-11T23:13:49Z,190000,False,,,0,,J. Duren Free Throw 1 of 2 (1 PTS),[1631105],1610612765.0,DET,,,,,,,,,,Made,Duren,J. Duren,,,,,1.0,,,,,,,,,,,,,
20,PT10M28.00S,2024-03-11T23:14:07.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631105,,,1610612765,4,2,2024-03-11T23:14:07Z,200000,False,,,0,,J. Duren Free Throw 2 of 2 (2 PTS),[1631105],1610612765.0,DET,,,,,,,,,,Made,Duren,J. Duren,,,,,2.0,,,,,,,,,,,,,
21,PT10M15.00S,2024-03-11T23:14:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,93.64323258869908,43.13725490196079,1610612766,4,4,2024-03-11T23:14:55Z,210000,False,-34.0,7.0,1,right,G. Williams driving Layup (2 PTS) (B. Miller 1 AST),"[1629684, 1641706]",1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,3.51,Made,Williams,G. Williams,,,,,2.0,B. Miller,1641706.0,1.0,,,,,,,,,,
23,PT10M02.00S,2024-03-11T23:14:33.4Z,1,REGULAR,3pt,Jump Shot,[],1630191,19.530223390275953,90.44117647058823,1610612765,4,4,2024-03-11T23:14:42Z,230000,False,-202.0,131.0,1,left,MISS I. Stewart 24' 3PT,[1630191],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,24.1,Missed,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
24,PT09M59.00S,2024-03-11T23:14:37.1Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,4,4,2024-03-11T23:14:37Z,240000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Duren,J. Duren,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
25,PT09M55.00S,2024-03-11T23:14:40.4Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,4,4,2024-03-11T23:14:46Z,250000,False,,,0,,J. Duren bad pass TURNOVER (2 TO),"[1631105, 1629684]",1610612765.0,DET,,,,,,,Mid-Range,8-16 Right,,,Duren,J. Duren,,,,,,,,,2.0,Williams,1629684.0,,,,,,,
26,PT09M55.00S,2024-03-11T23:14:40.4Z,1,REGULAR,steal,,[],1629684,,,1610612766,4,4,2024-03-11T23:14:42Z,260000,False,,,0,,G. Williams STEAL (1 STL),[1629684],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Right,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,
27,PT09M52.00S,2024-03-11T23:14:43.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203995,82.07950065703022,41.17647058823529,1610612766,4,4,2024-03-11T23:15:20Z,270000,False,-44.0,116.0,1,right,MISS V. Micic 12' running pullup Shot,[203995],1610612766.0,CHA,running pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.41,Missed,Micic,V. Micic,,,,,,,,,,,,,,,,,,
