actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-01T23:10:53.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-01T23:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-01T23:10:57.4Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2023-11-01T23:10:57Z,40000,False,,,0,,Jump Ball D. Ayton vs. M. Bagley III: Tip to J. Grant,"[203924, 1629028, 1628963]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Ayton,1629028.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2023-11-01T23:11:00.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,93.74178712220763,51.71568627450981,1610612757,0,2,2023-11-01T23:11:08Z,70000,False,9.0,6.0,1,right,D. Ayton alley-oop DUNK (2 PTS) (S. Henderson 1 AST),"[1629028, 1630703]",1610612757.0,POR,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.07,Made,2.0,S. Henderson,1630703.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2023-11-01T23:11:24.8Z,1,REGULAR,2pt,Jump Shot,[],1628963,23.4395532194481,41.666666666666664,1610612765,0,2,2023-11-01T23:15:01Z,90000,False,42.0,168.0,1,left,MISS M. Bagley III 17' Jump Shot,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Mid-Range,16-24 Center,17.29,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2023-11-01T23:11:24.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,2,2023-11-01T23:15:01Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M30.00S,2023-11-01T23:11:39.7Z,1,REGULAR,foul,personal,[],1630191,,,1610612757,0,2,2023-11-01T23:15:01Z,110000,False,,,0,,I. Stewart loose ball personal FOUL (1 PF),"[1630191, 1631101]",1610612765.0,DET,loose ball,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,,2003.0,1.0,0.0,Sharpe,1631101.0,,,,,,,,
14,PT11M18.00S,2023-11-01T23:11:53.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203924,89.6681997371879,51.71568627450981,1610612757,0,2,2023-11-01T23:12:14Z,140000,False,9.0,45.0,1,right,MISS J. Grant DUNK,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2023-11-01T23:11:56.0Z,1,REGULAR,rebound,offensive,[],1631101,,,1610612757,0,2,2023-11-01T23:11:56Z,150000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:0),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,14.0,,,,,,1.0,0.0,1.0,,,,,
16,PT11M09.00S,2023-11-01T23:12:01.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629680,72.45400788436268,84.80392156862746,1610612757,0,2,2023-11-01T23:12:14Z,160000,False,174.0,206.0,1,right,MISS M. Thybulle 27' 3PT,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Right Center,27.0,Missed,,,,,,,,,,,,,,,,,,
17,PT11M06.00S,2023-11-01T23:12:04.0Z,1,REGULAR,rebound,offensive,[],1631101,,,1610612757,0,2,2023-11-01T23:12:04Z,170000,False,,,0,,S. Sharpe REBOUND (Off:2 Def:0),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,16.0,,,,,,2.0,0.0,2.0,,,,,
