actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-28T00:10:54.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-28T00:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-28T00:10:58.4Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2023-11-28T00:10:58Z,40000,False,,,0,,Jump Ball J. Duren vs. D. Gafford: Tip to J. Ivey,"[1631093, 1631105, 1629655]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Duren,1631105.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-11-28T00:11:20.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,5.338370565045992,45.588235294117645,1610612765,0,0,2023-11-28T00:11:28Z,70000,False,22.0,-2.0,1,left,MISS J. Ivey driving reverse Layup,[1631093],1610612765.0,DET,driving reverse,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,2.22,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-11-28T00:11:24.1Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,0,0,2023-11-28T00:11:28Z,80000,False,,,0,,J. Ivey REBOUND (Off:1 Def:0),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-11-28T00:11:24.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631093,5.469776609724048,48.77450980392157,1610612765,2,0,2023-11-28T00:11:58Z,90000,False,6.0,-1.0,1,left,J. Ivey tip Layup (2 PTS),[1631093],1610612765.0,DET,tip,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,0.62,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M09.00S,2023-11-28T00:11:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,90.62089356110381,48.77450980392157,1610612764,2,0,2023-11-28T00:15:08Z,100000,False,-6.0,36.0,1,right,MISS J. Poole driving Layup - blocked,"[1629673, 1631105]",1610612764.0,WAS,driving,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,3.62,Missed,,,,,,Duren,1631105.0,,,,,,,,,,,
11,PT11M09.00S,2023-11-28T00:11:44.0Z,1,REGULAR,block,,[],1631105,,,1610612764,2,0,2023-11-28T00:11:46Z,110000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2023-11-28T00:11:46.0Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,0,2023-11-28T00:11:50Z,120000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M55.00S,2023-11-28T00:11:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,5.075558475689881,46.81372549019608,1610612765,4,0,2023-11-28T00:12:02Z,130000,False,16.0,-5.0,1,left,C. Cunningham Layup (2 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M34.00S,2023-11-28T00:12:19.8Z,1,REGULAR,3pt,Jump Shot,[],1628398,91.93495400788436,4.166666666666666,1610612764,4,0,2023-11-28T00:13:34Z,140000,False,-229.0,23.0,1,right,MISS K. Kuzma step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2023-11-28T00:12:24.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,4,0,2023-11-28T00:16:51Z,150000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Left Corner 3,24+ Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M26.00S,2023-11-28T00:12:27.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641709,5.863994743758213,47.794117647058826,1610612765,6,0,2023-11-28T00:15:15Z,160000,False,11.0,3.0,1,left,A. Thompson running reverse Layup (2 PTS) (C. Cunningham 1 AST),"[1641709, 1630595]",1610612765.0,DET,running reverse,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,2.0,,,C. Cunningham,1630595.0,1.0,,,,,,,,
18,PT10M08.00S,2023-11-28T00:12:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,92.06636005256242,55.88235294117647,1610612764,6,0,2023-11-28T00:16:13Z,180000,False,29.0,22.0,1,right,MISS T. Jones driving floating bank Shot,[1626145],1610612764.0,WAS,driving floating bank,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,3.68,Missed,,,,,,,,,,,,,,,,,,
19,PT10M07.00S,2023-11-28T00:12:47.0Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,6,0,2023-11-28T00:12:47Z,190000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M04.00S,2023-11-28T00:12:53.0Z,1,REGULAR,turnover,traveling,[],1629673,,,1610612764,6,0,2023-11-28T00:12:59Z,200000,False,,,0,,J. Poole traveling TURNOVER (1 TO),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,202007.0,1.0,,,,,,
21,PT09M52.00S,2023-11-28T00:13:11.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631093,27.151773981603156,77.94117647058823,1610612765,6,0,2023-11-28T00:13:16Z,210000,False,-140.0,203.0,1,left,MISS J. Ivey 24' 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,24.62,Missed,,,,,,,,,,,,,,,,,,
22,PT09M52.00S,2023-11-28T00:13:11.8Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,6,0,2023-11-28T00:13:16Z,220000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M43.00S,2023-11-28T00:13:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,91.80354796320631,50.73529411764706,1610612764,6,2,2023-11-28T00:13:25Z,230000,False,4.0,25.0,1,right,D. Gafford alley-oop Layup (2 PTS) (D. Avdija 1 AST),"[1629655, 1630166]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,2.48,Made,,,,,2.0,,,D. Avdija,1630166.0,1.0,,,,,,,,
26,PT09M31.00S,2023-11-28T00:13:46.0Z,1,REGULAR,turnover,lost ball,[],1631093,,,1610612765,6,2,2023-11-28T00:13:49Z,260000,False,,,0,,J. Ivey lost ball TURNOVER (1 TO),"[1631093, 1629673]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Poole,1629673.0,,,,
27,PT09M31.00S,2023-11-28T00:13:46.0Z,1,REGULAR,steal,,[],1629673,,,1610612764,6,2,2023-11-28T00:13:47Z,270000,False,,,0,,J. Poole STEAL (1 STL),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
