actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-25T00:11:41.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-25T00:11:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-10-25T00:11:47.0Z,1,REGULAR,jumpball,recovered,[],203903,,,1610612762,0,0,2022-10-25T00:11:47Z,40000,,,0,,Jump Ball K. Olynyk vs. J. Smith Jr.: Tip to J. Clarkson,"[203903, 203482, 1631095]",1610612762.0,UTA,startperiod,J. Clarkson,203903.0,Clarkson,J. Clarkson,Olynyk,203482.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-25T00:12:00.1Z,1,REGULAR,3pt,Jump Shot,[],201144,69.72733245729303,75.73529411764706,1610612762,0,0,2022-10-25T00:12:09Z,70000,129.0,232.0,1,right,MISS M. Conley 26' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,26.54,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-10-25T00:12:03.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2022-10-25T00:12:09Z,80000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-10-25T00:12:17.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,8.492115637319317,43.38235294117647,1610612745,0,0,2022-10-25T00:12:22Z,90000,33.0,27.0,1,left,MISS E. Gordon driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-10-25T00:12:18.4Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,0,0,2022-10-25T00:12:22Z,110000,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M07.00S,2022-10-25T00:12:33.2Z,1,REGULAR,3pt,Jump Shot,[],1629020,87.86136662286465,96.32352941176471,1610612762,0,0,2022-10-25T00:12:38Z,120000,232.0,62.0,1,right,MISS J. Vanderbilt 3PT,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,23.97,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2022-10-25T00:12:34.2Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,0,0,2022-10-25T00:12:38Z,130000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Right Corner 3,24+ Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M59.00S,2022-10-25T00:12:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,13.354139290407357,56.61764705882353,1610612745,2,0,2022-10-25T00:12:48Z,140000,-33.0,73.0,1,left,K. Porter Jr. 8' driving floating Jump Shot (2 PTS),[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.02,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M41.00S,2022-10-25T00:12:58.7Z,1,REGULAR,2pt,Jump Shot,[],1628374,88.64980289093299,26.96078431372549,1610612762,2,0,2022-10-25T00:13:07Z,150000,-115.0,54.0,1,right,MISS L. Markkanen 12' turnaround fadeaway Shot,[1628374],1610612762.0,UTA,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Left,12.73,Missed,,,,,,,,,,,,,,,,,,
