shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
12:00,2,PT12M00.00S,2022-12-12T00:12:07.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-12T00:12:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,4,PT12M00.00S,2022-12-12T00:12:10.5Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-12-12T00:12:10Z,40000,False,,,0,,Jump Ball B. Lopez vs. A. Sengun: Tip to G. Antetokounmpo,"[203507, 201572, 1630578]",34,1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
12:00,7,PT12M00.00S,2022-12-12T00:12:11.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612749,0,0,2022-12-12T00:12:29Z,70000,False,,,0,,TEAM delay-of-game VIOLATION,[],,1610612749.0,MIL,,,,,,,,,,200833.0,,,,,,,,,,,,,,,,,,,,,
12:00,8,PT12M00.00S,2022-12-12T00:12:13.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612749,0,0,2022-12-12T00:12:25Z,80000,False,,,0,,TEAM delay-of-game VIOLATION,[],,1610612745.0,HOU,,,,,,,,,,200833.0,,,,,,,,,,,,,,,,,,,,,
11:36,9,PT11M36.00S,2022-12-12T00:12:31.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,87.99277266754271,62.745098039215684,1610612749,0,0,2022-12-12T00:13:42Z,90000,False,64.0,60.0,1,right,MISS G. Antetokounmpo 8' turnaround fadeaway Shot,[203507],34,1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,,In The Paint (Non-RA),8-16 Right,8.78,Missed,,,,,,,,,,,,,,,,,
11:34,10,PT11M34.00S,2022-12-12T00:12:33.3Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2022-12-12T00:12:38Z,100000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1,1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,In The Paint (Non-RA),8-16 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11:25,11,PT11M25.00S,2022-12-12T00:12:42.3Z,1,REGULAR,3pt,Jump Shot,[],201569,25.706307490144546,80.88235294117648,1610612745,0,0,2022-12-12T00:14:05Z,110000,False,-154.0,189.0,1,left,MISS E. Gordon 24' pullup 3PT,[201569],10,1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,,Above the Break 3,24+ Left Center,24.41,Missed,,,,,,,,,,,,,,,,,
11:22,12,PT11M22.00S,2022-12-12T00:12:45.3Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,0,0,2022-12-12T00:12:48Z,120000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1,1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,Above the Break 3,24+ Left Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,
11:19,13,PT11M19.00S,2022-12-12T00:12:47.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631095,30.436925098554536,70.09803921568627,1610612745,0,0,2022-12-12T00:12:52Z,130000,False,-100.0,234.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1,1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,Above the Break 3,24+ Left Center,25.43,Missed,,,,,,,,,,,,,,,,,
11:18,14,PT11M18.00S,2022-12-12T00:12:48.5Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,0,0,2022-12-12T00:12:52Z,140000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],12,1610612749.0,MIL,,,,Allen,G. Allen,,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
