actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-26T01:11:06.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-26T01:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-26T01:11:08.7Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2022-11-26T01:11:08Z,40000,False,,,0,,Jump Ball B. Fernando vs. O. Okongwu: Tip to J. Smith Jr.,"[1631095, 1628981, 1630168]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Fernando,1628981.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-26T01:11:18.8Z,1,REGULAR,3pt,Jump Shot,[],1631095,92.9862023653088,96.07843137254902,1610612745,3,0,2022-11-26T01:11:24Z,70000,False,230.0,13.0,1,right,J. Smith Jr. 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1631095, 1629645]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,23.08,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
68,PT11M20.00S,2022-11-26T01:11:45.2Z,1,REGULAR,3pt,Jump Shot,[],1628381,6.652431011826544,4.6568627450980395,1610612737,3,0,2022-11-26T01:20:41Z,115000,False,227.0,10.0,1,left,MISS J. Collins 3PT - blocked,"[1628381, 1631095]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,22.69,Missed,,,,,Smith Jr.,1631095.0,,,,,,,,,,,,
69,PT11M20.00S,2022-11-26T01:11:45.2Z,1,REGULAR,block,,[],1631095,,,1610612737,3,0,2022-11-26T01:19:09Z,117500,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
70,PT11M20.00S,2022-11-26T01:11:45.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,3,0,2022-11-26T01:19:09Z,118750,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,68.0,,,,,,,,,,,
12,PT11M20.00S,2022-11-26T01:11:50.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,3,0,2022-11-26T01:11:59Z,120000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,203591.0,,,,,,,,,,
13,PT11M03.00S,2022-11-26T01:12:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630231,90.88370565045992,40.931372549019606,1610612745,5,0,2022-11-26T01:15:39Z,130000,False,-45.0,33.0,1,right,K. Martin Jr. cutting Layup (2 PTS) (J. Green 1 AST),"[1630231, 1630224]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.62,Made,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,,
15,PT10M53.00S,2022-11-26T01:12:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,14.4053876478318,35.53921568627451,1610612737,5,2,2022-11-26T01:12:30Z,150000,False,72.0,83.0,1,left,D. Murray 11' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Right,11.0,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2022-11-26T01:12:34.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630224,93.24901445466492,53.92156862745098,1610612745,7,2,2022-11-26T01:12:39Z,160000,False,20.0,11.0,1,right,J. Green driving DUNK (2 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.25,Made,2.0,,,,,,,,,,,,,,,,,
