actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-20T01:11:05.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-20T01:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-20T01:11:09.1Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2022-12-20T01:11:09Z,40000,False,,,0,,Jump Ball J. Poeltl vs. A. Sengun: Tip to T. Jones,"[1630200, 1627751, 1630578]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Poeltl,1627751.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-12-20T01:11:20.4Z,1,REGULAR,3pt,Jump Shot,[],1630200,6.521024967148489,3.431372549019608,1610612759,0,0,2022-12-20T01:11:30Z,70000,False,233.0,9.0,1,left,MISS T. Jones 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,23.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-12-20T01:11:21.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,0,2022-12-20T01:11:30Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Right Corner 3,24+ Right,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-12-20T01:11:50.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630170,18.2161629434954,38.970588235294116,1610612759,0,2,2022-12-20T01:11:57Z,100000,False,55.0,119.0,1,left,D. Vassell 13' turnaround fadeaway Jump Shot (2 PTS),[1630170],1610612759.0,SAS,turnaround fadeaway,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,13.09,Made,,2.0,,,,,,,,,,,,,,,,
11,PT11M15.00S,2022-12-20T01:12:05.6Z,1,REGULAR,2pt,Jump Shot,[],1631095,83.78777923784494,81.86274509803921,1610612745,0,2,2022-12-20T01:12:12Z,110000,False,159.0,100.0,1,right,MISS J. Smith Jr. 18' Jump Shot,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,18.8,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-12-20T01:12:06.6Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,0,2,2022-12-20T01:12:12Z,120000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Right,,,11.0,,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M05.00S,2022-12-20T01:12:18.2Z,1,REGULAR,foul,personal,['2freethrow'],1629645,,,1610612759,0,2,2022-12-20T01:12:29Z,130000,False,,,0,,K. Porter Jr. shooting personal FOUL (1 PF) (Langford 2 FT),"[1629645, 1629641]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1626301.0,1.0,0.0,Langford,1629641.0,,,,,,,,
15,PT11M05.00S,2022-12-20T01:12:43.9Z,1,REGULAR,freethrow,1 of 2,[],1629641,,,1610612759,0,2,2022-12-20T01:12:43Z,150000,False,,,0,,MISS R. Langford Free Throw 1 of 2,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2022-12-20T01:12:43.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,0,2,2022-12-20T01:12:43Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,
17,PT11M05.00S,2022-12-20T01:13:00.6Z,1,REGULAR,freethrow,2 of 2,[],1629641,,,1610612759,0,3,2022-12-20T01:13:00Z,170000,False,,,0,,R. Langford Free Throw 2 of 2 (1 PTS),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
18,PT10M58.00S,2022-12-20T01:13:07.3Z,1,REGULAR,3pt,Jump Shot,[],201569,76.5604467805519,91.91176470588235,1610612745,0,3,2022-12-20T01:13:15Z,180000,False,210.0,168.0,1,right,MISS E. Gordon 26' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,26.85,Missed,,,,,,,,,,,,,,,,,,
19,PT10M57.00S,2022-12-20T01:13:08.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,3,2022-12-20T01:13:15Z,190000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,18.0,,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M51.00S,2022-12-20T01:13:14.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,23.603810775295663,87.00980392156863,1610612759,0,6,2022-12-20T01:13:39Z,200000,False,-185.0,169.0,1,left,D. Vassell 25' 3PT running pullup (5 PTS) (T. Jones 1 AST),"[1630170, 1630200]",1610612759.0,SAS,running pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,25.08,Made,,5.0,,,,,,,,,T. Jones,1630200.0,1.0,,,,,
22,PT10M36.00S,2022-12-20T01:13:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,92.19776609724047,56.127450980392155,1610612745,2,6,2022-12-20T01:13:35Z,220000,False,31.0,21.0,1,right,J. Green driving finger roll Layup (2 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.7,Made,,2.0,,,,,,,,,A. Sengun,1630578.0,1.0,,,,,
